network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,1,True,850,0.933065,0.00099974,850,0.933065,0.24056612,0.00000000,0.24056612,0.001,,"{""v0"": 0.000353, ""v1"": 0.000179, ""v2"": 0.004204, ""v3"": 0.001868, ""v4"": 0.431138, ""v5"": 9e-05, ""v6"": 0.000613, ""v7"": 9e-05, ""v8"": 9e-05, ""v9"": 0.000225, ""v10"": 0.001121, ""v11"": 0.180952, ""v12"": 0.379076}","{""v0"": [0.295299, 0.29527, 0.295173, 0.294828], ""v1"": [0.295409, 0.295358, 0.295343, 0.295271, 0.295232, 0.295215, 0.295147], ""v2"": [0.2955, 0.293164, 0.292123, 0.290284], ""v3"": [0.297504, 0.296928, 0.296363], ""v4"": [0.298304, 0.287371, 0.229075], ""v5"": [0.518777], ""v6"": [0.518515, 0.518376, 0.518245], ""v7"": [0.518892, 0.518772], ""v8"": [0.519028, 0.518933, 0.518858], ""v9"": [0.518971, 0.518969, 0.518928, 0.518816, 0.518708], ""v10"": [0.518221, 0.518109, 0.517974, 0.516841], ""v11"": [0.519138, 0.516032], ""v12"": [0.652455, 0.645948, 0.628716, 0.61151, 0.556265]}"
0,13,46,2,True,1648,3.016341,0.00097680,1648,3.016341,0.24028159,-0.00028452,0.24056612,0.001,10,"{""v0"": 4.7e-05, ""v1"": 0.000116, ""v2"": 0.022433, ""v3"": 0.001485, ""v4"": 0.411635, ""v5"": 4.7e-05, ""v6"": 0.000104, ""v7"": 0.000531, ""v8"": 8.5e-05, ""v9"": 0.000125, ""v10"": 4.7e-05, ""v11"": 0.180621, ""v12"": 0.382725}","{""v0"": [0.293327, 0.293324, 0.293313, 0.293275], ""v1"": [0.2933, 0.293273, 0.293265, 0.293226, 0.293205, 0.293196, 0.29316], ""v2"": [0.293349, 0.283369, 0.279089, 0.271765], ""v3"": [0.303681, 0.30321, 0.302749], ""v4"": [0.304333, 0.293522, 0.235444], ""v5"": [0.517143], ""v6"": [0.517175, 0.517152, 0.51713], ""v7"": [0.516627, 0.515931], ""v8"": [0.517194, 0.517104, 0.517034], ""v9"": [0.517205, 0.517204, 0.517182, 0.517119, 0.51706], ""v10"": [0.51726, 0.517255, 0.51725, 0.517202], ""v11"": [0.517298, 0.514207], ""v12"": [0.649884, 0.643355, 0.62607, 0.608818, 0.55347]}"
1,14,45,1,True,142103,195.767905,0.00099986,142103,195.767905,0.55850803,0.00000000,0.55850803,0.001,,"{""v0"": 0.238964, ""v1"": 0.395057, ""v2"": 0.237438, ""v3"": 0.127231, ""v4"": 0.000459, ""v5"": 5e-06, ""v6"": 1e-05, ""v7"": 6e-06, ""v8"": 0.000112, ""v9"": 3e-06, ""v10"": 0.000404, ""v11"": 0.000309, ""v12"": 1e-06, ""v13"": 1e-06}","{""v0"": [0.567987], ""v1"": [0.567589, 0.508966, 0.415788], ""v2"": [0.567442, 0.415843], ""v3"": [0.838122, 0.810822, 0.760968, 0.679964, 0.657082], ""v4"": [0.999522, 0.999513, 0.999446, 0.9993], ""v5"": [0.999977, 0.999976], ""v6"": [0.999983, 0.999983, 0.999983, 0.999977], ""v7"": [0.999869, 0.999866], ""v8"": [0.999877, 0.999868, 0.999855, 0.999788], ""v9"": [0.999997, 0.999997, 0.999995, 0.999995], ""v10"": [0.999595, 0.999508, 0.998198], ""v11"": [0.999673, 0.999569, 0.999538, 0.99913, 0.998975], ""v12"": [0.999997], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999998]}"
1,14,45,2,True,164138,210.760074,0.00099999,164138,210.760074,0.55845751,-0.00005051,0.55850803,0.001,10,"{""v0"": 0.239119, ""v1"": 0.395048, ""v2"": 0.237657, ""v3"": 0.126886, ""v4"": 1.1e-05, ""v5"": 2e-06, ""v6"": 0.000403, ""v7"": 5.6e-05, ""v8"": 0.000382, ""v9"": 0.000426, ""v10"": 3e-06, ""v11"": 3e-06, ""v12"": 3e-06, ""v13"": 0.0}","{""v0"": [0.567823], ""v1"": [0.567609, 0.508985, 0.415804], ""v2"": [0.567552, 0.415841], ""v3"": [0.838532, 0.811282, 0.761509, 0.680606, 0.657746], ""v4"": [0.999986, 0.999986, 0.999984, 0.999981], ""v5"": [0.999443, 0.999442], ""v6"": [0.999446, 0.999438, 0.999433, 0.999226], ""v7"": [0.999524, 0.999499], ""v8"": [0.999589, 0.99956, 0.999516, 0.99929], ""v9"": [0.999569, 0.999506, 0.999287, 0.999185], ""v10"": [0.999997, 0.999997, 0.999988], ""v11"": [0.999997, 0.999995, 0.999995, 0.999991, 0.999989], ""v12"": [0.99999], ""v13"": [1.0, 0.999999, 0.999999, 0.999999, 0.999998]}"
2,13,31,1,True,303021,327.753650,0.00099999,303021,327.753650,0.61231210,0.00000000,0.61231210,0.001,,"{""v0"": 0.00044, ""v1"": 0.000433, ""v2"": 0.000354, ""v3"": 9e-06, ""v4"": 1e-06, ""v5"": 0.0, ""v6"": 0.190492, ""v7"": 0.190385, ""v8"": 0.469978, ""v9"": 0.14782, ""v10"": 0.0, ""v11"": 8.3e-05, ""v12"": 6e-06}","{""v0"": [0.61651, 0.616267, 0.616208, 0.616146], ""v1"": [0.616173, 0.615682], ""v2"": [0.616545, 0.616306, 0.616132], ""v3"": [0.616865, 0.616843], ""v4"": [0.616897, 0.616896], ""v5"": [0.616899, 0.616899, 0.616899], ""v6"": [0.616663, 0.568528, 0.438964], ""v7"": [0.792263, 0.616456], ""v8"": [0.616769, 0.312148, 0.308365], ""v9"": [0.6169], ""v10"": [0.999994], ""v11"": [0.999916, 0.999833], ""v12"": [0.999994, 0.999989, 0.999988]}"
2,13,31,2,True,273763,331.159461,0.00099999,273763,331.159461,0.61233109,0.00001899,0.61231210,0.001,10,"{""v0"": 1.8e-05, ""v1"": 0.000114, ""v2"": 0.000303, ""v3"": 0.000357, ""v4"": 1e-06, ""v5"": 1e-06, ""v6"": 0.190343, ""v7"": 0.190564, ""v8"": 0.470131, ""v9"": 0.147841, ""v10"": 0.0, ""v11"": 7e-06, ""v12"": 0.00032}","{""v0"": [0.616815, 0.616785, 0.616777, 0.616769], ""v1"": [0.616559, 0.616428], ""v2"": [0.616502, 0.616297, 0.616147], ""v3"": [0.616305, 0.616011], ""v4"": [0.616849, 0.616847], ""v5"": [0.616852, 0.616851, 0.616851], ""v6"": [0.616654, 0.568532, 0.439034], ""v7"": [0.792094, 0.616214], ""v8"": [0.616664, 0.312057, 0.308275], ""v9"": [0.616853], ""v10"": [0.999993], ""v11"": [0.999993, 0.999987], ""v12"": [0.999653, 0.999361, 0.999315]}"
3,12,43,1,True,129873,315.342501,0.00099996,129873,315.342501,0.76245647,0.00000000,0.76245647,0.001,,"{""v0"": 0.082597, ""v1"": 2e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189241, ""v6"": 0.248821, ""v7"": 0.000624, ""v8"": 0.000479, ""v9"": 9.8e-05, ""v10"": 0.243736, ""v11"": 0.2344}","{""v0"": [0.761785], ""v1"": [0.999998, 0.999997, 0.999995], ""v2"": [0.999999, 0.999999, 0.999999, 0.999997], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999998], ""v5"": [0.76243, 0.749311, 0.746505, 0.622969, 0.602891, 0.592699, 0.580839], ""v6"": [0.762494, 0.733973, 0.723084, 0.654703, 0.633206, 0.587854, 0.50268], ""v7"": [0.761954, 0.7617], ""v8"": [0.762081, 0.761581, 0.761189], ""v9"": [0.762409, 0.762304, 0.762288], ""v10"": [0.762526, 0.735082, 0.692467, 0.546849], ""v11"": [0.762516, 0.708594, 0.658413, 0.511986]}"
3,12,43,2,True,153582,126.594855,0.00099987,153582,126.594855,0.76253014,0.00007367,0.76245647,0.001,10,"{""v0"": 0.08253, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189196, ""v6"": 0.248742, ""v7"": 8.2e-05, ""v8"": 0.000606, ""v9"": 0.000942, ""v10"": 0.243617, ""v11"": 0.234282}","{""v0"": [0.761937], ""v1"": [0.999999, 0.999999, 0.999999], ""v2"": [0.999999, 0.999999, 0.999999, 0.999998], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999999], ""v5"": [0.762476, 0.749359, 0.746553, 0.623029, 0.602952, 0.592761, 0.580901], ""v6"": [0.762558, 0.734042, 0.723155, 0.654783, 0.633289, 0.58794, 0.502768], ""v7"": [0.762549, 0.762516], ""v8"": [0.762062, 0.761431, 0.760935], ""v9"": [0.761509, 0.760514, 0.760362], ""v10"": [0.762625, 0.735188, 0.692583, 0.546984], ""v11"": [0.762617, 0.708709, 0.658538, 0.512126]}"
4,14,47,1,True,282734,736.199298,0.00099996,282734,736.199298,0.73222990,0.00000000,0.73222990,0.001,,"{""v0"": 0.197105, ""v1"": 2e-06, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.307285, ""v6"": 0.013968, ""v7"": 0.136863, ""v8"": 0.125564, ""v9"": 0.0, ""v10"": 0.000256, ""v11"": 1e-06, ""v12"": 0.098335, ""v13"": 0.120619}","{""v0"": [0.732256, 0.559107], ""v1"": [0.999997, 0.999996], ""v2"": [0.999999, 0.999999], ""v3"": [0.999999, 0.999999, 0.999999, 0.999999], ""v4"": [1.0, 1.0, 1.0, 1.0], ""v5"": [0.732258, 0.723329, 0.676758, 0.630836, 0.616712], ""v6"": [0.731767, 0.729539, 0.728649], ""v7"": [0.744566, 0.732595, 0.718088, 0.692231], ""v8"": [0.877498, 0.782211, 0.765706, 0.74735, 0.721793, 0.696914], ""v9"": [0.73193, 0.73193, 0.731929], ""v10"": [0.731606, 0.731588, 0.731578], ""v11"": [0.731929, 0.731929, 0.731928], ""v12"": [0.73193, 0.706133, 0.667779], ""v13"": [0.853359, 0.755904, 0.641064]}"
4,14,47,2,True,268455,316.200059,0.00099990,268455,316.200059,0.73216977,-0.00006013,0.73222990,0.001,10,"{""v0"": 0.197151, ""v1"": 0.0, ""v2"": 0.0, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.307392, ""v6"": 0.015553, ""v7"": 0.134559, ""v8"": 0.126376, ""v9"": 5e-06, ""v10"": 1e-06, ""v11"": 2e-06, ""v12"": 0.098866, ""v13"": 0.120093}","{""v0"": [0.732206, 0.559045], ""v1"": [1.0, 1.0], ""v2"": [0.999999, 0.999999], ""v3"": [0.999999, 0.999999, 0.999997, 0.999997], ""v4"": [0.999999, 0.999999, 0.999999, 0.999999], ""v5"": [0.73218, 0.723249, 0.676671, 0.630744, 0.616619], ""v6"": [0.731699, 0.729221, 0.728232], ""v7"": [0.74577, 0.733962, 0.719626, 0.694075], ""v8"": [0.876763, 0.781046, 0.764479, 0.746059, 0.720421, 0.695471], ""v9"": [0.73192, 0.731919, 0.731916], ""v10"": [0.731924, 0.731924, 0.731924], ""v11"": [0.731922, 0.731922, 0.73192], ""v12"": [0.731925, 0.706001, 0.667476], ""v13"": [0.853935, 0.756754, 0.642125]}"
