network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
5,15,39,1,True,323,0.388344,0.00099791,323,0.388344,0.00184023,0.00000000,0.00184023,0.001,,"{""v0"": 0.000497, ""v1"": 0.000206, ""v2"": 0.000206, ""v3"": 0.002548, ""v4"": 0.000206, ""v5"": 0.000206, ""v6"": 0.000206, ""v7"": 0.000206, ""v8"": 0.000206, ""v9"": 0.242175, ""v10"": 0.009367, ""v11"": 0.002729, ""v12"": 0.000206, ""v13"": 0.39961, ""v14"": 0.341424}","{""v0"": [0.002237, 0.002237, 0.002236], ""v1"": [0.002243, 0.002242, 0.002241, 0.002239], ""v2"": [0.002242], ""v3"": [0.002205, 0.002204, 0.00219], ""v4"": [0.002235, 0.002235, 0.002229], ""v5"": [0.002241, 0.002241, 0.002238], ""v6"": [0.002206, 0.002206, 0.002198], ""v7"": [0.002221, 0.00222], ""v8"": [0.002235], ""v9"": [0.002246], ""v10"": [0.015433, 0.014934], ""v11"": [0.015866, 0.01537], ""v12"": [0.016455, 0.016454, 0.016436], ""v13"": [0.016476, 0.016122, 0.015334, 0.005758], ""v14"": [0.157518, 0.141736, 0.079035, 0.047468]}"
5,15,39,2,True,1059,1.222481,0.00099972,1059,1.222481,0.00184696,0.00000674,0.00184023,0.001,1,"{""v0"": 6.3e-05, ""v1"": 0.000504, ""v2"": 6.3e-05, ""v3"": 0.00153, ""v4"": 0.001168, ""v5"": 0.000151, ""v6"": 0.000551, ""v7"": 6.3e-05, ""v8"": 6.3e-05, ""v9"": 0.285111, ""v10"": 0.005716, ""v11"": 0.004051, ""v12"": 6.3e-05, ""v13"": 0.368495, ""v14"": 0.332408}","{""v0"": [0.00216, 0.00216, 0.00216], ""v1"": [0.002154, 0.002152, 0.002151, 0.002146], ""v2"": [0.00216], ""v3"": [0.002138, 0.002138, 0.00213], ""v4"": [0.002129, 0.002126, 0.0021], ""v5"": [0.002158, 0.002158, 0.002156], ""v6"": [0.002118, 0.002116, 0.002096], ""v7"": [0.002154, 0.002154], ""v8"": [0.002158], ""v9"": [0.002161], ""v10"": [0.019478, 0.019082], ""v11"": [0.019215, 0.018348], ""v12"": [0.020274, 0.020274, 0.020267], ""v13"": [0.020282, 0.019855, 0.018904, 0.007184], ""v14"": [0.165003, 0.148604, 0.083159, 0.050034]}"
6,14,46,1,True,47550,68.941232,0.00099968,47550,68.941232,0.04293548,0.00000000,0.04293548,0.001,,"{""v0"": 0.436968, ""v1"": 0.557329, ""v2"": 0.000971, ""v3"": 0.001257, ""v4"": 1.8e-05, ""v5"": 1.2e-05, ""v6"": 2.9e-05, ""v7"": 0.000991, ""v8"": 0.000137, ""v9"": 2e-06, ""v10"": 2e-06, ""v11"": 1.2e-05, ""v12"": 0.001178, ""v13"": 0.001096}","{""v0"": [0.042947], ""v1"": [0.042881, 0.039734, 0.034238, 0.021243, 0.01943], ""v2"": [0.990606, 0.975597], ""v3"": [0.98891, 0.986097, 0.971355], ""v4"": [0.998478, 0.998457, 0.998439, 0.998406, 0.998083], ""v5"": [0.998662, 0.998427], ""v6"": [0.998773, 0.998469, 0.998338], ""v7"": [0.991236, 0.987786, 0.986898], ""v8"": [0.999035, 0.99887, 0.99856], ""v9"": [0.991568, 0.991553], ""v10"": [0.991582, 0.991579, 0.991572, 0.991571], ""v11"": [0.991509, 0.991481, 0.991473, 0.991428], ""v12"": [0.991595, 0.99154, 0.988202, 0.986044, 0.978967, 0.973948], ""v13"": [0.993403, 0.990551, 0.983648]}"
6,14,46,2,True,155413,138.452372,0.00099987,155413,138.452372,0.04307135,0.00013587,0.04293548,0.001,1,"{""v0"": 0.437028, ""v1"": 0.556664, ""v2"": 3.4e-05, ""v3"": 0.000458, ""v4"": 2.1e-05, ""v5"": 2e-05, ""v6"": 0.001163, ""v7"": 0.001674, ""v8"": 0.001399, ""v9"": 0.00068, ""v10"": 0.0, ""v11"": 1.2e-05, ""v12"": 6.3e-05, ""v13"": 0.000783}","{""v0"": [0.042986], ""v1"": [0.04308, 0.039919, 0.034398, 0.021343, 0.019522], ""v2"": [0.999167, 0.998609], ""v3"": [0.995804, 0.994753, 0.989239], ""v4"": [0.990798, 0.990772, 0.990749, 0.990706, 0.990277], ""v5"": [0.990997, 0.99064], ""v6"": [0.991157, 0.980267, 0.975421], ""v7"": [0.986895, 0.981125, 0.979643], ""v8"": [0.990169, 0.988509, 0.985397], ""v9"": [0.99552, 0.990726], ""v10"": [0.999543, 0.999543, 0.999541, 0.999541], ""v11"": [0.999472, 0.999445, 0.999436, 0.999391], ""v12"": [0.999547, 0.999544, 0.999362, 0.999244, 0.998853, 0.998572], ""v13"": [0.995286, 0.993243, 0.988283]}"
7,12,31,1,True,1484,1.232231,0.00099989,1484,1.232231,0.00397976,0.00000000,0.00397976,0.001,,"{""v0"": 0.000358, ""v1"": 0.000655, ""v2"": 5.6e-05, ""v3"": 5.6e-05, ""v4"": 0.996541, ""v5"": 0.000155, ""v6"": 0.000116, ""v7"": 0.000131, ""v8"": 5.6e-05, ""v9"": 5.6e-05, ""v10"": 0.000186, ""v11"": 0.001633}","{""v0"": [0.003975, 0.003975, 0.003973, 0.003956], ""v1"": [0.003968], ""v2"": [0.003982, 0.003981, 0.003981], ""v3"": [0.003981], ""v4"": [0.003984, 0.003629, 0.003602, 0.002495, 0.002167], ""v5"": [0.997688, 0.996972], ""v6"": [0.996742, 0.99655], ""v7"": [0.998058, 0.997865, 0.997102], ""v8"": [0.999324, 0.99857], ""v9"": [0.999669, 0.999577], ""v10"": [0.99877, 0.99788, 0.997312, 0.996363], ""v11"": [0.988594, 0.985837]}"
7,12,31,2,True,3574,2.116502,0.00099992,3574,2.116502,0.00405069,0.00007093,0.00397976,0.001,1,"{""v0"": 3e-05, ""v1"": 0.000209, ""v2"": 0.000152, ""v3"": 6.5e-05, ""v4"": 0.991811, ""v5"": 0.001447, ""v6"": 0.002189, ""v7"": 0.00236, ""v8"": 0.000291, ""v9"": 3.5e-05, ""v10"": 3e-05, ""v11"": 0.001381}","{""v0"": [0.004052, 0.004052, 0.004052, 0.004051], ""v1"": [0.004048], ""v2"": [0.004048, 0.004046, 0.004044], ""v3"": [0.004049], ""v4"": [0.004053, 0.003692, 0.003665, 0.002539, 0.002204], ""v5"": [0.991, 0.984205], ""v6"": [0.964772, 0.961368], ""v7"": [0.975958, 0.972618, 0.959639], ""v8"": [0.998051, 0.994163], ""v9"": [0.999796, 0.999739], ""v10"": [0.999805, 0.999664, 0.999574, 0.999423], ""v11"": [0.990347, 0.988008]}"
8,14,49,1,True,38098,64.262883,0.00099997,38098,64.262883,0.04560806,0.00000000,0.04560806,0.001,,"{""v0"": 0.449131, ""v1"": 0.000453, ""v2"": 4.4e-05, ""v3"": 0.271699, ""v4"": 0.276031, ""v5"": 5e-06, ""v6"": 2e-06, ""v7"": 7.7e-05, ""v8"": 7e-06, ""v9"": 2e-06, ""v10"": 1.2e-05, ""v11"": 6.8e-05, ""v12"": 0.000969, ""v13"": 0.001501}","{""v0"": [0.04568], ""v1"": [0.045251, 0.045239, 0.045236], ""v2"": [0.045355, 0.045351, 0.04535, 0.045331], ""v3"": [0.045371, 0.031976, 0.020482], ""v4"": [0.210066, 0.208997, 0.126354], ""v5"": [0.999325, 0.999316, 0.99931, 0.999228], ""v6"": [0.999354, 0.999343], ""v7"": [0.999372, 0.99919, 0.998384], ""v8"": [0.999034, 0.999018, 0.999008, 0.999, 0.99896], ""v9"": [0.999091, 0.999089, 0.999069, 0.999035], ""v10"": [0.999118, 0.999102, 0.999084, 0.999058, 0.998973], ""v11"": [0.999269, 0.99905, 0.998974], ""v12"": [0.994374, 0.993961, 0.99301, 0.991676, 0.991602], ""v13"": [0.988717, 0.975924, 0.974004, 0.972753]}"
8,14,49,2,True,168364,178.171825,0.00099991,168364,178.171825,0.04572408,0.00011601,0.04560806,0.001,1,"{""v0"": 0.449172, ""v1"": 7e-06, ""v2"": 0.000579, ""v3"": 0.272264, ""v4"": 0.273814, ""v5"": 0.0, ""v6"": 7e-06, ""v7"": 0.001226, ""v8"": 0.000523, ""v9"": 0.000811, ""v10"": 0.0, ""v11"": 3.3e-05, ""v12"": 9.9e-05, ""v13"": 0.001465}","{""v0"": [0.045684], ""v1"": [0.04578, 0.04578, 0.04578], ""v2"": [0.045567, 0.045524, 0.045502, 0.045256], ""v3"": [0.045782, 0.032257, 0.020658], ""v4"": [0.212607, 0.211528, 0.128042], ""v5"": [0.990071, 0.990071, 0.99007, 0.990064], ""v6"": [0.990004, 0.989961], ""v7"": [0.990075, 0.987234, 0.974825], ""v8"": [0.995503, 0.994475, 0.993844, 0.993306, 0.990565], ""v9"": [0.993168, 0.992683, 0.987616, 0.977576], ""v10"": [0.999642, 0.999642, 0.999641, 0.99964, 0.999636], ""v11"": [0.999648, 0.999542, 0.999505], ""v12"": [0.999422, 0.999379, 0.99928, 0.999142, 0.999134], ""v13"": [0.98898, 0.976478, 0.974602, 0.973379]}"
9,10,23,1,True,1056,0.597702,0.00099997,1056,0.597702,0.00453538,0.00000000,0.00453538,0.001,,"{""v0"": 0.000484, ""v1"": 0.002595, ""v2"": 0.000194, ""v3"": 0.005617, ""v4"": 0.989629, ""v5"": 9.5e-05, ""v6"": 9.5e-05, ""v7"": 0.000143, ""v8"": 9.5e-05, ""v9"": 0.001053}","{""v0"": [0.004678, 0.004674, 0.004671, 0.004665], ""v1"": [0.004704, 0.004638], ""v2"": [0.004835, 0.004833, 0.004832, 0.004829, 0.004823], ""v3"": [0.004669, 0.004629], ""v4"": [0.00484, 0.001888], ""v5"": [0.998021, 0.996196], ""v6"": [0.999106, 0.998198], ""v7"": [0.998873], ""v8"": [0.999329], ""v9"": [0.994041, 0.993789]}"
9,10,23,2,True,1926,0.637767,0.00099992,1926,0.637767,0.00454595,0.00001057,0.00453538,0.001,1,"{""v0"": 0.00044, ""v1"": 0.001017, ""v2"": 0.000967, ""v3"": 0.005341, ""v4"": 0.990958, ""v5"": 5.2e-05, ""v6"": 5.2e-05, ""v7"": 5.2e-05, ""v8"": 0.000161, ""v9"": 0.00096}","{""v0"": [0.004706, 0.004703, 0.004701, 0.004697], ""v1"": [0.004731, 0.004704], ""v2"": [0.004783, 0.004776, 0.004771, 0.004756, 0.004727], ""v3"": [0.004647, 0.00461], ""v4"": [0.004809, 0.001876], ""v5"": [0.998914, 0.997911], ""v6"": [0.999509, 0.999011], ""v7"": [0.999592], ""v8"": [0.998863], ""v9"": [0.994563, 0.994332]}"
