network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,17915,1.519537,0.00099395,0.21312205,0.21326285,0.00014080,"{""v0"": 8e-06, ""v1"": 8e-06, ""v2"": 0.015205, ""v3"": 0.001803, ""v4"": 0.385547, ""v5"": 4e-06, ""v6"": 0.130318, ""v7"": 4e-06, ""v8"": 4e-06, ""v9"": 0.000136, ""v10"": 4e-06, ""v11"": 0.139487, ""v12"": 0.327471}",{}
1,14,45,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,7967,0.480880,0.00099257,0.30140097,0.30042729,-0.00097367,"{""v0"": 9e-06, ""v1"": 0.756302, ""v2"": 3.4e-05, ""v3"": 3.4e-05, ""v4"": 0.243154, ""v5"": 9e-06, ""v6"": 9e-06, ""v7"": 9e-06, ""v8"": 9e-06, ""v9"": 3.4e-05, ""v10"": 0.000372, ""v11"": 9e-06, ""v12"": 9e-06, ""v13"": 9e-06}",{}
2,13,31,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1888,0.111825,0.00099965,0.35466972,0.35564786,0.00097813,"{""v0"": 0.439241, ""v1"": 4.1e-05, ""v2"": 0.000129, ""v3"": 4.1e-05, ""v4"": 4.1e-05, ""v5"": 4.1e-05, ""v6"": 0.319396, ""v7"": 4.1e-05, ""v8"": 0.239072, ""v9"": 4.1e-05, ""v10"": 4.1e-05, ""v11"": 0.001748, ""v12"": 0.000129}",{}
3,12,43,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1286,0.043347,0.00099940,0.36344319,0.36339821,-0.00004498,"{""v0"": 6.5e-05, ""v1"": 6.5e-05, ""v2"": 6.5e-05, ""v3"": 6.5e-05, ""v4"": 6.5e-05, ""v5"": 6.5e-05, ""v6"": 0.998138, ""v7"": 0.000639, ""v8"": 6.5e-05, ""v9"": 6.5e-05, ""v10"": 0.000639, ""v11"": 6.5e-05}",{}
4,14,47,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1108,0.052026,0.00099977,0.33859703,0.33828968,-0.00030735,"{""v0"": 6.4e-05, ""v1"": 6.4e-05, ""v2"": 6.4e-05, ""v3"": 6.4e-05, ""v4"": 6.4e-05, ""v5"": 0.982644, ""v6"": 6.4e-05, ""v7"": 6.4e-05, ""v8"": 6.4e-05, ""v9"": 0.016582, ""v10"": 6.4e-05, ""v11"": 6.4e-05, ""v12"": 6.4e-05, ""v13"": 6.4e-05}",{}
5,15,39,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3335,0.209152,0.00099988,0.11289045,0.11505933,0.00216888,"{""v0"": 2e-05, ""v1"": 5.8e-05, ""v2"": 2e-05, ""v3"": 0.000981, ""v4"": 2e-05, ""v5"": 2e-05, ""v6"": 2e-05, ""v7"": 2e-05, ""v8"": 2e-05, ""v9"": 0.000981, ""v10"": 0.391959, ""v11"": 2e-05, ""v12"": 2e-05, ""v13"": 0.522744, ""v14"": 0.083097}",{}
6,14,46,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,12560,1.115153,0.00099959,0.28329248,0.28229286,-0.00099962,"{""v0"": 6e-06, ""v1"": 0.889695, ""v2"": 6e-06, ""v3"": 6e-06, ""v4"": 0.110049, ""v5"": 5.1e-05, ""v6"": 5.1e-05, ""v7"": 1.4e-05, ""v8"": 6e-06, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 5.1e-05, ""v12"": 6e-06, ""v13"": 5.1e-05}",{}
7,12,31,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1068,0.062473,0.00099924,0.25071920,0.24945901,-0.00126019,"{""v0"": 0.000234, ""v1"": 0.000597, ""v2"": 7.8e-05, ""v3"": 7.8e-05, ""v4"": 0.997121, ""v5"": 0.000597, ""v6"": 7.8e-05, ""v7"": 7.8e-05, ""v8"": 7.8e-05, ""v9"": 7.8e-05, ""v10"": 0.000597, ""v11"": 0.000385}",{}
8,14,49,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,11889,0.901412,0.00099542,0.29890516,0.29903130,0.00012614,"{""v0"": 6e-06, ""v1"": 0.013886, ""v2"": 6e-06, ""v3"": 0.46419, ""v4"": 0.253776, ""v5"": 0.000125, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 6e-06, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 6e-06, ""v12"": 0.267968, ""v13"": 6e-06}",{}
9,10,23,1.0,greedy_probability,greedy_probability,stochastic,1,True,regret,15894,0.718059,0.00099829,0.23854106,0.23758993,-0.00095113,"{""v0"": 0.075674, ""v1"": 6e-06, ""v2"": 6e-06, ""v3"": 0.691624, ""v4"": 0.070477, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 6e-06, ""v9"": 0.162187}",{}
