network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
5,15,39,1,True,regret,631,0.934544,0.00099985,631,0.934544,0.11630847,0.00000000,0.11630847,0.001,,"{""v0"": 0.001105, ""v1"": 0.000106, ""v2"": 0.000106, ""v3"": 0.00042, ""v4"": 0.000106, ""v5"": 0.000106, ""v6"": 0.000106, ""v7"": 0.000106, ""v8"": 0.000106, ""v9"": 0.003593, ""v10"": 0.002155, ""v11"": 0.000301, ""v12"": 0.000106, ""v13"": 0.747936, ""v14"": 0.243644}","{""v0"": [0.294257, 0.294229, 0.294059], ""v1"": [0.295274, 0.295249, 0.295233, 0.295159], ""v2"": [0.29524], ""v3"": [0.294954, 0.294942, 0.294806], ""v4"": [0.295029, 0.295014, 0.294848], ""v5"": [0.295214, 0.295212, 0.295125], ""v6"": [0.294184, 0.294162, 0.293931], ""v7"": [0.294618, 0.294586], ""v8"": [0.295018], ""v9"": [0.295382], ""v10"": [0.298149, 0.297607], ""v11"": [0.298853, 0.298604], ""v12"": [0.299126, 0.299124, 0.299087], ""v13"": [0.299169, 0.29483, 0.284952, 0.133101], ""v14"": [0.753601, 0.729835, 0.583995, 0.44909]}"
5,15,39,2,True,regret,23994,32.465576,0.00099921,23994,32.465576,0.11647489,0.00016642,0.11630847,0.001,1,"{""v0"": 3e-06, ""v1"": 3e-06, ""v2"": 3e-06, ""v3"": 1.6e-05, ""v4"": 0.00188, ""v5"": 5.4e-05, ""v6"": 0.001213, ""v7"": 4e-06, ""v8"": 4e-06, ""v9"": 0.000811, ""v10"": 7.4e-05, ""v11"": 0.001753, ""v12"": 3e-06, ""v13"": 0.745954, ""v14"": 0.248225}","{""v0"": [0.297488, 0.297488, 0.297487], ""v1"": [0.297488, 0.297487, 0.297487, 0.297485], ""v2"": [0.297487], ""v3"": [0.297474, 0.297473, 0.297467], ""v4"": [0.294162, 0.293905, 0.29129], ""v5"": [0.297397, 0.297396, 0.297347], ""v6"": [0.292075, 0.29182, 0.289237], ""v7"": [0.297457, 0.297456], ""v8"": [0.297475], ""v9"": [0.297491], ""v10"": [0.298254, 0.298235], ""v11"": [0.296718, 0.295291], ""v12"": [0.298288, 0.298288, 0.298287], ""v13"": [0.29829, 0.29397, 0.284135, 0.132825], ""v14"": [0.749679, 0.725672, 0.578882, 0.443898]}"
6,14,46,1,True,regret,64410,105.698613,0.00099992,64410,105.698613,0.43781451,0.00000000,0.43781451,0.001,,"{""v0"": 0.37171, ""v1"": 0.626937, ""v2"": 0.000358, ""v3"": 0.000188, ""v4"": 3e-06, ""v5"": 2e-06, ""v6"": 5e-06, ""v7"": 1.3e-05, ""v8"": 1e-05, ""v9"": 1e-06, ""v10"": 1e-06, ""v11"": 6e-06, ""v12"": 1.7e-05, ""v13"": 0.00075}","{""v0"": [0.441118], ""v1"": [0.439887, 0.420402, 0.383264, 0.275587, 0.257787], ""v2"": [0.999388, 0.998249], ""v3"": [0.999691, 0.999606, 0.999148], ""v4"": [0.999968, 0.999967, 0.999967, 0.999966, 0.999956], ""v5"": [0.999973, 0.999965], ""v6"": [0.999977, 0.999968, 0.999964], ""v7"": [0.999964, 0.999955, 0.999953], ""v8"": [0.999985, 0.999983, 0.999978], ""v9"": [0.999973, 0.999971], ""v10"": [0.999974, 0.999974, 0.999973, 0.999973], ""v11"": [0.999969, 0.999966, 0.999966, 0.999962], ""v12"": [0.999976, 0.999976, 0.999966, 0.99996, 0.999939, 0.999924], ""v13"": [0.999095, 0.9987, 0.997737]}"
6,14,46,2,True,plateau,245000,220.510645,0.00119951,245000,220.510645,0.43805985,0.00024535,0.43781451,0.001,1,"{""v0"": 0.371858, ""v1"": 0.625578, ""v2"": 3e-06, ""v3"": 6e-06, ""v4"": 6e-06, ""v5"": 3e-06, ""v6"": 0.000161, ""v7"": 0.001078, ""v8"": 0.000896, ""v9"": 0.000387, ""v10"": 0.0, ""v11"": 2e-06, ""v12"": 8e-06, ""v13"": 1.5e-05}","{""v0"": [0.440998], ""v1"": [0.440605, 0.421112, 0.383953, 0.276169, 0.258345], ""v2"": [0.999982, 0.999974], ""v3"": [0.999977, 0.999974, 0.999961], ""v4"": [0.999741, 0.99974, 0.999739, 0.999736, 0.999713], ""v5"": [0.999752, 0.999741], ""v6"": [0.999757, 0.999447, 0.999307], ""v7"": [0.99837, 0.997609, 0.997413], ""v8"": [0.998734, 0.998518, 0.998112], ""v9"": [0.999531, 0.998981], ""v10"": [0.999988, 0.999988, 0.999988, 0.999988], ""v11"": [0.999986, 0.999986, 0.999985, 0.999984], ""v12"": [0.999989, 0.999988, 0.999984, 0.999981, 0.999971, 0.999964], ""v13"": [0.999982, 0.999974, 0.999955]}"
7,12,31,1,True,regret,1892,1.958901,0.00099983,1892,1.958901,0.24977874,0.00000000,0.24977874,0.001,,"{""v0"": 0.000194, ""v1"": 0.000201, ""v2"": 4.4e-05, ""v3"": 4.4e-05, ""v4"": 0.998039, ""v5"": 6.5e-05, ""v6"": 4.4e-05, ""v7"": 4.4e-05, ""v8"": 4.4e-05, ""v9"": 4.4e-05, ""v10"": 0.000117, ""v11"": 0.001118}","{""v0"": [0.253141, 0.253139, 0.253117, 0.252979], ""v1"": [0.253138], ""v2"": [0.253191, 0.25318, 0.25317], ""v3"": [0.253174], ""v4"": [0.253211, 0.235929, 0.234571, 0.17495, 0.155461], ""v5"": [0.999758, 0.999697], ""v6"": [0.999691, 0.999676], ""v7"": [0.999807, 0.999794, 0.999742], ""v8"": [0.999894, 0.999776], ""v9"": [0.999948, 0.999934], ""v10"": [0.999845, 0.999733, 0.999661, 0.999541], ""v11"": [0.998428, 0.998044]}"
7,12,31,2,True,regret,66656,48.544147,0.00099999,66656,48.544147,0.25025699,0.00047826,0.24977874,0.001,1,"{""v0"": 2e-06, ""v1"": 8e-06, ""v2"": 4e-06, ""v3"": 2e-06, ""v4"": 0.996697, ""v5"": 1.3e-05, ""v6"": 0.001476, ""v7"": 0.001765, ""v8"": 9e-06, ""v9"": 2e-06, ""v10"": 2e-06, ""v11"": 2e-05}","{""v0"": [0.253676, 0.253676, 0.253676, 0.253674], ""v1"": [0.253674], ""v2"": [0.253674, 0.253673, 0.253672], ""v3"": [0.253674], ""v4"": [0.253676, 0.236371, 0.235011, 0.175301, 0.155779], ""v5"": [0.999981, 0.999968], ""v6"": [0.995149, 0.994662], ""v7"": [0.996647, 0.996128, 0.994083], ""v8"": [0.999986, 0.999961], ""v9"": [0.999997, 0.999996], ""v10"": [0.999998, 0.999996, 0.999995, 0.999994], ""v11"": [0.999973, 0.999966]}"
8,14,49,1,True,regret,59925,105.061943,0.00099997,59925,105.061943,0.45748098,0.00000000,0.45748098,0.001,,"{""v0"": 0.377503, ""v1"": 3.9e-05, ""v2"": 9e-06, ""v3"": 0.262273, ""v4"": 0.358711, ""v5"": 1e-06, ""v6"": 1e-06, ""v7"": 5e-06, ""v8"": 2e-06, ""v9"": 1e-06, ""v10"": 2e-06, ""v11"": 8e-06, ""v12"": 0.000625, ""v13"": 0.00082}","{""v0"": [0.468742], ""v1"": [0.467832, 0.46783, 0.46783], ""v2"": [0.467849, 0.467847, 0.467847, 0.467838], ""v3"": [0.467857, 0.407915, 0.328032], ""v4"": [0.647363, 0.645888, 0.499583], ""v5"": [0.99999, 0.99999, 0.99999, 0.999986], ""v6"": [0.99999, 0.999989], ""v7"": [0.999993, 0.99999, 0.999981], ""v8"": [0.999975, 0.999974, 0.999974, 0.999973, 0.999972], ""v9"": [0.999976, 0.999975, 0.999974, 0.999971], ""v10"": [0.999978, 0.999978, 0.999977, 0.999977, 0.999974], ""v11"": [0.999983, 0.999977, 0.999975], ""v12"": [0.999272, 0.999218, 0.999094, 0.99892, 0.99891], ""v13"": [0.998759, 0.99732, 0.997102, 0.996959]}"
8,14,49,2,True,plateau,227000,210.271650,0.00111488,227000,210.271650,0.45766385,0.00018287,0.45748098,0.001,1,"{""v0"": 0.377614, ""v1"": 2e-06, ""v2"": 0.000333, ""v3"": 0.261581, ""v4"": 0.358344, ""v5"": 0.0, ""v6"": 1e-06, ""v7"": 0.000844, ""v8"": 1e-06, ""v9"": 0.00054, ""v10"": 0.0, ""v11"": 2e-06, ""v12"": 5e-06, ""v13"": 0.000732}","{""v0"": [0.468669], ""v1"": [0.468457, 0.468456, 0.468456], ""v2"": [0.46817, 0.468112, 0.468083, 0.467752], ""v3"": [0.468458, 0.408552, 0.328666], ""v4"": [0.647662, 0.646187, 0.499903], ""v5"": [0.998625, 0.998624, 0.998624, 0.998623], ""v6"": [0.998622, 0.998621], ""v7"": [0.998625, 0.998227, 0.996466], ""v8"": [0.999994, 0.999993, 0.999993, 0.999993, 0.999991], ""v9"": [0.999135, 0.99907, 0.998384, 0.997008], ""v10"": [0.999996, 0.999996, 0.999996, 0.999995, 0.999995], ""v11"": [0.999997, 0.999996, 0.999995], ""v12"": [0.999994, 0.999994, 0.999993, 0.999991, 0.999991], ""v13"": [0.998892, 0.997608, 0.997413, 0.997285]}"
9,10,23,1,True,regret,2230,1.280153,0.00099972,2230,1.280153,0.25483237,0.00000000,0.25483237,0.001,,"{""v0"": 8.7e-05, ""v1"": 0.000344, ""v2"": 4.9e-05, ""v3"": 0.003156, ""v4"": 0.995501, ""v5"": 4.5e-05, ""v6"": 4.5e-05, ""v7"": 6.1e-05, ""v8"": 4.5e-05, ""v9"": 0.000666}","{""v0"": [0.284992, 0.284983, 0.284975, 0.28496], ""v1"": [0.285058, 0.284934], ""v2"": [0.285295, 0.28529, 0.285287, 0.285276, 0.285256], ""v3"": [0.284008, 0.283694], ""v4"": [0.285312, 0.134413], ""v5"": [0.999812, 0.999639], ""v6"": [0.999915, 0.999829], ""v7"": [0.999904], ""v8"": [0.999936], ""v9"": [0.999244, 0.999211]}"
9,10,23,2,True,regret,20588,6.995699,0.00099998,20588,6.995699,0.25495612,0.00012375,0.25483237,0.001,1,"{""v0"": 0.000404, ""v1"": 2.5e-05, ""v2"": 1.7e-05, ""v3"": 0.003354, ""v4"": 0.995144, ""v5"": 5e-06, ""v6"": 5e-06, ""v7"": 5e-06, ""v8"": 1.4e-05, ""v9"": 0.001027}","{""v0"": [0.285185, 0.285154, 0.285126, 0.285075], ""v1"": [0.285417, 0.285408], ""v2"": [0.285434, 0.285433, 0.285432, 0.285428, 0.285421], ""v3"": [0.284054, 0.28372], ""v4"": [0.285441, 0.134485], ""v5"": [0.99998, 0.999961], ""v6"": [0.999991, 0.999981], ""v7"": [0.999992], ""v8"": [0.999979], ""v9"": [0.998834, 0.998784]}"
