network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
18,10,20,1,True,97530,100.833186,0.00099981,97530,100.833186,0.84599801,0.00000000,0.84599801,0.001,,"{""v0"": 0.140721, ""v1"": 0.137968, ""v2"": 0.000961, ""v3"": 3.4e-05, ""v4"": 3e-06, ""v5"": 0.101764, ""v6"": 0.159723, ""v7"": 0.155884, ""v8"": 0.151287, ""v9"": 0.151655}","{""v0"": [0.845907, 0.70611], ""v1"": [0.845192], ""v2"": [0.998644, 0.998111], ""v3"": [0.999872], ""v4"": [0.999995, 0.999992, 0.999991], ""v5"": [0.845753, 0.799393], ""v6"": [0.845989, 0.845542], ""v7"": [0.846], ""v8"": [0.845984, 0.835213, 0.830739, 0.640433, 0.631159], ""v9"": [0.845986]}"
18,10,20,2,True,84747,166.487675,0.00099972,84747,166.487675,0.84589950,-0.00009851,0.84599801,0.001,100,"{""v0"": 0.14081, ""v1"": 0.138159, ""v2"": 0.000101, ""v3"": 1.9e-05, ""v4"": 7e-06, ""v5"": 0.101873, ""v6"": 0.159855, ""v7"": 0.155992, ""v8"": 0.151412, ""v9"": 0.151774}","{""v0"": [0.84582, 0.705971], ""v1"": [0.845755], ""v2"": [0.999858, 0.999802], ""v3"": [0.999918], ""v4"": [0.999987, 0.999981, 0.999977], ""v5"": [0.845607, 0.799214], ""v6"": [0.845872, 0.845426], ""v7"": [0.845904], ""v8"": [0.845869, 0.835092, 0.830615, 0.64023, 0.630953], ""v9"": [0.845876]}"
19,10,32,1,True,683,0.546023,0.00099908,683,0.546023,0.09886037,0.00000000,0.09886037,0.001,,"{""v0"": 0.003095, ""v1"": 0.001252, ""v2"": 0.001277, ""v3"": 0.002262, ""v4"": 0.004279, ""v5"": 0.000222, ""v6"": 0.000301, ""v7"": 0.000429, ""v8"": 0.000738, ""v9"": 0.986145}","{""v0"": [0.144672, 0.144582, 0.144567, 0.14432, 0.143948], ""v1"": [0.144617, 0.144581, 0.144396, 0.144268, 0.144149, 0.143759], ""v2"": [0.144994, 0.144926, 0.1445], ""v3"": [0.145508], ""v4"": [0.145096, 0.144949, 0.144847, 0.143706], ""v5"": [0.146222, 0.14621], ""v6"": [0.146277, 0.146234, 0.146224], ""v7"": [0.14621, 0.146018, 0.145989, 0.145986], ""v8"": [0.146134, 0.146055, 0.145943], ""v9"": [0.146345]}"
19,10,32,2,True,3486,15.798653,0.00099988,3486,15.798653,0.09928064,0.00042026,0.09886037,0.001,100,"{""v0"": 0.000493, ""v1"": 0.002789, ""v2"": 0.000493, ""v3"": 0.000513, ""v4"": 0.005178, ""v5"": 2.9e-05, ""v6"": 3.9e-05, ""v7"": 0.000199, ""v8"": 0.004129, ""v9"": 0.986138}","{""v0"": [0.145989, 0.145965, 0.145961, 0.145895, 0.145797], ""v1"": [0.14476, 0.144682, 0.144276, 0.143992, 0.143728, 0.142871], ""v2"": [0.145942, 0.145901, 0.145631], ""v3"": [0.146163], ""v4"": [0.144956, 0.144778, 0.144656, 0.14328], ""v5"": [0.146331, 0.146329], ""v6"": [0.146338, 0.146332, 0.146331], ""v7"": [0.146284, 0.146195, 0.146182, 0.14618], ""v8"": [0.145173, 0.144734, 0.144122], ""v9"": [0.146347]}"
20,10,24,1,True,148860,162.941669,0.00099960,148860,162.941669,0.74075909,0.00000000,0.74075909,0.001,,"{""v0"": 0.255756, ""v1"": 0.000121, ""v2"": 0.017136, ""v3"": 0.00305, ""v4"": 1e-06, ""v5"": 0.016572, ""v6"": 9e-06, ""v7"": 0.162347, ""v8"": 0.277256, ""v9"": 0.267751}","{""v0"": [0.740875, 0.672782], ""v1"": [0.999876, 0.999858, 0.999738], ""v2"": [0.740718, 0.72904], ""v3"": [0.737967, 0.720978], ""v4"": [0.757291], ""v5"": [0.740486, 0.739885, 0.734317, 0.731984], ""v6"": [0.757284, 0.757267], ""v7"": [0.757297, 0.729831], ""v8"": [0.757224, 0.672466, 0.659684], ""v9"": [0.740878, 0.667326, 0.638746]}"
20,10,24,2,True,150881,494.992530,0.00099984,150881,494.992530,0.74075907,-0.00000002,0.74075909,0.001,100,"{""v0"": 0.25576, ""v1"": 0.000113, ""v2"": 0.017413, ""v3"": 0.003083, ""v4"": 1e-06, ""v5"": 0.016833, ""v6"": 1.2e-05, ""v7"": 0.16212, ""v8"": 0.276912, ""v9"": 0.267753}","{""v0"": [0.740877, 0.672784], ""v1"": [0.999884, 0.999867, 0.999754], ""v2"": [0.740717, 0.728864], ""v3"": [0.738029, 0.720873], ""v4"": [0.757569], ""v5"": [0.740485, 0.739875, 0.734221, 0.731853], ""v6"": [0.757557, 0.757535], ""v7"": [0.757573, 0.730128], ""v8"": [0.757481, 0.672775, 0.659999], ""v9"": [0.740877, 0.667324, 0.638745]}"
21,11,25,1,True,121100,126.804147,0.00099994,121100,126.804147,0.69056814,0.00000000,0.69056814,0.001,,"{""v0"": 0.040242, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.33566, ""v6"": 0.000272, ""v7"": 5e-06, ""v8"": 4e-06, ""v9"": 0.270871, ""v10"": 0.352941}","{""v0"": [0.688611], ""v1"": [0.999986, 0.999983], ""v2"": [0.999991, 0.99999], ""v3"": [0.999997], ""v4"": [0.999999, 0.999999], ""v5"": [0.690441, 0.682349, 0.680955, 0.675783, 0.637785, 0.496352], ""v6"": [0.999711, 0.999595, 0.999229], ""v7"": [0.999988, 0.999975], ""v8"": [0.999995, 0.999992], ""v9"": [0.690634], ""v10"": [0.690485, 0.688318, 0.670868]}"
21,11,25,2,True,113503,296.299349,0.00099982,113503,296.299349,0.69051651,-0.00005163,0.69056814,0.001,100,"{""v0"": 0.040257, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.335755, ""v6"": 8e-06, ""v7"": 1.6e-05, ""v8"": 3e-06, ""v9"": 0.270925, ""v10"": 0.353032}","{""v0"": [0.688532], ""v1"": [0.999986, 0.999983], ""v2"": [0.999991, 0.99999], ""v3"": [0.999997], ""v4"": [0.999999, 0.999999], ""v5"": [0.690415, 0.682322, 0.680927, 0.675754, 0.63775, 0.496302], ""v6"": [0.999992, 0.999988, 0.999978], ""v7"": [0.999977, 0.999934], ""v8"": [0.999997, 0.999995], ""v9"": [0.690586], ""v10"": [0.690421, 0.688253, 0.670802]}"
22,13,42,1,True,4975,5.647073,0.00099998,4975,5.647073,0.37760767,0.00000000,0.37760767,0.001,,"{""v0"": 0.000795, ""v1"": 9.7e-05, ""v2"": 2.3e-05, ""v3"": 2.6e-05, ""v4"": 1.5e-05, ""v5"": 1.5e-05, ""v6"": 1.5e-05, ""v7"": 1.5e-05, ""v8"": 1.5e-05, ""v9"": 0.000343, ""v10"": 6.8e-05, ""v11"": 0.001502, ""v12"": 0.997068}","{""v0"": [0.379698, 0.37958], ""v1"": [0.380053, 0.380039, 0.380028], ""v2"": [0.38007, 0.380068, 0.380059, 0.380043, 0.380033], ""v3"": [0.380089, 0.380089], ""v4"": [0.380089, 0.380084, 0.380066], ""v5"": [0.380098], ""v6"": [0.380112, 0.38011, 0.380109, 0.380101, 0.380082], ""v7"": [0.380112], ""v8"": [0.380112, 0.380111, 0.38011, 0.380101, 0.380095], ""v9"": [0.380124, 0.380062, 0.380041], ""v10"": [0.380357, 0.380346, 0.380343, 0.380343], ""v11"": [0.379782, 0.379511, 0.379424, 0.378987, 0.378639], ""v12"": [0.38039, 0.357856, 0.163681]}"
22,13,42,2,True,36252,225.320635,0.00100000,36252,225.320635,0.37775784,0.00015017,0.37760767,0.001,100,"{""v0"": 4e-06, ""v1"": 1.4e-05, ""v2"": 6e-06, ""v3"": 7e-06, ""v4"": 9e-06, ""v5"": 2e-06, ""v6"": 2e-06, ""v7"": 2e-06, ""v8"": 5e-06, ""v9"": 0.002387, ""v10"": 8e-06, ""v11"": 0.000545, ""v12"": 0.997009}","{""v0"": [0.380189, 0.380188], ""v1"": [0.380184, 0.380183, 0.380181], ""v2"": [0.380183, 0.380183, 0.380181, 0.380178, 0.380176], ""v3"": [0.380186, 0.380186], ""v4"": [0.380182, 0.38018, 0.380173], ""v5"": [0.380189], ""v6"": [0.38019, 0.38019, 0.380189, 0.380189, 0.380187], ""v7"": [0.38019], ""v8"": [0.380189, 0.380188, 0.380188, 0.380187, 0.380186], ""v9"": [0.37881, 0.37838, 0.378235], ""v10"": [0.380408, 0.380406, 0.380406, 0.380406], ""v11"": [0.380191, 0.380093, 0.380061, 0.379902, 0.379775], ""v12"": [0.380412, 0.357877, 0.163694]}"
