network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
13,12,35,1.0,1,10,10,2000,100000,3.749088,0.012303,0.67845543,10/10,3457.1,0.988928,1457.1,-2.760160,1.729,0.264,"{""v0"": 0.338242, ""v1"": 0.248627, ""v2"": 4.2e-05, ""v3"": 4.2e-05, ""v4"": 4.2e-05, ""v5"": 6.9e-05, ""v6"": 0.002685, ""v7"": 0.218425, ""v8"": 0.191483, ""v9"": 9.8e-05, ""v10"": 0.000153, ""v11"": 9.2e-05}"
14,14,34,1.0,1,10,10,2000,100000,2.199421,0.001585,0.17518960,10/10,25324.2,11.636086,23324.2,9.436664,12.662,5.291,"{""v0"": 0.009396, ""v1"": 6.8e-05, ""v2"": 3.6e-05, ""v3"": 0.000129, ""v4"": 3.6e-05, ""v5"": 3.6e-05, ""v6"": 0.000115, ""v7"": 3.6e-05, ""v8"": 3.6e-05, ""v9"": 3.6e-05, ""v10"": 9.9e-05, ""v11"": 0.64795, ""v12"": 0.001885, ""v13"": 0.340144}"
15,14,45,1.0,1,10,10,2000,100000,2.976882,0.004091,0.26876728,10/10,67566.5,25.445816,65566.5,22.468934,33.783,8.548,"{""v0"": 0.40132, ""v1"": 0.001814, ""v2"": 0.000304, ""v3"": 0.59488, ""v4"": 0.001032, ""v5"": 3.6e-05, ""v6"": 3.6e-05, ""v7"": 3.6e-05, ""v8"": 0.000127, ""v9"": 3.6e-05, ""v10"": 5.7e-05, ""v11"": 6.1e-05, ""v12"": 3.6e-05, ""v13"": 0.000226}"
16,10,27,1.0,1,10,10,2000,100000,2.183899,0.008307,0.41914331,10/10,928.3,0.295149,-1071.7,-1.888750,0.464,0.135,"{""v0"": 0.0111, ""v1"": 0.0001, ""v2"": 0.003972, ""v3"": 0.000178, ""v4"": 0.000152, ""v5"": 5e-05, ""v6"": 0.624263, ""v7"": 0.359916, ""v8"": 0.000133, ""v9"": 0.000136}"
17,12,37,1.0,1,10,10,2000,100000,3.528458,0.022674,0.52672725,10/10,8755.3,2.902440,6755.3,-0.626017,4.378,0.823,"{""v0"": 0.000605, ""v1"": 0.000115, ""v2"": 0.000469, ""v3"": 4.6e-05, ""v4"": 0.569709, ""v5"": 0.00011, ""v6"": 4.3e-05, ""v7"": 4.2e-05, ""v8"": 4.2e-05, ""v9"": 0.002375, ""v10"": 0.425007, ""v11"": 0.001439}"
18,10,20,1.0,1,10,10,2000,100000,2.149234,0.008409,0.83204697,10/10,2445.0,0.367920,445.0,-1.781314,1.222,0.171,"{""v0"": 0.140231, ""v1"": 0.134521, ""v2"": 0.007344, ""v3"": 0.00153, ""v4"": 0.000128, ""v5"": 0.102164, ""v6"": 0.159272, ""v7"": 0.154643, ""v8"": 0.149904, ""v9"": 0.150262}"
19,10,32,1.0,1,10,10,2000,100000,1.995836,0.004032,0.08923140,0/10,,,,,,,"{""v0"": 0.001708, ""v1"": 0.000432, ""v2"": 0.000439, ""v3"": 0.000751, ""v4"": 0.001441, ""v5"": 7.6e-05, ""v6"": 0.000104, ""v7"": 0.000153, ""v8"": 0.000249, ""v9"": 0.994648}"
20,10,24,1.0,1,10,10,2000,100000,2.679161,0.003432,0.71980504,10/10,3071.9,0.982980,1071.9,-1.696181,1.536,0.367,"{""v0"": 0.244746, ""v1"": 0.009674, ""v2"": 0.042617, ""v3"": 0.01096, ""v4"": 8.8e-05, ""v5"": 0.043751, ""v6"": 0.000706, ""v7"": 0.14143, ""v8"": 0.241408, ""v9"": 0.264621}"
21,11,25,1.0,1,10,10,2000,100000,2.575136,0.004609,0.66595498,10/10,1030.8,0.227187,-969.2,-2.347950,0.515,0.088,"{""v0"": 0.042566, ""v1"": 5.6e-05, ""v2"": 6.8e-05, ""v3"": 4.5e-05, ""v4"": 4.5e-05, ""v5"": 0.333613, ""v6"": 0.00269, ""v7"": 0.00031, ""v8"": 0.00027, ""v9"": 0.268616, ""v10"": 0.35172}"
22,13,42,1.0,1,10,10,2000,100000,2.880081,0.009908,0.34076604,10/10,71867.6,31.962342,69867.6,29.082261,35.934,11.098,"{""v0"": 0.001064, ""v1"": 0.000246, ""v2"": 5.7e-05, ""v3"": 6.4e-05, ""v4"": 3.8e-05, ""v5"": 3.8e-05, ""v6"": 3.8e-05, ""v7"": 3.8e-05, ""v8"": 3.8e-05, ""v9"": 0.000838, ""v10"": 0.000171, ""v11"": 0.002504, ""v12"": 0.994862}"
23,14,37,1.0,1,10,10,2000,100000,2.425278,0.020873,0.08184606,10/10,33547.0,13.916095,31547.0,11.490817,16.773,5.738,"{""v0"": 5.1e-05, ""v1"": 0.001024, ""v2"": 0.000314, ""v3"": 0.000157, ""v4"": 0.610588, ""v5"": 0.002413, ""v6"": 0.004507, ""v7"": 3.6e-05, ""v8"": 7.4e-05, ""v9"": 0.380626, ""v10"": 3.6e-05, ""v11"": 3.6e-05, ""v12"": 0.000104, ""v13"": 3.6e-05}"
24,11,36,1.0,1,10,10,2000,100000,2.335559,0.010626,0.11054826,10/10,6344.6,1.734403,4344.6,-0.601156,3.172,0.743,"{""v0"": 0.004894, ""v1"": 4.5e-05, ""v2"": 4.5e-05, ""v3"": 0.000164, ""v4"": 0.003222, ""v5"": 0.990526, ""v6"": 7.5e-05, ""v7"": 0.000193, ""v8"": 0.000135, ""v9"": 4.5e-05, ""v10"": 0.000654}"
25,31,129,1.0,1,10,10,2000,100000,12.192581,0.051470,0.57667965,10/10,3827.3,3.545688,1827.3,-8.646892,1.914,0.291,"{""v0"": 0.206482, ""v1"": 1.8e-05, ""v2"": 7.9e-05, ""v3"": 0.000153, ""v4"": 1.6e-05, ""v5"": 1.6e-05, ""v6"": 1.9e-05, ""v7"": 1.6e-05, ""v8"": 1.6e-05, ""v9"": 1.6e-05, ""v10"": 1.6e-05, ""v11"": 1.6e-05, ""v12"": 0.000162, ""v13"": 1.7e-05, ""v14"": 1.6e-05, ""v15"": 1.6e-05, ""v16"": 1.6e-05, ""v17"": 0.335543, ""v18"": 0.018776, ""v19"": 0.000476, ""v20"": 0.00017, ""v21"": 1.6e-05, ""v22"": 1.6e-05, ""v23"": 1.6e-05, ""v24"": 1.6e-05, ""v25"": 1.6e-05, ""v26"": 1.6e-05, ""v27"": 1.6e-05, ""v28"": 0.004307, ""v29"": 0.00073, ""v30"": 0.432793}"
26,41,111,1.0,1,10,10,2000,100000,14.615514,0.065439,0.74614483,10/10,2078.0,2.292179,78.0,-12.323335,1.039,0.157,"{""v0"": 0.133609, ""v1"": 0.000176, ""v2"": 8.3e-05, ""v3"": 1.2e-05, ""v4"": 2.3e-05, ""v5"": 0.063718, ""v6"": 1.9e-05, ""v7"": 0.002744, ""v8"": 0.061298, ""v9"": 0.07375, ""v10"": 0.216092, ""v11"": 0.016263, ""v12"": 0.012666, ""v13"": 1.3e-05, ""v14"": 1.2e-05, ""v15"": 0.000108, ""v16"": 0.000224, ""v17"": 0.000155, ""v18"": 0.000159, ""v19"": 1.6e-05, ""v20"": 1.2e-05, ""v21"": 0.000108, ""v22"": 0.003865, ""v23"": 9e-05, ""v24"": 1.3e-05, ""v25"": 1.7e-05, ""v26"": 1.2e-05, ""v27"": 1.2e-05, ""v28"": 2.1e-05, ""v29"": 1.2e-05, ""v30"": 1.2e-05, ""v31"": 1.2e-05, ""v32"": 1.2e-05, ""v33"": 1.2e-05, ""v34"": 1.7e-05, ""v35"": 1.2e-05, ""v36"": 1.2e-05, ""v37"": 0.216109, ""v38"": 0.014888, ""v39"": 0.181749, ""v40"": 0.001862}"
27,43,150,1.0,1,10,10,2000,100000,14.950932,0.061793,0.20256298,10/10,21945.9,32.135334,19945.9,17.184402,10.973,2.149,"{""v0"": 0.004462, ""v1"": 7.4e-05, ""v2"": 0.000124, ""v3"": 1.2e-05, ""v4"": 1.2e-05, ""v5"": 0.00049, ""v6"": 0.005564, ""v7"": 0.3056, ""v8"": 0.677417, ""v9"": 1.2e-05, ""v10"": 1.9e-05, ""v11"": 0.001465, ""v12"": 7.8e-05, ""v13"": 1.2e-05, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 1.2e-05, ""v19"": 1.2e-05, ""v20"": 7.7e-05, ""v21"": 6.9e-05, ""v22"": 0.003929, ""v23"": 9.9e-05, ""v24"": 6.4e-05, ""v25"": 2.1e-05, ""v26"": 1.2e-05, ""v27"": 2.1e-05, ""v28"": 0.000137, ""v29"": 1.2e-05, ""v30"": 1.2e-05, ""v31"": 1.2e-05, ""v32"": 1.2e-05, ""v33"": 1.2e-05, ""v34"": 1.2e-05, ""v35"": 1.2e-05, ""v36"": 1.2e-05, ""v37"": 1.2e-05, ""v38"": 1.2e-05, ""v39"": 1.2e-05, ""v40"": 1.2e-05, ""v41"": 1.2e-05, ""v42"": 1.2e-05}"
28,44,144,1.0,1,10,10,2000,100000,22.756187,0.034316,0.85170543,10/10,1892.6,1.924969,-107.4,-20.831218,0.946,0.085,"{""v0"": 0.09143, ""v1"": 0.123726, ""v2"": 0.145529, ""v3"": 0.140128, ""v4"": 0.138688, ""v5"": 0.141943, ""v6"": 0.079244, ""v7"": 0.001469, ""v8"": 1.1e-05, ""v9"": 1.1e-05, ""v10"": 1.1e-05, ""v11"": 1.1e-05, ""v12"": 0.003172, ""v13"": 0.002681, ""v14"": 1.1e-05, ""v15"": 0.000257, ""v16"": 4.8e-05, ""v17"": 5.1e-05, ""v18"": 1.1e-05, ""v19"": 1.1e-05, ""v20"": 1.1e-05, ""v21"": 1.1e-05, ""v22"": 1.1e-05, ""v23"": 1.1e-05, ""v24"": 1.1e-05, ""v25"": 1.1e-05, ""v26"": 1.1e-05, ""v27"": 1.1e-05, ""v28"": 1.1e-05, ""v29"": 1.1e-05, ""v30"": 1.1e-05, ""v31"": 1.1e-05, ""v32"": 1.1e-05, ""v33"": 1.1e-05, ""v34"": 1.1e-05, ""v35"": 0.13083, ""v36"": 1.1e-05, ""v37"": 1.1e-05, ""v38"": 6.9e-05, ""v39"": 0.000417, ""v40"": 1.1e-05, ""v41"": 1.1e-05, ""v42"": 1.1e-05, ""v43"": 1.1e-05}"
29,38,148,1.0,1,10,10,2000,100000,12.472546,0.023205,0.09526366,10/10,12807.1,20.134596,10807.1,7.662049,6.404,1.614,"{""v0"": 0.000188, ""v1"": 6.6e-05, ""v2"": 2e-05, ""v3"": 1.3e-05, ""v4"": 6.5e-05, ""v5"": 1.3e-05, ""v6"": 1.3e-05, ""v7"": 1.3e-05, ""v8"": 1.3e-05, ""v9"": 1.3e-05, ""v10"": 1.3e-05, ""v11"": 1.3e-05, ""v12"": 1.3e-05, ""v13"": 1.3e-05, ""v14"": 1.3e-05, ""v15"": 0.001357, ""v16"": 0.000534, ""v17"": 0.282196, ""v18"": 0.165271, ""v19"": 0.495592, ""v20"": 0.00258, ""v21"": 7.2e-05, ""v22"": 1.3e-05, ""v23"": 1.3e-05, ""v24"": 1.3e-05, ""v25"": 1.3e-05, ""v26"": 1.3e-05, ""v27"": 1.8e-05, ""v28"": 1.3e-05, ""v29"": 1.3e-05, ""v30"": 1.3e-05, ""v31"": 1.3e-05, ""v32"": 0.051662, ""v33"": 6e-05, ""v34"": 1.5e-05, ""v35"": 1.5e-05, ""v36"": 1.3e-05, ""v37"": 1.3e-05}"
30,44,100,1.0,1,10,10,2000,100000,10.218331,0.011603,0.42891233,10/10,2497.2,2.738328,497.2,-7.480003,1.249,0.268,"{""v0"": 0.283066, ""v1"": 0.000254, ""v2"": 3.1e-05, ""v3"": 2.9e-05, ""v4"": 1.1e-05, ""v5"": 1.1e-05, ""v6"": 1.1e-05, ""v7"": 1.1e-05, ""v8"": 1.1e-05, ""v9"": 1.1e-05, ""v10"": 1.1e-05, ""v11"": 1.1e-05, ""v12"": 1.1e-05, ""v13"": 1.1e-05, ""v14"": 1.1e-05, ""v15"": 1.1e-05, ""v16"": 1.1e-05, ""v17"": 1.1e-05, ""v18"": 1.1e-05, ""v19"": 1.1e-05, ""v20"": 1.1e-05, ""v21"": 2.8e-05, ""v22"": 1.1e-05, ""v23"": 1.1e-05, ""v24"": 3.4e-05, ""v25"": 2.8e-05, ""v26"": 1.1e-05, ""v27"": 1.1e-05, ""v28"": 1.1e-05, ""v29"": 1.1e-05, ""v30"": 1.1e-05, ""v31"": 1.1e-05, ""v32"": 1.1e-05, ""v33"": 1.1e-05, ""v34"": 1.1e-05, ""v35"": 1.1e-05, ""v36"": 1.1e-05, ""v37"": 1.1e-05, ""v38"": 1.1e-05, ""v39"": 1.1e-05, ""v40"": 1.1e-05, ""v41"": 0.005452, ""v42"": 0.000956, ""v43"": 0.709735}"
31,35,150,1.0,1,10,10,2000,100000,21.104079,0.087542,0.66029303,10/10,2685.2,4.499428,685.2,-16.604651,1.343,0.213,"{""v0"": 0.31704, ""v1"": 0.182392, ""v2"": 0.17713, ""v3"": 0.002748, ""v4"": 0.000118, ""v5"": 0.000107, ""v6"": 1.4e-05, ""v7"": 0.000162, ""v8"": 0.005179, ""v9"": 0.089442, ""v10"": 0.085909, ""v11"": 3e-05, ""v12"": 1.4e-05, ""v13"": 2.1e-05, ""v14"": 0.002076, ""v15"": 0.001375, ""v16"": 1.4e-05, ""v17"": 1.4e-05, ""v18"": 1.4e-05, ""v19"": 1.4e-05, ""v20"": 1.4e-05, ""v21"": 1.4e-05, ""v22"": 1.4e-05, ""v23"": 1.4e-05, ""v24"": 1.4e-05, ""v25"": 1.4e-05, ""v26"": 1.4e-05, ""v27"": 1.4e-05, ""v28"": 1.4e-05, ""v29"": 0.026344, ""v30"": 1.7e-05, ""v31"": 1.7e-05, ""v32"": 0.010792, ""v33"": 2e-05, ""v34"": 0.098866}"
32,43,102,1.0,1,10,10,2000,100000,12.949942,0.056659,0.75621799,10/10,1591.0,1.587726,-409.0,-11.362217,0.795,0.123,"{""v0"": 0.094886, ""v1"": 0.243029, ""v2"": 0.218047, ""v3"": 0.144548, ""v4"": 0.107468, ""v5"": 0.176547, ""v6"": 0.000207, ""v7"": 0.000291, ""v8"": 1.2e-05, ""v9"": 1.2e-05, ""v10"": 0.003302, ""v11"": 0.000195, ""v12"": 0.000311, ""v13"": 1.2e-05, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 0.000207, ""v19"": 4e-05, ""v20"": 1.2e-05, ""v21"": 1.2e-05, ""v22"": 1.2e-05, ""v23"": 1.2e-05, ""v24"": 1.2e-05, ""v25"": 1.2e-05, ""v26"": 1.2e-05, ""v27"": 1.2e-05, ""v28"": 1.2e-05, ""v29"": 1.2e-05, ""v30"": 1.2e-05, ""v31"": 1.2e-05, ""v32"": 0.000118, ""v33"": 1.2e-05, ""v34"": 1.2e-05, ""v35"": 1.2e-05, ""v36"": 1.2e-05, ""v37"": 0.006087, ""v38"": 0.000628, ""v39"": 0.003303, ""v40"": 0.000435, ""v41"": 4.3e-05, ""v42"": 4.2e-05}"
