network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
10,12,38,exact,True,1058,4.779553,0.00999424,1058,4.779553,0.83421379,0.00000000,0.83421379,0.01,,"{""v0"": 0.147871, ""v1"": 0.177681, ""v2"": 0.179878, ""v3"": 0.003212, ""v4"": 7.9e-05, ""v5"": 7.9e-05, ""v6"": 0.005389, ""v7"": 7.9e-05, ""v8"": 0.122689, ""v9"": 0.001358, ""v10"": 0.181632, ""v11"": 0.180055}","{""v0"": [0.832976, 0.689842], ""v1"": [0.833949, 0.818763, 0.817389, 0.79628, 0.739825], ""v2"": [0.834095], ""v3"": [0.82696, 0.824697, 0.822128], ""v4"": [0.831528, 0.831507, 0.831319, 0.831253], ""v5"": [0.831617, 0.831554, 0.831523, 0.8315], ""v6"": [0.824088, 0.823566, 0.823166, 0.821667, 0.820439], ""v7"": [0.831749, 0.831678], ""v8"": [0.83187, 0.809215, 0.785185, 0.74999], ""v9"": [0.998529, 0.997979], ""v10"": [0.833029, 0.815241, 0.646301], ""v11"": [0.834229, 0.680275, 0.657425]}"
10,12,38,stochastic,True,955,33.512935,0.00998463,955,33.512935,0.83374166,-0.00047213,0.83421379,0.01,300,"{""v0"": 0.147863, ""v1"": 0.178109, ""v2"": 0.180359, ""v3"": 8.7e-05, ""v4"": 0.000387, ""v5"": 0.001979, ""v6"": 0.000168, ""v7"": 0.002169, ""v8"": 0.124052, ""v9"": 0.002371, ""v10"": 0.181822, ""v11"": 0.180633}","{""v0"": [0.832983, 0.689854], ""v1"": [0.833588, 0.818376, 0.817, 0.795856, 0.739323], ""v2"": [0.833695], ""v3"": [0.82895, 0.828894, 0.828826], ""v4"": [0.828138, 0.828049, 0.82723, 0.826943], ""v5"": [0.826317, 0.824929, 0.824235, 0.823737], ""v6"": [0.829069, 0.829053, 0.82904, 0.828993, 0.828954], ""v7"": [0.826018, 0.824071], ""v8"": [0.829312, 0.806515, 0.782348, 0.746974], ""v9"": [0.997432, 0.996474], ""v10"": [0.832871, 0.81507, 0.646041], ""v11"": [0.833749, 0.679519, 0.656642]}"
11,11,36,exact,True,1846,5.864379,0.00999866,1846,5.864379,0.57033926,0.00000000,0.57033926,0.01,,"{""v0"": 0.170882, ""v1"": 0.251265, ""v2"": 0.000238, ""v3"": 4.9e-05, ""v4"": 4.9e-05, ""v5"": 0.000218, ""v6"": 4.9e-05, ""v7"": 4.9e-05, ""v8"": 0.571449, ""v9"": 0.000867, ""v10"": 0.004883}","{""v0"": [0.571719, 0.551227, 0.499028, 0.494965, 0.448494], ""v1"": [0.723302, 0.633248, 0.453664], ""v2"": [0.999688, 0.999684, 0.999632, 0.999535], ""v3"": [0.999883, 0.999869, 0.999834, 0.999824, 0.999811], ""v4"": [0.999884], ""v5"": [0.99976, 0.999719], ""v6"": [0.999944, 0.999898, 0.999844], ""v7"": [0.999896], ""v8"": [0.56779, 0.565683, 0.558355, 0.547364, 0.516963, 0.479602, 0.448981], ""v9"": [0.998716, 0.99835], ""v10"": [0.994501, 0.993229, 0.980337]}"
11,11,36,stochastic,True,1908,79.515532,0.00998040,1908,79.515532,0.57047611,0.00013685,0.57033926,0.01,300,"{""v0"": 0.167036, ""v1"": 0.254924, ""v2"": 4.8e-05, ""v3"": 0.00023, ""v4"": 4.8e-05, ""v5"": 4.8e-05, ""v6"": 8.9e-05, ""v7"": 0.000157, ""v8"": 0.571208, ""v9"": 0.004703, ""v10"": 0.001509}","{""v0"": [0.571826, 0.551733, 0.500417, 0.496415, 0.450393], ""v1"": [0.72007, 0.629499, 0.449669], ""v2"": [0.999895, 0.999895, 0.999884, 0.999865], ""v3"": [0.999705, 0.999642, 0.999484, 0.99944, 0.999382], ""v4"": [0.999888], ""v5"": [0.999948, 0.999939], ""v6"": [0.999899, 0.999814, 0.999717], ""v7"": [0.999669], ""v8"": [0.568022, 0.565914, 0.558586, 0.547593, 0.517188, 0.47982, 0.449191], ""v9"": [0.993061, 0.9911], ""v10"": [0.998296, 0.9979, 0.993848]}"
12,14,45,exact,True,83,0.252789,0.00994847,83,0.252789,0.25936078,0.00000000,0.25936078,0.01,,"{""v0"": 0.423849, ""v1"": 0.002535, ""v2"": 0.000861, ""v3"": 0.000861, ""v4"": 0.000861, ""v5"": 0.000861, ""v6"": 0.000861, ""v7"": 0.000861, ""v8"": 0.000861, ""v9"": 0.000861, ""v10"": 0.000861, ""v11"": 0.005842, ""v12"": 0.508813, ""v13"": 0.051216}","{""v0"": [0.27659, 0.258388, 0.220034, 0.206336, 0.145083], ""v1"": [0.478583, 0.47806], ""v2"": [0.477189], ""v3"": [0.478941, 0.478492, 0.478455], ""v4"": [0.480158, 0.480116, 0.479848, 0.479445], ""v5"": [0.478319, 0.477928], ""v6"": [0.48024, 0.480132, 0.479548, 0.477925], ""v7"": [0.480114, 0.47951], ""v8"": [0.481103], ""v9"": [0.481827, 0.481748, 0.481562, 0.481542, 0.481498], ""v10"": [0.482491, 0.4822, 0.482008, 0.481863], ""v11"": [0.478383, 0.477738, 0.477327], ""v12"": [0.483071, 0.472945, 0.470333, 0.46683, 0.452595, 0.427313, 0.294742], ""v13"": [0.938358, 0.936422]}"
12,14,45,stochastic,True,79,8.954790,0.00995864,79,8.954790,0.25960676,0.00024598,0.25936078,0.01,300,"{""v0"": 0.418918, ""v1"": 0.002722, ""v2"": 0.000904, ""v3"": 0.000904, ""v4"": 0.000904, ""v5"": 0.000904, ""v6"": 0.000904, ""v7"": 0.000939, ""v8"": 0.000904, ""v9"": 0.000904, ""v10"": 0.000904, ""v11"": 0.005965, ""v12"": 0.50531, ""v13"": 0.058914}","{""v0"": [0.276866, 0.258788, 0.220632, 0.206983, 0.14581], ""v1"": [0.476008, 0.475495], ""v2"": [0.474649], ""v3"": [0.476439, 0.475976, 0.475946], ""v4"": [0.477712, 0.477668, 0.477388, 0.476967], ""v5"": [0.475821, 0.475413], ""v6"": [0.477797, 0.477685, 0.477075, 0.47541], ""v7"": [0.477627, 0.476971], ""v8"": [0.4787], ""v9"": [0.479457, 0.479375, 0.47918, 0.479159, 0.479114], ""v10"": [0.480152, 0.479847, 0.479647, 0.479495], ""v11"": [0.475994, 0.475338, 0.47492], ""v12"": [0.480759, 0.470731, 0.468144, 0.464674, 0.450571, 0.425515, 0.293908], ""v13"": [0.929515, 0.927323]}"
13,12,35,exact,True,1316,5.312843,0.00993718,1316,5.312843,0.70427138,0.00000000,0.70427138,0.01,,"{""v0"": 0.339393, ""v1"": 0.247817, ""v2"": 6.3e-05, ""v3"": 6.3e-05, ""v4"": 6.3e-05, ""v5"": 0.000103, ""v6"": 0.003256, ""v7"": 0.217479, ""v8"": 0.191247, ""v9"": 0.000148, ""v10"": 0.00023, ""v11"": 0.000138}","{""v0"": [0.702929, 0.698923, 0.681388, 0.429274], ""v1"": [0.704255, 0.644354, 0.53939, 0.527366], ""v2"": [0.704631, 0.704628, 0.704622], ""v3"": [0.704726, 0.704719, 0.704655], ""v4"": [0.704675, 0.704569, 0.704493], ""v5"": [0.704643, 0.704578, 0.70456, 0.704537], ""v6"": [0.700784, 0.70021, 0.69876], ""v7"": [0.704806, 0.548171], ""v8"": [0.70201, 0.691065], ""v9"": [0.9993, 0.999167, 0.999047], ""v10"": [0.999537, 0.999489], ""v11"": [0.999855, 0.99955]}"
13,12,35,stochastic,True,1214,50.949658,0.00999982,1214,50.949658,0.70395206,-0.00031932,0.70427138,0.01,300,"{""v0"": 0.339702, ""v1"": 0.247716, ""v2"": 6.9e-05, ""v3"": 6.9e-05, ""v4"": 0.000136, ""v5"": 0.000294, ""v6"": 0.001002, ""v7"": 0.218333, ""v8"": 0.192078, ""v9"": 0.000406, ""v10"": 6.9e-05, ""v11"": 0.000128}","{""v0"": [0.702708, 0.6987, 0.681159, 0.429015], ""v1"": [0.704349, 0.644457, 0.539503, 0.527479], ""v2"": [0.703718, 0.703715, 0.703709], ""v3"": [0.703821, 0.703813, 0.703744], ""v4"": [0.703628, 0.703401, 0.703237], ""v5"": [0.703443, 0.703259, 0.703208, 0.703142], ""v6"": [0.702669, 0.702491, 0.702041], ""v7"": [0.703907, 0.547102], ""v8"": [0.701026, 0.690061], ""v9"": [0.999249, 0.998887, 0.998558], ""v10"": [0.999862, 0.999847], ""v11"": [0.999865, 0.999582]}"
14,14,34,exact,True,57,0.125735,0.00995750,57,0.125735,0.19964358,0.00000000,0.19964358,0.01,,"{""v0"": 0.050276, ""v1"": 0.001793, ""v2"": 0.001253, ""v3"": 0.004745, ""v4"": 0.001253, ""v5"": 0.001253, ""v6"": 0.004017, ""v7"": 0.001253, ""v8"": 0.001253, ""v9"": 0.001253, ""v10"": 0.001302, ""v11"": 0.52246, ""v12"": 0.057285, ""v13"": 0.350604}","{""v0"": [0.310095, 0.292351], ""v1"": [0.320775, 0.319913, 0.311969, 0.308228], ""v2"": [0.31624, 0.314103], ""v3"": [0.327326, 0.304967], ""v4"": [0.341152], ""v5"": [0.343828, 0.343439], ""v6"": [0.343799, 0.34056], ""v7"": [0.344553, 0.344501, 0.344386], ""v8"": [0.34499, 0.344951, 0.344907, 0.344467], ""v9"": [0.344321], ""v10"": [0.344958, 0.344903], ""v11"": [0.345551, 0.341503, 0.27618], ""v12"": [0.648254, 0.606518], ""v13"": [0.694296, 0.64927, 0.629331, 0.54118]}"
14,14,34,stochastic,True,57,5.476380,0.00993665,57,5.476380,0.19985719,0.00021360,0.19964358,0.01,300,"{""v0"": 0.043062, ""v1"": 0.001253, ""v2"": 0.002452, ""v3"": 0.004857, ""v4"": 0.001253, ""v5"": 0.001253, ""v6"": 0.003979, ""v7"": 0.001253, ""v8"": 0.001253, ""v9"": 0.001253, ""v10"": 0.001253, ""v11"": 0.510196, ""v12"": 0.061425, ""v13"": 0.365258}","{""v0"": [0.312909, 0.297266], ""v1"": [0.320589, 0.319983, 0.314351, 0.31167], ""v2"": [0.304282, 0.300664], ""v3"": [0.325165, 0.302471], ""v4"": [0.339233], ""v5"": [0.34189, 0.341503], ""v6"": [0.341875, 0.338684], ""v7"": [0.34261, 0.342559, 0.342443], ""v8"": [0.343046, 0.343007, 0.342963, 0.342525], ""v9"": [0.342379], ""v10"": [0.343035, 0.342983], ""v11"": [0.343604, 0.339645, 0.27553], ""v12"": [0.635755, 0.592225], ""v13"": [0.684037, 0.638287, 0.618091, 0.529266]}"
15,14,45,exact,True,134,0.401246,0.00995070,134,0.401246,0.30335386,0.00000000,0.30335386,0.01,,"{""v0"": 0.426582, ""v1"": 0.006416, ""v2"": 0.004435, ""v3"": 0.550186, ""v4"": 0.002682, ""v5"": 0.000533, ""v6"": 0.000533, ""v7"": 0.000533, ""v8"": 0.001892, ""v9"": 0.000533, ""v10"": 0.000853, ""v11"": 0.00092, ""v12"": 0.000533, ""v13"": 0.003369}","{""v0"": [0.336996, 0.26649], ""v1"": [0.556126, 0.552355, 0.54731], ""v2"": [0.556692, 0.555625, 0.555382, 0.554725], ""v3"": [0.560313, 0.559534, 0.440851], ""v4"": [0.99528, 0.995098, 0.99479, 0.994529, 0.990499], ""v5"": [0.997608, 0.997586, 0.997421, 0.997251, 0.99681], ""v6"": [0.99689, 0.996488, 0.996124], ""v7"": [0.997572, 0.997481, 0.997137], ""v8"": [0.996356, 0.995338], ""v9"": [0.997585, 0.997431, 0.997416, 0.995994], ""v10"": [0.99806, 0.998006, 0.997889], ""v11"": [0.999015, 0.998767, 0.99773], ""v12"": [0.998804, 0.998019], ""v13"": [0.996021, 0.994563, 0.993909]}"
