network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,1,True,602,0.899781,0.00099999,602,0.899781,0.06653650,0.00000000,0.06653650,0.001,,"{""v0"": 0.000688, ""v1"": 0.00026, ""v2"": 0.090074, ""v3"": 0.024747, ""v4"": 0.333829, ""v5"": 0.000128, ""v6"": 0.000931, ""v7"": 0.000128, ""v8"": 0.000128, ""v9"": 0.00032, ""v10"": 0.001225, ""v11"": 0.254958, ""v12"": 0.292586}","{""v0"": [0.075211, 0.075186, 0.075107, 0.074824], ""v1"": [0.07532, 0.075289, 0.07528, 0.075236, 0.075212, 0.075201, 0.07516], ""v2"": [0.075376, 0.059995, 0.054951, 0.047784], ""v3"": [0.095993, 0.091962, 0.088314], ""v4"": [0.102844, 0.097701, 0.072518], ""v5"": [0.249635], ""v6"": [0.249226, 0.249021, 0.248829], ""v7"": [0.249792, 0.249628], ""v8"": [0.24998, 0.249849, 0.249746], ""v9"": [0.2499, 0.249897, 0.249841, 0.249685, 0.249536], ""v10"": [0.249158, 0.24904, 0.248897, 0.247702], ""v11"": [0.250131, 0.24655], ""v12"": [0.489735, 0.482598, 0.464012, 0.4459, 0.390575]}"
0,13,46,2,True,478,5.524333,0.00097681,478,5.524333,0.06635470,-0.00018179,0.06653650,0.001,100,"{""v0"": 0.000161, ""v1"": 0.000332, ""v2"": 0.086024, ""v3"": 0.026266, ""v4"": 0.332962, ""v5"": 0.000161, ""v6"": 0.000441, ""v7"": 0.000585, ""v8"": 0.000224, ""v9"": 0.000425, ""v10"": 0.000161, ""v11"": 0.260587, ""v12"": 0.291671}","{""v0"": [0.07514, 0.075134, 0.075115, 0.075049], ""v1"": [0.075107, 0.075067, 0.075055, 0.074999, 0.074969, 0.074955, 0.074903], ""v2"": [0.075178, 0.060321, 0.0554, 0.048359], ""v3"": [0.094775, 0.09057, 0.086784], ""v4"": [0.101924, 0.096835, 0.071908], ""v5"": [0.246726], ""v6"": [0.246771, 0.246675, 0.246585], ""v7"": [0.246438, 0.245703], ""v8"": [0.246978, 0.246753, 0.246575], ""v9"": [0.246937, 0.246933, 0.24686, 0.246657, 0.246462], ""v10"": [0.247113, 0.247098, 0.247079, 0.246923], ""v11"": [0.24724, 0.243649], ""v12"": [0.490768, 0.48363, 0.46504, 0.446922, 0.39156]}"
1,14,45,1,True,283418,520.663296,0.00099999,283418,520.663296,0.32035820,0.00000000,0.32035820,0.001,,"{""v0"": 0.254439, ""v1"": 0.389524, ""v2"": 0.223039, ""v3"": 0.131728, ""v4"": 0.00038, ""v5"": 5e-06, ""v6"": 1.6e-05, ""v7"": 9e-06, ""v8"": 0.00024, ""v9"": 2e-06, ""v10"": 0.00033, ""v11"": 0.000287, ""v12"": 1e-06, ""v13"": 0.0}","{""v0"": [0.322247], ""v1"": [0.3221, 0.272835, 0.204852], ""v2"": [0.321869, 0.201095], ""v3"": [0.675702, 0.633008, 0.561633, 0.460935, 0.435397], ""v4"": [0.99912, 0.999104, 0.998981, 0.998712], ""v5"": [0.999932, 0.999929], ""v6"": [0.999945, 0.999944, 0.999944, 0.999925], ""v7"": [0.999398, 0.999388], ""v8"": [0.999423, 0.999383, 0.999321, 0.999006], ""v9"": [0.999995, 0.999994, 0.999992, 0.999991], ""v10"": [0.999265, 0.999107, 0.996734], ""v11"": [0.999327, 0.999114, 0.999049, 0.998211, 0.997892], ""v12"": [0.999992], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999998]}"
1,14,45,2,True,303634,2675.658969,0.00099990,303634,2675.658969,0.32036893,0.00001073,0.32035820,0.001,100,"{""v0"": 0.25446, ""v1"": 0.389535, ""v2"": 0.22303, ""v3"": 0.13165, ""v4"": 2e-05, ""v5"": 5e-06, ""v6"": 0.000359, ""v7"": 9e-06, ""v8"": 0.000331, ""v9"": 0.00033, ""v10"": 3e-06, ""v11"": 0.000131, ""v12"": 0.000137, ""v13"": 0.0}","{""v0"": [0.322247], ""v1"": [0.322114, 0.272846, 0.20486], ""v2"": [0.321969, 0.201159], ""v3"": [0.675898, 0.63321, 0.56184, 0.461136, 0.435595], ""v4"": [0.999945, 0.999945, 0.999938, 0.999923], ""v5"": [0.998878, 0.998875], ""v6"": [0.998895, 0.99888, 0.998869, 0.998461], ""v7"": [0.999174, 0.999164], ""v8"": [0.999199, 0.999144, 0.99906, 0.998625], ""v9"": [0.999256, 0.999148, 0.998771, 0.998596], ""v10"": [0.999993, 0.999991, 0.999967], ""v11"": [0.999692, 0.999594, 0.999564, 0.99918, 0.999034], ""v12"": [0.999025], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999998]}"
2,13,31,1,False,,,0.00118813,500000,718.639405,0.36494701,0.00000000,0.36494701,0.001,,"{""v0"": 0.000589, ""v1"": 0.00053, ""v2"": 0.000558, ""v3"": 0.000457, ""v4"": 1e-06, ""v5"": 0.0, ""v6"": 0.17056, ""v7"": 0.209263, ""v8"": 0.451138, ""v9"": 0.166793, ""v10"": 0.0, ""v11"": 0.000105, ""v12"": 5e-06}","{""v0"": [0.365955, 0.36553, 0.365429, 0.36532], ""v1"": [0.365461, 0.364678], ""v2"": [0.365935, 0.365444, 0.365087], ""v3"": [0.365771, 0.36528], ""v4"": [0.36655, 0.366548], ""v5"": [0.366551, 0.366551, 0.366551], ""v6"": [0.366368, 0.320571, 0.217662], ""v7"": [0.578328, 0.366288], ""v8"": [0.36641, 0.140203, 0.138086], ""v9"": [0.366552], ""v10"": [0.999987], ""v11"": [0.999764, 0.99953], ""v12"": [0.999987, 0.999977, 0.999975]}"
2,13,31,2,False,,,0.00121200,500000,3656.110345,0.36497769,0.00003068,0.36494701,0.001,100,"{""v0"": 0.000617, ""v1"": 0.000531, ""v2"": 0.000569, ""v3"": 0.000468, ""v4"": 1e-06, ""v5"": 0.0, ""v6"": 0.170536, ""v7"": 0.209239, ""v8"": 0.451077, ""v9"": 0.166749, ""v10"": 0.0, ""v11"": 5e-06, ""v12"": 0.000208}","{""v0"": [0.365984, 0.365539, 0.365433, 0.365319], ""v1"": [0.365514, 0.364729], ""v2"": [0.365978, 0.365477, 0.365112], ""v3"": [0.365808, 0.365306], ""v4"": [0.366616, 0.366614], ""v5"": [0.366618, 0.366618, 0.366618], ""v6"": [0.36641, 0.320611, 0.217695], ""v7"": [0.578361, 0.36632], ""v8"": [0.366452, 0.140226, 0.138108], ""v9"": [0.366619], ""v10"": [0.999988], ""v11"": [0.999988, 0.999976], ""v12"": [0.999499, 0.999076, 0.999009]}"
3,12,43,1,True,336179,995.080733,0.00099991,336179,995.080733,0.56005602,0.00000000,0.56005602,0.001,,"{""v0"": 0.088716, ""v1"": 1e-06, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.192014, ""v6"": 0.24519, ""v7"": 0.000392, ""v8"": 0.0003, ""v9"": 4.8e-05, ""v10"": 0.24076, ""v11"": 0.232579}","{""v0"": [0.559686], ""v1"": [0.999998, 0.999997, 0.999996], ""v2"": [0.999999, 0.999999, 0.999999, 0.999998], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999999], ""v5"": [0.560011, 0.542423, 0.538727, 0.395878, 0.375824, 0.365933, 0.354659], ""v6"": [0.560075, 0.52247, 0.508718, 0.429189, 0.406383, 0.361275, 0.286138], ""v7"": [0.559539, 0.559282], ""v8"": [0.559669, 0.559167, 0.558772], ""v9"": [0.560024, 0.559941, 0.559929], ""v10"": [0.560118, 0.523888, 0.471716, 0.323663], ""v11"": [0.560101, 0.490904, 0.43322, 0.2938]}"
3,12,43,2,True,428879,1774.400734,0.00099999,428879,1774.400734,0.56018203,0.00012601,0.56005602,0.001,100,"{""v0"": 0.088672, ""v1"": 0.0, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.191921, ""v6"": 0.245087, ""v7"": 0.000267, ""v8"": 0.000435, ""v9"": 0.000605, ""v10"": 0.240596, ""v11"": 0.232417}","{""v0"": [0.559821], ""v1"": [0.999999, 0.999999, 0.999999], ""v2"": [0.999999, 0.999999, 0.999999, 0.999998], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999998], ""v5"": [0.560155, 0.542568, 0.538871, 0.396017, 0.37596, 0.366068, 0.354792], ""v6"": [0.560206, 0.522603, 0.508851, 0.429319, 0.406511, 0.361398, 0.286247], ""v7"": [0.559934, 0.55976], ""v8"": [0.55968, 0.558952, 0.558382], ""v9"": [0.559175, 0.558146, 0.55799], ""v10"": [0.56033, 0.524102, 0.47193, 0.323851], ""v11"": [0.560315, 0.491121, 0.433433, 0.29398]}"
4,14,47,1,False,,,0.00115840,500000,1453.070676,0.51381177,0.00000000,0.51381177,0.001,,"{""v0"": 0.203492, ""v1"": 2e-06, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.30063, ""v6"": 0.027625, ""v7"": 0.132933, ""v8"": 0.112452, ""v9"": 0.0, ""v10"": 0.000214, ""v11"": 1e-06, ""v12"": 0.12543, ""v13"": 0.097219}","{""v0"": [0.513828, 0.328885], ""v1"": [0.999992, 0.999991], ""v2"": [0.999999, 0.999998], ""v3"": [0.999999, 0.999999, 0.999999, 0.999999], ""v4"": [1.0, 1.0, 1.0, 1.0], ""v5"": [0.513824, 0.502559, 0.447226, 0.397716, 0.383391], ""v6"": [0.513303, 0.50697, 0.504477], ""v7"": [0.549967, 0.533062, 0.513224, 0.479422], ""v8"": [0.772627, 0.630148, 0.607895, 0.583894, 0.551721, 0.521711], ""v9"": [0.51348, 0.51348, 0.513479], ""v10"": [0.513096, 0.513075, 0.513064], ""v11"": [0.513479, 0.513479, 0.513478], ""v12"": [0.51348, 0.472946, 0.42012], ""v13"": [0.756638, 0.62328, 0.488284]}"
4,14,47,2,False,,,0.00115202,500000,3162.817092,0.51380579,-0.00000597,0.51381177,0.001,100,"{""v0"": 0.203492, ""v1"": 0.0, ""v2"": 1e-06, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.300647, ""v6"": 0.027657, ""v7"": 0.13299, ""v8"": 0.112405, ""v9"": 0.000158, ""v10"": 0.0, ""v11"": 1e-06, ""v12"": 0.125377, ""v13"": 0.097269}","{""v0"": [0.513828, 0.328885], ""v1"": [0.999999, 0.999999], ""v2"": [0.999996, 0.999994], ""v3"": [0.999998, 0.999998, 0.999997, 0.999996], ""v4"": [0.999999, 0.999999, 0.999999, 0.999999], ""v5"": [0.513805, 0.50254, 0.447207, 0.397698, 0.383373], ""v6"": [0.513253, 0.506915, 0.504419], ""v7"": [0.549955, 0.533045, 0.513201, 0.47939], ""v8"": [0.772708, 0.630256, 0.608006, 0.584007, 0.551836, 0.521827], ""v9"": [0.513235, 0.513197, 0.513023], ""v10"": [0.513483, 0.513483, 0.513483], ""v11"": [0.513482, 0.513481, 0.51348], ""v12"": [0.513484, 0.472957, 0.420146], ""v13"": [0.756533, 0.623146, 0.488141]}"
