network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
0,7,26,1.0,1,10,10,2000,100000,1.275294,0.004913,0.31504063,10/10,2255.7,0.454278,255.7,-0.821017,1.128,0.356,"{""get_credentials"": 0.421097, ""find_LAN_access_port"": 0.000197, ""spoof_MAC_address"": 0.000143, ""find_WLAN"": 7.1e-05, ""break_WPA_keys"": 0.004548, ""exploit_software_vulnerability"": 0.002412, ""run_malicous_script"": 0.571532}"
1,8,29,1.0,1,10,10,2000,100000,1.521627,0.002087,0.35661423,10/10,45183.5,9.317271,43183.5,7.795644,22.592,6.123,"{""BribeProgrammer"": 0.001818, ""ProgrammerObtainsTheCode"": 0.000298, ""HireRobberA"": 0.000173, ""BugInComputerSystem"": 0.000123, ""ExploitBug"": 0.000138, ""HireRobberB"": 8.3e-05, ""RobberBreaksIntoSystem"": 9.1e-05, ""UseCodeInProduct"": 0.997277}"
2,11,43,1.0,1,10,10,2000,100000,3.799750,0.002904,0.87377052,10/10,1465.7,0.195851,-534.3,-3.603899,0.733,0.052,"{""BreakIntoComputerCentre"": 0.096813, ""Unattended Guest"": 0.119632, ""CorruptSysAdmin"": 0.128075, ""ObtainPasswordFileA"": 0.102053, ""EncounterGuessablePasswordA"": 0.003111, ""LookOverSysAdminShoulderA"": 0.114825, ""TrojanHorseSAAccountA"": 0.107517, ""ObtainPasswordFileB"": 0.10241, ""EncounterGuessablePasswordB"": 0.002911, ""LookOverSysAdminShoulderB"": 0.115184, ""TrojanHorseSAAccountB"": 0.107471}"
3,11,11,1.0,1,10,10,2000,100000,0.919661,0.001692,0.00012946,0/10,,,,,,,"{""Impersonation"": 0.006728, ""User_login"": 4.5e-05, ""Password_attack"": 0.312028, ""Unauthorized_login"": 0.312028, ""Packet_spoofing"": 0.145423, ""Sync_flood"": 0.145423, ""SQL_injection"": 0.073111, ""Insert_malicious_scripts"": 4.5e-05, ""Capture_packets"": 0.005077, ""Analyze_packets"": 4.5e-05, ""Modify_sensitive_data"": 4.5e-05}"
4,12,37,1.0,1,10,10,2000,100000,4.391344,0.004746,0.67281703,10/10,3417.0,1.137971,1417.0,-3.253373,1.708,0.259,"{""Guessing"": 0.143678, ""Dictionary"": 0.320981, ""Bruteforce"": 0.066559, ""GenericReconnaissanceA"": 0.080371, ""EmailTrapExecution"": 0.080054, ""PhoneTrapExecution"": 0.064748, ""GenericReconnaissanceB"": 0.001164, ""PayloadCrafting"": 0.01772, ""EmailFileExecution"": 0.01962, ""PhysicalReconnaissance"": 0.01025, ""KeyloggerLocalInstallation"": 0.023088, ""PasswordIntercept"": 0.171767}"
5,18,18,1.0,1,10,10,2000,100000,1.897597,0.004017,0.00751071,3/10,82703.0,19.885008,80703.0,17.987411,41.352,10.479,"{""10"": 0.16639, ""11"": 3e-05, ""12"": 2.8e-05, ""13"": 0.022859, ""14"": 0.021594, ""15"": 0.021584, ""16"": 0.02287, ""17"": 0.021563, ""18"": 0.023276, ""19"": 0.021594, ""20"": 0.021567, ""3"": 0.310616, ""21"": 0.114199, ""22"": 2.8e-05, ""23"": 0.114124, ""24"": 2.8e-05, ""25"": 0.058783, ""26"": 0.058868}"
6,45,45,1.0,1,10,10,2000,100000,7.813889,0.003935,0.64148016,10/10,896.7,0.429254,-1103.3,-7.384636,0.448,0.055,"{""X1"": 0.012084, ""X2"": 0.019545, ""X3"": 0.037388, ""X4"": 0.017625, ""X5"": 0.011832, ""X6"": 0.037168, ""X7"": 0.035245, ""X8"": 0.038279, ""X9"": 0.01726, ""X10"": 0.014534, ""X11"": 0.015131, ""X12"": 0.015475, ""X13"": 0.021666, ""X14"": 0.020782, ""X15"": 0.022631, ""X16"": 0.017699, ""X17"": 0.019318, ""X18"": 0.021695, ""X19"": 0.020774, ""X20"": 0.014598, ""X21"": 0.019968, ""X22"": 0.022284, ""X23"": 0.019653, ""X24"": 0.012582, ""X25"": 0.030563, ""X26"": 0.03236, ""X27"": 0.014605, ""X28"": 0.028953, ""X29"": 0.034717, ""X30"": 0.011827, ""X31"": 0.035003, ""X32"": 0.037061, ""X33"": 0.033091, ""X34"": 0.017002, ""X35"": 0.033792, ""X36"": 0.018308, ""X37"": 0.014602, ""X38"": 0.02944, ""X44"": 0.015653, ""X45"": 0.016559, ""X39"": 0.017009, ""X40"": 0.015445, ""X41"": 0.021795, ""X42"": 0.017683, ""X43"": 0.019317}"
7,25,25,1.0,1,10,10,2000,100000,2.730289,0.004796,0.00075904,0/10,,,,,,,"{""Signal_and_communication"": 0.008844, ""Frogs__switches_and_track_appliances"": 0.032849, ""Other_way_and_structure"": 0.008865, ""Rail__joint_bar_and_rail_anchoring"": 0.152986, ""Roadbed"": 0.04857, ""Track_geometry"": 0.109714, ""Brakes__use_of"": 0.001545, ""General_switching_rules"": 0.024979, ""Loading_procedures"": 0.00154, ""Miscellaneous"": 0.024971, ""Speed"": 0.017002, ""Switches__use_of"": 0.032842, ""Train_handling/train_makeup"": 0.094808, ""Axles_and_journal_bearings"": 0.072045, ""Body"": 0.008888, ""Brakes"": 0.048541, ""Coupler_and_draft_system"": 0.00886, ""General_mechanical_and_electrical_failures"": 0.001537, ""Locomotive"": 0.056446, ""Truck_component"": 0.032829, ""Wheels"": 0.064299, ""Environmental_conditions"": 0.056456, ""Loading_procedures_misc"": 0.032844, ""Other_miscellaneous"": 0.016995, ""Unusual_operating_situations"": 0.040747}"
8,9,9,1.0,1,10,10,2000,100000,0.599894,0.003224,0.00492522,2/10,81391.5,6.779737,79391.5,6.179843,40.696,11.302,"{""Truck_componenets"": 0.045446, ""Brakes__use_of"": 0.131955, ""Flagging__fixed__hand_and_radio_signals"": 0.09057, ""General_switching_rules"": 0.046673, ""Main-track_authority"": 0.176358, ""Miscellaneous"": 0.090488, ""Speed"": 0.327491, ""Train_handling/train_makeup"": 0.045497, ""Unusual_operating_situations"": 0.045523}"
9,27,27,1.0,1,10,10,2000,100000,2.533081,0.017776,0.00836521,0/10,,,,,,,"{""B1"": 0.002542, ""B2"": 0.002251, ""B4"": 0.162653, ""B5"": 0.002261, ""B10"": 0.002143, ""B7"": 0.002045, ""B8"": 0.001624, ""B3"": 0.001633, ""B9"": 1.9e-05, ""B16"": 1.9e-05, ""B17"": 1.9e-05, ""B18"": 1.9e-05, ""B19"": 1.9e-05, ""B26"": 1.9e-05, ""B27"": 1.9e-05, ""B14"": 1.9e-05, ""B15"": 1.9e-05, ""B11"": 1.9e-05, ""B12"": 1.9e-05, ""B13"": 1.9e-05, ""B6"": 0.002294, ""B25"": 0.038152, ""B21"": 0.002034, ""B22"": 0.149272, ""B23"": 0.187724, ""B20"": 0.187214, ""B24"": 0.255937}"
