network_id,structure,n_controls,total_Q,depth,mode,rho,seed,task,index_time_s,mdp_time_s,mdp_status,mdp_states,ell,probs
10,"Par(Par(v0,v1),Par(Par(v2,Par(Ser(Ser(Par(Par(v3,v4),v5),Par(v6,v7)),Ser(v8,v9)),v10)),v11))",12,38,8,random,0.9,0,both,0.002190,471.706337,ok,3425964,"{""v0"": 0.031455, ""v1"": 0.003915, ""v2"": 0.099017, ""v3"": 0.098622, ""v4"": 0.024664, ""v5"": 0.352024, ""v6"": 0.114734, ""v7"": 0.021641, ""v8"": 0.071887, ""v9"": 0.028451, ""v10"": 0.142138, ""v11"": 0.011452}","{""v0"": [0.7099, 0.3166], ""v1"": [0.8709, 0.7834, 0.7762, 0.6778, 0.4931], ""v2"": [0.8835], ""v3"": [0.8996, 0.6089, 0.4343], ""v4"": [0.4973, 0.4537, 0.251, 0.217], ""v5"": [0.8563, 0.5678, 0.4857, 0.44], ""v6"": [0.8217, 0.7696, 0.7338, 0.6249, 0.5569], ""v7"": [0.7813, 0.4899], ""v8"": [0.625, 0.5352, 0.4608, 0.3778], ""v9"": [0.8298, 0.6037], ""v10"": [0.886, 0.7836, 0.3245], ""v11"": [0.8853, 0.3743, 0.3376]}"
11,"Par(Ser(Ser(Ser(v0,v1),Par(v2,v3)),Par(Par(v4,Par(v5,v6)),v7)),Ser(v8,Par(v9,v10)))",11,36,5,random,0.9,0,both,0.002816,3.295717,ok,11332,"{""v0"": 0.075735, ""v1"": 0.168358, ""v2"": 0.012256, ""v3"": 0.006838, ""v4"": 0.058989, ""v5"": 0.261115, ""v6"": 0.143374, ""v7"": 0.015322, ""v8"": 0.086795, ""v9"": 0.084158, ""v10"": 0.08706}","{""v0"": [0.7921, 0.664, 0.4511, 0.4389, 0.3262], ""v1"": [0.6647, 0.439, 0.2111], ""v2"": [0.8878, 0.8748, 0.7224, 0.5444], ""v3"": [0.8736, 0.6886, 0.4525, 0.4128, 0.3698], ""v4"": [0.3819], ""v5"": [0.8186, 0.6976], ""v6"": [0.7946, 0.4337, 0.2842], ""v7"": [0.4264], ""v8"": [0.8984, 0.8907, 0.8645, 0.8268, 0.7315, 0.6297, 0.5566], ""v9"": [0.607, 0.4723], ""v10"": [0.7966, 0.6461, 0.2196]}"
12,"Ser(v0,Ser(Par(Par(v1,Ser(Ser(v2,v3),v4)),Par(Ser(v5,v6),v7)),Ser(Par(Ser(Ser(v8,v9),v10),v11),Ser(v12,v13))))",14,45,6,random,0.9,0,both,0.007901,7.734028,ok,141989,"{""v0"": 0.115855, ""v1"": 0.175556, ""v2"": 0.051173, ""v3"": 0.024521, ""v4"": 0.042796, ""v5"": 0.091468, ""v6"": 0.004171, ""v7"": 0.016112, ""v8"": 0.031155, ""v9"": 0.070609, ""v10"": 0.283426, ""v11"": 0.029684, ""v12"": 0.02569, ""v13"": 0.037784}","{""v0"": [0.6775, 0.5804, 0.4207, 0.3746, 0.2149], ""v1"": [0.8151, 0.6532], ""v2"": [0.4035], ""v3"": [0.599, 0.4342, 0.4246], ""v4"": [0.74, 0.7081, 0.5568, 0.421], ""v5"": [0.3757, 0.2963], ""v6"": [0.8098, 0.7197, 0.4491, 0.2098], ""v7"": [0.7071, 0.4382], ""v8"": [0.7195], ""v9"": [0.8181, 0.725, 0.5715, 0.5588, 0.5328], ""v10"": [0.8502, 0.566, 0.4637, 0.4078], ""v11"": [0.7101, 0.6233, 0.5782], ""v12"": [0.6693, 0.641, 0.6339, 0.6245, 0.5877, 0.5274, 0.2888], ""v13"": [0.7181, 0.6948]}"
13,"Par(Par(v0,Par(v1,Ser(Par(Par(Ser(v2,v3),v4),Par(v5,v6)),v7))),Ser(v8,Par(Ser(v9,v10),v11)))",12,35,7,random,0.9,0,both,0.001325,167.027743,ok,1332810,"{""v0"": 0.001843, ""v1"": 0.049665, ""v2"": 0.123229, ""v3"": 0.109019, ""v4"": 0.029226, ""v5"": 0.009633, ""v6"": 0.19322, ""v7"": 0.063348, ""v8"": 0.106485, ""v9"": 0.173033, ""v10"": 0.019314, ""v11"": 0.121985}","{""v0"": [0.8453, 0.8293, 0.764, 0.2687], ""v1"": [0.595, 0.4527, 0.2926, 0.2788], ""v2"": [0.7381, 0.7168, 0.6727], ""v3"": [0.8297, 0.7677, 0.4411], ""v4"": [0.511, 0.2819, 0.213], ""v5"": [0.666, 0.4769, 0.4421, 0.404], ""v6"": [0.8491, 0.7424, 0.5631], ""v7"": [0.5162, 0.2623], ""v8"": [0.4595, 0.4363], ""v9"": [0.8944, 0.5604, 0.4183], ""v10"": [0.447, 0.4049], ""v11"": [0.8552, 0.2753]}"
14,"Ser(Par(v0,Ser(Ser(Par(v1,v2),v3),Ser(v4,v5))),Ser(Ser(Par(Par(Par(v6,v7),Par(v8,v9)),v10),Ser(v11,v12)),v13))",14,34,6,random,0.9,0,both,0.003984,32.006257,ok,576703,"{""v0"": 0.183205, ""v1"": 0.077272, ""v2"": 0.019514, ""v3"": 0.087918, ""v4"": 0.068051, ""v5"": 0.115458, ""v6"": 0.092701, ""v7"": 0.06412, ""v8"": 0.024393, ""v9"": 0.012109, ""v10"": 0.007476, ""v11"": 0.078287, ""v12"": 0.164333, ""v13"": 0.005163}","{""v0"": [0.4495, 0.2797], ""v1"": [0.7518, 0.6626, 0.3119, 0.2478], ""v2"": [0.3061, 0.2549], ""v3"": [0.5961, 0.2122], ""v4"": [0.3055], ""v5"": [0.4144, 0.3099], ""v6"": [0.879, 0.2974], ""v7"": [0.482, 0.4581, 0.4124], ""v8"": [0.8584, 0.8025, 0.7478, 0.4437], ""v9"": [0.3906], ""v10"": [0.8431, 0.772], ""v11"": [0.7627, 0.7437, 0.4948], ""v12"": [0.8397, 0.3917], ""v13"": [0.8426, 0.6868, 0.6299, 0.4376]}"
15,"Ser(v0,Ser(Par(v1,v2),Ser(Ser(v3,Par(Par(Par(v4,v5),Ser(v6,v7)),Par(v8,v9))),Par(Ser(v10,v11),Par(v12,v13)))))",14,45,7,random,0.9,0,both,0.006161,329.293097,ok,3663174,"{""v0"": 0.025079, ""v1"": 0.133831, ""v2"": 0.024122, ""v3"": 0.061343, ""v4"": 0.149315, ""v5"": 0.050817, ""v6"": 0.030055, ""v7"": 0.076171, ""v8"": 0.106202, ""v9"": 0.005461, ""v10"": 0.181519, ""v11"": 0.083048, ""v12"": 0.070049, ""v13"": 0.002988}","{""v0"": [0.7288, 0.4357], ""v1"": [0.7934, 0.411, 0.2483], ""v2"": [0.636, 0.4879, 0.4633, 0.4076], ""v3"": [0.8219, 0.8193, 0.5079], ""v4"": [0.7934, 0.7487, 0.6832, 0.6359, 0.3067], ""v5"": [0.6521, 0.6335, 0.5214, 0.4411, 0.315], ""v6"": [0.8621, 0.5252, 0.3879], ""v7"": [0.6219, 0.5571, 0.3996], ""v8"": [0.8644, 0.5705], ""v9"": [0.6327, 0.5268, 0.5185, 0.206], ""v10"": [0.8718, 0.8236, 0.7363], ""v11"": [0.8403, 0.6708, 0.364], ""v12"": [0.4006, 0.2418], ""v13"": [0.7603, 0.5556, 0.4956]}"
16,"Ser(Par(Par(Ser(v0,v1),Par(v2,v3)),Ser(v4,v5)),Par(v6,Ser(Ser(v7,v8),v9)))",10,27,4,random,0.9,0,both,0.002576,3.371451,ok,22778,"{""v0"": 0.042033, ""v1"": 0.204604, ""v2"": 0.000855, ""v3"": 0.122872, ""v4"": 0.001332, ""v5"": 0.16455, ""v6"": 0.035626, ""v7"": 0.000302, ""v8"": 0.14755, ""v9"": 0.280276}","{""v0"": [0.5829, 0.2736, 0.2144, 0.2049], ""v1"": [0.8395, 0.806], ""v2"": [0.891, 0.7099, 0.5779, 0.5526, 0.5285, 0.4126], ""v3"": [0.2868], ""v4"": [0.2169], ""v5"": [0.7569, 0.4282], ""v6"": [0.6489, 0.4498, 0.317], ""v7"": [0.3619, 0.2813], ""v8"": [0.7965, 0.7289, 0.2518], ""v9"": [0.7782, 0.6265, 0.3306]}"
17,"Par(Ser(Par(Par(v0,v1),Par(v2,v3)),v4),Ser(Par(Ser(v5,Ser(v6,Par(v7,v8))),v9),Ser(v10,v11)))",12,37,6,random,0.9,0,both,0.001842,48.030646,ok,640211,"{""v0"": 0.120891, ""v1"": 0.049312, ""v2"": 0.123092, ""v3"": 0.07224, ""v4"": 0.226164, ""v5"": 0.006132, ""v6"": 0.034612, ""v7"": 0.156087, ""v8"": 0.100596, ""v9"": 0.002055, ""v10"": 0.038823, ""v11"": 0.069996}","{""v0"": [0.7668, 0.3025], ""v1"": [0.7739, 0.5924], ""v2"": [0.8496, 0.7808, 0.7659, 0.6757, 0.6608, 0.6239, 0.6143, 0.5942, 0.5874, 0.4126], ""v3"": [0.7782, 0.6877, 0.6232, 0.2234], ""v4"": [0.8621, 0.3077], ""v5"": [0.708, 0.3735, 0.2846], ""v6"": [0.8025, 0.7464], ""v7"": [0.8211, 0.3706], ""v8"": [0.8646, 0.3776, 0.2], ""v9"": [0.7778, 0.5076, 0.2529], ""v10"": [0.671, 0.3909], ""v11"": [0.8527, 0.3647]}"
18,"Par(Par(v0,Par(Par(Ser(v1,Par(v2,Ser(v3,v4))),Par(v5,v6)),v7)),Par(v8,v9))",10,20,7,random,0.9,0,both,0.000661,1.626511,ok,12957,"{""v0"": 0.010092, ""v1"": 0.201818, ""v2"": 0.06341, ""v3"": 0.127078, ""v4"": 0.055475, ""v5"": 0.11266, ""v6"": 0.096913, ""v7"": 0.049594, ""v8"": 0.083122, ""v9"": 0.199838}","{""v0"": [0.7412, 0.3244], ""v1"": [0.8514], ""v2"": [0.6373, 0.457], ""v3"": [0.3595], ""v4"": [0.4432, 0.3056, 0.2532], ""v5"": [0.5259, 0.3822], ""v6"": [0.8492, 0.8463], ""v7"": [0.8274], ""v8"": [0.8012, 0.7393, 0.7159, 0.2598, 0.2496], ""v9"": [0.8033]}"
19,"Ser(Ser(Par(v0,Ser(v1,v2)),Par(v3,v4)),Ser(Par(Ser(v5,v6),Par(v7,v8)),v9))",10,32,4,random,0.9,0,both,0.003210,1.231592,ok,26516,"{""v0"": 0.087463, ""v1"": 0.044337, ""v2"": 0.332756, ""v3"": 0.076547, ""v4"": 0.11379, ""v5"": 0.084065, ""v6"": 0.022678, ""v7"": 0.14385, ""v8"": 0.026995, ""v9"": 0.067519}","{""v0"": [0.8974, 0.7898, 0.7744, 0.5843, 0.4265], ""v1"": [0.7603, 0.6911, 0.4659, 0.3789, 0.3228, 0.2171], ""v2"": [0.7075, 0.598, 0.2935], ""v3"": [0.607], ""v4"": [0.7248, 0.64, 0.5923, 0.3206], ""v5"": [0.899, 0.7159], ""v6"": [0.8419, 0.5192, 0.4768], ""v7"": [0.6078, 0.2498, 0.2297, 0.228], ""v8"": [0.6683, 0.4849, 0.35], ""v9"": [0.245]}"
