network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,1.0,greedy_probability,index,stochastic,1,True,regret,17915,1.542500,0.00099395,0.21312205,0.23974596,0.02662390,"{""v0"": 8e-06, ""v1"": 8e-06, ""v2"": 0.015205, ""v3"": 0.001803, ""v4"": 0.385547, ""v5"": 4e-06, ""v6"": 0.130318, ""v7"": 4e-06, ""v8"": 4e-06, ""v9"": 0.000136, ""v10"": 4e-06, ""v11"": 0.139487, ""v12"": 0.327471}","{""v0"": [0.292337, 0.292337, 0.292334, 0.292325], ""v1"": [0.292338, 0.292335, 0.292335, 0.292331, 0.292329, 0.292328, 0.292324], ""v2"": [0.292343, 0.284422, 0.281146, 0.275486], ""v3"": [0.300092, 0.299469, 0.298859], ""v4"": [0.300956, 0.289991, 0.231437], ""v5"": [0.544689], ""v6"": [0.457609, 0.437484, 0.420231], ""v7"": [0.544695, 0.544689], ""v8"": [0.5447, 0.544694, 0.54469], ""v9"": [0.544587, 0.544586, 0.544557, 0.544477, 0.5444], ""v10"": [0.544702, 0.544701, 0.544701, 0.544695], ""v11"": [0.544706, 0.541857], ""v12"": [0.663304, 0.656893, 0.639897, 0.622898, 0.568129]}"
1,14,45,1.0,greedy_probability,index,stochastic,1,True,regret,7967,0.482363,0.00099257,0.30140097,0.82286239,0.52146142,"{""v0"": 9e-06, ""v1"": 0.756302, ""v2"": 3.4e-05, ""v3"": 3.4e-05, ""v4"": 0.243154, ""v5"": 9e-06, ""v6"": 9e-06, ""v7"": 9e-06, ""v8"": 9e-06, ""v9"": 3.4e-05, ""v10"": 0.000372, ""v11"": 9e-06, ""v12"": 9e-06, ""v13"": 9e-06}","{""v0"": [0.999938], ""v1"": [0.330973, 0.280943, 0.211556], ""v2"": [0.999839, 0.999761], ""v3"": [0.999913, 0.999901, 0.999879, 0.999835, 0.999821], ""v4"": [0.759788, 0.756473, 0.731772, 0.682964], ""v5"": [0.999963, 0.99996], ""v6"": [0.999975, 0.999975, 0.999975, 0.99997], ""v7"": [0.999967, 0.999963], ""v8"": [0.999978, 0.999977, 0.999976, 0.99997], ""v9"": [0.999962, 0.999956, 0.999937, 0.999928], ""v10"": [0.999587, 0.999498, 0.99816], ""v11"": [0.999989, 0.999986, 0.999985, 0.999972, 0.999967], ""v12"": [0.999957], ""v13"": [0.99999, 0.999988, 0.999987, 0.999985, 0.999956]}"
2,13,31,1.0,greedy_probability,index,stochastic,1,True,regret,1888,0.110960,0.00099965,0.35466972,0.79077233,0.43610260,"{""v0"": 0.439241, ""v1"": 4.1e-05, ""v2"": 0.000129, ""v3"": 4.1e-05, ""v4"": 4.1e-05, ""v5"": 4.1e-05, ""v6"": 0.319396, ""v7"": 4.1e-05, ""v8"": 0.239072, ""v9"": 4.1e-05, ""v10"": 4.1e-05, ""v11"": 0.001748, ""v12"": 0.000129}","{""v0"": [0.482657, 0.363423, 0.343124, 0.323748], ""v1"": [0.999095, 0.998717], ""v2"": [0.998805, 0.998096, 0.997602], ""v3"": [0.998645, 0.998372], ""v4"": [0.999072, 0.998792], ""v5"": [0.999356, 0.999305, 0.999282], ""v6"": [0.647828, 0.564224, 0.379142], ""v7"": [0.999943, 0.999864], ""v8"": [0.758114, 0.46929, 0.464891], ""v9"": [0.99958], ""v10"": [0.999776], ""v11"": [0.998043, 0.996113], ""v12"": [0.999845, 0.999714, 0.999693]}"
3,12,43,1.0,greedy_probability,index,stochastic,1,True,regret,1286,0.043121,0.00099940,0.36344319,0.99984532,0.63640212,"{""v0"": 6.5e-05, ""v1"": 6.5e-05, ""v2"": 6.5e-05, ""v3"": 6.5e-05, ""v4"": 6.5e-05, ""v5"": 6.5e-05, ""v6"": 0.998138, ""v7"": 0.000639, ""v8"": 6.5e-05, ""v9"": 6.5e-05, ""v10"": 0.000639, ""v11"": 6.5e-05}","{""v0"": [0.999653], ""v1"": [0.999916, 0.999886, 0.999805], ""v2"": [0.999905, 0.999838, 0.999838, 0.999705], ""v3"": [0.999904, 0.999857], ""v4"": [0.999915, 0.999879, 0.999818], ""v5"": [0.999891, 0.999883, 0.999882, 0.999789, 0.99977, 0.99976, 0.999748], ""v6"": [0.319885, 0.287855, 0.2767, 0.217393, 0.201861, 0.172844, 0.128983], ""v7"": [0.999049, 0.998682], ""v8"": [0.999817, 0.999717, 0.999639], ""v9"": [0.999792, 0.99969, 0.999675], ""v10"": [0.999189, 0.999061, 0.998844, 0.997845], ""v11"": [0.999914, 0.999887, 0.999857, 0.999737]}"
4,14,47,1.0,greedy_probability,index,stochastic,1,True,regret,1108,0.051414,0.00099977,0.33859703,0.99799271,0.65939568,"{""v0"": 6.4e-05, ""v1"": 6.4e-05, ""v2"": 6.4e-05, ""v3"": 6.4e-05, ""v4"": 6.4e-05, ""v5"": 0.982644, ""v6"": 6.4e-05, ""v7"": 6.4e-05, ""v8"": 6.4e-05, ""v9"": 0.016582, ""v10"": 6.4e-05, ""v11"": 6.4e-05, ""v12"": 6.4e-05, ""v13"": 6.4e-05}","{""v0"": [0.999762, 0.999622], ""v1"": [0.999896, 0.999879], ""v2"": [0.999838, 0.999787], ""v3"": [0.999846, 0.999845, 0.99972, 0.99969], ""v4"": [0.999922, 0.999922, 0.999918, 0.999905], ""v5"": [0.342652, 0.332573, 0.285224, 0.245678, 0.234695], ""v6"": [0.999755, 0.999739, 0.999733], ""v7"": [0.999834, 0.999825, 0.999813, 0.99979], ""v8"": [0.999925, 0.99985, 0.999835, 0.999818, 0.999792, 0.999766], ""v9"": [0.976486, 0.973023, 0.95744], ""v10"": [0.999666, 0.99966, 0.999657], ""v11"": [0.99967, 0.99965, 0.999597], ""v12"": [0.999784, 0.999753, 0.999703], ""v13"": [0.999903, 0.999818, 0.999685]}"
5,15,39,1.0,greedy_probability,index,stochastic,1,True,regret,3335,0.209992,0.00099988,0.11289045,0.15158827,0.03869783,"{""v0"": 2e-05, ""v1"": 5.8e-05, ""v2"": 2e-05, ""v3"": 0.000981, ""v4"": 2e-05, ""v5"": 2e-05, ""v6"": 2e-05, ""v7"": 2e-05, ""v8"": 2e-05, ""v9"": 0.000981, ""v10"": 0.391959, ""v11"": 2e-05, ""v12"": 2e-05, ""v13"": 0.522744, ""v14"": 0.083097}","{""v0"": [0.465067, 0.465065, 0.465054], ""v1"": [0.464951, 0.46491, 0.464883, 0.464759], ""v2"": [0.46505], ""v3"": [0.462118, 0.462048, 0.461193], ""v4"": [0.464929, 0.46492, 0.464824], ""v5"": [0.465036, 0.465035, 0.464985], ""v6"": [0.464397, 0.464382, 0.464233], ""v7"": [0.464677, 0.464657], ""v8"": [0.464922], ""v9"": [0.465133], ""v10"": [0.278517, 0.229134], ""v11"": [0.467688, 0.467661], ""v12"": [0.467717, 0.467717, 0.467705], ""v13"": [0.467731, 0.462262, 0.449695, 0.233524], ""v14"": [0.906875, 0.89585, 0.817179, 0.72188]}"
6,14,46,1.0,greedy_probability,index,stochastic,1,True,regret,12560,1.129432,0.00099959,0.28329248,0.56114083,0.27784835,"{""v0"": 6e-06, ""v1"": 0.889695, ""v2"": 6e-06, ""v3"": 6e-06, ""v4"": 0.110049, ""v5"": 5.1e-05, ""v6"": 5.1e-05, ""v7"": 1.4e-05, ""v8"": 6e-06, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 5.1e-05, ""v12"": 6e-06, ""v13"": 5.1e-05}","{""v0"": [0.999964], ""v1"": [0.32298, 0.305849, 0.274052, 0.18773, 0.174242], ""v2"": [0.999981, 0.999963], ""v3"": [0.999982, 0.999979, 0.999965], ""v4"": [0.850942, 0.8349, 0.821126, 0.796598, 0.60685], ""v5"": [0.999835, 0.999676], ""v6"": [0.999919, 0.999821, 0.999778], ""v7"": [0.999969, 0.999959, 0.999956], ""v8"": [0.999992, 0.999991, 0.999988], ""v9"": [0.999977, 0.999969], ""v10"": [0.999984, 0.999983, 0.999979, 0.999979], ""v11"": [0.999933, 0.999912, 0.999905, 0.99987], ""v12"": [0.999992, 0.999992, 0.999989, 0.999986, 0.999979, 0.999974], ""v13"": [0.999939, 0.999912, 0.999847]}"
7,12,31,1.0,greedy_probability,index,stochastic,1,True,regret,1068,0.061265,0.00099924,0.25071920,0.24995505,-0.00076415,"{""v0"": 0.000234, ""v1"": 0.000597, ""v2"": 7.8e-05, ""v3"": 7.8e-05, ""v4"": 0.997121, ""v5"": 0.000597, ""v6"": 7.8e-05, ""v7"": 7.8e-05, ""v8"": 7.8e-05, ""v9"": 7.8e-05, ""v10"": 0.000597, ""v11"": 0.000385}","{""v0"": [0.253324, 0.253322, 0.253295, 0.253129], ""v1"": [0.253193], ""v2"": [0.253373, 0.253353, 0.253335], ""v3"": [0.253343], ""v4"": [0.253409, 0.236118, 0.23476, 0.175107, 0.155605], ""v5"": [0.99884, 0.998283], ""v6"": [0.999323, 0.99929], ""v7"": [0.999659, 0.999635, 0.999542], ""v8"": [0.999812, 0.999602], ""v9"": [0.999908, 0.999882], ""v10"": [0.999212, 0.998641, 0.998276, 0.997667], ""v11"": [0.999459, 0.999326]}"
8,14,49,1.0,greedy_probability,index,stochastic,1,True,regret,11889,0.910530,0.00099542,0.29890516,0.64030534,0.34140018,"{""v0"": 6e-06, ""v1"": 0.013886, ""v2"": 6e-06, ""v3"": 0.46419, ""v4"": 0.253776, ""v5"": 0.000125, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 6e-06, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 6e-06, ""v12"": 0.267968, ""v13"": 6e-06}","{""v0"": [0.999972], ""v1"": [0.409795, 0.409102, 0.408923], ""v2"": [0.417148, 0.417148, 0.417147, 0.417142], ""v3"": [0.417153, 0.339438, 0.250674], ""v4"": [0.731902, 0.730636, 0.597872], ""v5"": [0.999821, 0.999789, 0.999771, 0.99948], ""v6"": [0.99998, 0.999975], ""v7"": [0.99999, 0.999987, 0.999975], ""v8"": [0.999966, 0.999964, 0.999963, 0.999961, 0.999955], ""v9"": [0.999966, 0.999966, 0.999958, 0.999943], ""v10"": [0.999976, 0.999975, 0.999974, 0.999972, 0.999965], ""v11"": [0.999987, 0.999983, 0.999982], ""v12"": [0.736355, 0.722274, 0.691833, 0.653078, 0.651069], ""v13"": [0.999991, 0.99998, 0.999979, 0.999978]}"
9,10,23,1.0,greedy_probability,index,stochastic,1,True,regret,15894,0.733866,0.00099829,0.23854106,0.50926386,0.27072280,"{""v0"": 0.075674, ""v1"": 6e-06, ""v2"": 6e-06, ""v3"": 0.691624, ""v4"": 0.070477, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 6e-06, ""v9"": 0.162187}","{""v0"": [0.751539, 0.736704, 0.723753, 0.701632], ""v1"": [0.89885, 0.898841], ""v2"": [0.898868, 0.898866, 0.898864, 0.898859, 0.898848], ""v3"": [0.338734, 0.294794], ""v4"": [0.898878, 0.777791], ""v5"": [0.999974, 0.999949], ""v6"": [0.999988, 0.999976], ""v7"": [0.99999], ""v8"": [0.999991], ""v9"": [0.833349, 0.82747]}"
