network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,10.0,greedy_probability,index,stochastic,10,True,regret,2,0.001946,0.00093898,0.00008218,0.00025827,0.00017609,"{""v0"": 0.038462, ""v1"": 0.081902, ""v2"": 0.102542, ""v3"": 0.123183, ""v4"": 0.121671, ""v5"": 0.038462, ""v6"": 0.088237, ""v7"": 0.038462, ""v8"": 0.038462, ""v9"": 0.086334, ""v10"": 0.038462, ""v11"": 0.107926, ""v12"": 0.095898}","{""v0"": [0.000264, 0.000249, 0.000213, 0.00014], ""v1"": [0.000172, 0.000129, 0.000121, 9.1e-05, 8e-05, 7.6e-05, 6.4e-05], ""v2"": [0.00043, 0.000232, 0.000193, 0.000147], ""v3"": [0.001395, 0.000905, 0.000673], ""v4"": [0.005546, 0.005187, 0.003577], ""v5"": [0.018201], ""v6"": [0.01855, 0.015643, 0.013647], ""v7"": [0.027328, 0.01794], ""v8"": [0.044137, 0.031203, 0.025342], ""v9"": [0.032114, 0.031849, 0.027686, 0.020352, 0.016222], ""v10"": [0.052356, 0.050027, 0.047458, 0.033194], ""v11"": [0.084904, 0.083084], ""v12"": [0.321751, 0.315548, 0.299669, 0.284567, 0.240569]}"
1,14,45,10.0,greedy_probability,index,stochastic,10,True,regret,406,0.171314,0.00099930,0.00003120,0.73334193,0.73331073,"{""v0"": 0.000176, ""v1"": 0.358571, ""v2"": 0.000587, ""v3"": 0.000176, ""v4"": 0.320423, ""v5"": 0.000176, ""v6"": 0.000176, ""v7"": 0.000176, ""v8"": 0.000176, ""v9"": 0.000176, ""v10"": 0.31866, ""v11"": 0.000176, ""v12"": 0.000176, ""v13"": 0.000176}","{""v0"": [0.988186], ""v1"": [0.015534, 0.012308, 0.008484], ""v2"": [0.979316, 0.966433], ""v3"": [0.990941, 0.990362, 0.989199, 0.986952, 0.98622], ""v4"": [0.035456, 0.034843, 0.030732, 0.024424], ""v5"": [0.992958, 0.992454], ""v6"": [0.995342, 0.995305, 0.995278, 0.994282], ""v7"": [0.993855, 0.993005], ""v8"": [0.995921, 0.995775, 0.995552, 0.994403], ""v9"": [0.99802, 0.997732, 0.996731, 0.996265], ""v10"": [0.037295, 0.030895, 0.008617], ""v11"": [0.997937, 0.997283, 0.997084, 0.994526, 0.993554], ""v12"": [0.991674], ""v13"": [0.997946, 0.997743, 0.997386, 0.996968, 0.991508]}"
2,13,31,10.0,greedy_probability,index,stochastic,10,True,regret,269,0.111231,0.00099985,0.00007549,0.25566036,0.25558487,"{""v0"": 0.263862, ""v1"": 0.000286, ""v2"": 0.000286, ""v3"": 0.000286, ""v4"": 0.000286, ""v5"": 0.000286, ""v6"": 0.264055, ""v7"": 0.000286, ""v8"": 0.263799, ""v9"": 0.000286, ""v10"": 0.000286, ""v11"": 0.20571, ""v12"": 0.000286}","{""v0"": [0.015859, 0.008942, 0.008096, 0.007351], ""v1"": [0.947136, 0.923651], ""v2"": [0.962718, 0.948175, 0.937852], ""v3"": [0.91911, 0.902869], ""v4"": [0.945616, 0.928128], ""v5"": [0.964096, 0.960712, 0.959207], ""v6"": [0.050322, 0.035957, 0.017288], ""v7"": [0.995999, 0.990557], ""v8"": [0.058322, 0.017204, 0.016908], ""v9"": [0.979095], ""v10"": [0.991961], ""v11"": [0.115615, 0.061651], ""v12"": [0.996566, 0.993683, 0.993231]}"
3,12,43,10.0,greedy_probability,index,stochastic,10,True,regret,2637,0.474720,0.00099995,0.00004475,0.99936927,0.99932453,"{""v0"": 3.2e-05, ""v1"": 3.2e-05, ""v2"": 3.2e-05, ""v3"": 3.2e-05, ""v4"": 3.2e-05, ""v5"": 3.2e-05, ""v6"": 0.999351, ""v7"": 0.000182, ""v8"": 3.2e-05, ""v9"": 3.2e-05, ""v10"": 0.000182, ""v11"": 3.2e-05}","{""v0"": [0.998308], ""v1"": [0.999592, 0.999445, 0.999048], ""v2"": [0.999536, 0.999211, 0.999211, 0.998561], ""v3"": [0.999531, 0.999303], ""v4"": [0.999584, 0.999408, 0.999115], ""v5"": [0.99947, 0.999431, 0.999422, 0.998971, 0.99888, 0.998832, 0.998773], ""v6"": [3.7e-05, 3.2e-05, 3e-05, 2.2e-05, 2e-05, 1.6e-05, 1.2e-05], ""v7"": [0.997103, 0.996061], ""v8"": [0.99911, 0.99862, 0.998239], ""v9"": [0.998988, 0.998492, 0.998417], ""v10"": [0.997687, 0.997324, 0.996705, 0.993869], ""v11"": [0.999581, 0.999447, 0.999302, 0.998719]}"
4,14,47,10.0,greedy_probability,index,stochastic,10,True,regret,2055,0.603383,0.00099978,0.00003981,0.99603067,0.99599086,"{""v0"": 3.5e-05, ""v1"": 3.5e-05, ""v2"": 3.5e-05, ""v3"": 3.5e-05, ""v4"": 3.5e-05, ""v5"": 0.49984, ""v6"": 3.5e-05, ""v7"": 3.5e-05, ""v8"": 3.5e-05, ""v9"": 0.499743, ""v10"": 3.5e-05, ""v11"": 3.5e-05, ""v12"": 3.5e-05, ""v13"": 3.5e-05}","{""v0"": [0.998718, 0.997962], ""v1"": [0.99944, 0.999346], ""v2"": [0.999129, 0.998854], ""v3"": [0.999169, 0.999166, 0.998494, 0.998329], ""v4"": [0.99958, 0.99958, 0.999558, 0.999488], ""v5"": [0.005885, 0.005627, 0.004512, 0.003685, 0.003471], ""v6"": [0.998678, 0.998596, 0.998563], ""v7"": [0.999107, 0.999055, 0.99899, 0.998869], ""v8"": [0.999595, 0.999192, 0.999112, 0.999019, 0.998881, 0.998738], ""v9"": [0.004742, 0.004116, 0.002563], ""v10"": [0.998201, 0.99817, 0.998153], ""v11"": [0.998224, 0.998114, 0.997829], ""v12"": [0.998835, 0.99867, 0.9984], ""v13"": [0.999479, 0.999022, 0.998305]}"
5,15,39,10.0,greedy_probability,index,stochastic,10,True,regret,92,0.039488,0.00099226,0.00000982,0.00028676,0.00027694,"{""v0"": 0.000725, ""v1"": 0.000725, ""v2"": 0.000725, ""v3"": 0.182521, ""v4"": 0.000725, ""v5"": 0.000725, ""v6"": 0.000725, ""v7"": 0.000725, ""v8"": 0.000725, ""v9"": 0.182451, ""v10"": 0.182966, ""v11"": 0.000725, ""v12"": 0.000725, ""v13"": 0.262013, ""v14"": 0.182802}","{""v0"": [0.000316, 0.000316, 0.000315], ""v1"": [0.000316, 0.000315, 0.000315, 0.000313], ""v2"": [0.000315], ""v3"": [4e-05, 3.9e-05, 3.1e-05], ""v4"": [0.000309, 0.000309, 0.000304], ""v5"": [0.000314, 0.000314, 0.000312], ""v6"": [0.000286, 0.000285, 0.000279], ""v7"": [0.000298, 0.000297], ""v8"": [0.000309], ""v9"": [0.000319], ""v10"": [0.000928, 0.000631], ""v11"": [0.007473, 0.007345], ""v12"": [0.00762, 0.007617, 0.00756], ""v13"": [0.007688, 0.007514, 0.007128, 0.002593], ""v14"": [0.139117, 0.124906, 0.069051, 0.041293]}"
6,14,46,10.0,greedy_probability,index,stochastic,10,True,regret,62,0.043301,0.00098397,0.00003331,0.36850745,0.36847414,"{""v0"": 0.001152, ""v1"": 0.25717, ""v2"": 0.001152, ""v3"": 0.001152, ""v4"": 0.172848, ""v5"": 0.171656, ""v6"": 0.045445, ""v7"": 0.001152, ""v8"": 0.001152, ""v9"": 0.001152, ""v10"": 0.001152, ""v11"": 0.171801, ""v12"": 0.001152, ""v13"": 0.171864}","{""v0"": [0.933187], ""v1"": [0.05127, 0.047546, 0.041027, 0.025539, 0.023371], ""v2"": [0.963221, 0.928879], ""v3"": [0.964434, 0.959139, 0.932944], ""v4"": [0.012048, 0.010867, 0.009996, 0.008695, 0.00368], ""v5"": [0.077237, 0.026825], ""v6"": [0.539337, 0.334798, 0.285786], ""v7"": [0.965104, 0.95691, 0.954813], ""v8"": [0.983879, 0.981177, 0.976128], ""v9"": [0.954471, 0.93917], ""v10"": [0.968508, 0.96573, 0.958772, 0.957816], ""v11"": [0.157494, 0.120139, 0.111754, 0.082063], ""v12"": [0.983643, 0.983536, 0.977113, 0.972983, 0.959554, 0.950138], ""v13"": [0.153162, 0.111833, 0.067385]}"
7,12,31,10.0,greedy_probability,index,stochastic,10,True,regret,154,0.064441,0.00099463,0.00003692,0.00927818,0.00924126,"{""v0"": 0.000541, ""v1"": 0.22163, ""v2"": 0.000541, ""v3"": 0.000541, ""v4"": 0.40634, ""v5"": 0.221692, ""v6"": 0.000541, ""v7"": 0.000541, ""v8"": 0.000541, ""v9"": 0.000541, ""v10"": 0.146008, ""v11"": 0.000541}","{""v0"": [0.009291, 0.00929, 0.009271, 0.009153], ""v1"": [0.00086], ""v2"": [0.009275, 0.009232, 0.009195], ""v3"": [0.009211], ""v4"": [0.009353, 0.008525, 0.008462, 0.005871, 0.005101], ""v5"": [0.076652, 0.044806], ""v6"": [0.954492, 0.952335], ""v7"": [0.976661, 0.975059, 0.968922], ""v8"": [0.987055, 0.972969], ""v9"": [0.993636, 0.991884], ""v10"": [0.186401, 0.117213, 0.094734, 0.071733], ""v11"": [0.992424, 0.990584]}"
8,14,49,10.0,greedy_probability,index,stochastic,10,True,regret,139,0.078210,0.00099487,0.00002685,0.40172809,0.40170124,"{""v0"": 0.000514, ""v1"": 0.213255, ""v2"": 0.000514, ""v3"": 0.194269, ""v4"": 0.221205, ""v5"": 0.180435, ""v6"": 0.000514, ""v7"": 0.000514, ""v8"": 0.000514, ""v9"": 0.000514, ""v10"": 0.000514, ""v11"": 0.000514, ""v12"": 0.186211, ""v13"": 0.000514}","{""v0"": [0.97653], ""v1"": [0.001097, 0.00101, 0.00099], ""v2"": [0.010192, 0.010176, 0.010167, 0.010073], ""v3"": [0.010276, 0.006983, 0.00434], ""v4"": [0.087301, 0.086788, 0.049478], ""v5"": [0.12749, 0.109268, 0.100954, 0.04588], ""v6"": [0.983459, 0.978961], ""v7"": [0.991671, 0.989281, 0.97882], ""v8"": [0.971845, 0.96989, 0.968693, 0.967673, 0.962493], ""v9"": [0.971737, 0.971139, 0.96491, 0.952618], ""v10"": [0.979835, 0.978981, 0.978081, 0.976775, 0.970954], ""v11"": [0.988979, 0.985719, 0.984582], ""v12"": [0.136333, 0.128148, 0.112596, 0.096163, 0.095396], ""v13"": [0.992254, 0.983405, 0.982071, 0.981201]}"
9,10,23,10.0,greedy_probability,index,stochastic,10,True,regret,71,0.022585,0.00099956,0.00002177,0.00454791,0.00452614,"{""v0"": 0.285647, ""v1"": 0.001408, ""v2"": 0.001408, ""v3"": 0.223825, ""v4"": 0.24883, ""v5"": 0.001408, ""v6"": 0.001408, ""v7"": 0.001408, ""v8"": 0.001408, ""v9"": 0.233247}","{""v0"": [0.001734, 0.001533, 0.001387, 0.001185], ""v1"": [0.05201, 0.051197], ""v2"": [0.053646, 0.053408, 0.053263, 0.052779, 0.051847], ""v3"": [0.00457, 0.003742], ""v4"": [0.054524, 0.02199], ""v5"": [0.943602, 0.896345], ""v6"": [0.973887, 0.948698], ""v7"": [0.978164], ""v8"": [0.980299], ""v9"": [0.08646, 0.08322]}"
