network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,7,26,1,True,regret,153,0.134101,0.00099724,153,0.134101,0.00509859,0.00000000,0.00509859,0.001,,"{""get_credentials"": 0.341805, ""find_LAN_access_port"": 0.002398, ""spoof_MAC_address"": 0.002094, ""find_WLAN"": 0.001471, ""break_WPA_keys"": 0.006094, ""exploit_software_vulnerability"": 0.279225, ""run_malicous_script"": 0.366914}","{""get_credentials"": [0.005122, 0.00437, 0.003408, 0.002317, 0.001457], ""find_LAN_access_port"": [0.031768, 0.031626, 0.031254], ""spoof_MAC_address"": [0.032265, 0.032216, 0.032131, 0.031966], ""find_WLAN"": [0.030711, 0.030589, 0.030308], ""break_WPA_keys"": [0.031155, 0.030673, 0.029639, 0.027807], ""exploit_software_vulnerability"": [0.032634, 0.028837, 0.023529, 0.016289], ""run_malicous_script"": [0.13765, 0.115919, 0.08199]}"
0,7,26,2,True,regret,219,0.290382,0.00099916,219,0.290382,0.00506366,-0.00003493,0.00509859,0.001,10,"{""get_credentials"": 0.337854, ""find_LAN_access_port"": 0.003217, ""spoof_MAC_address"": 0.001458, ""find_WLAN"": 0.002916, ""break_WPA_keys"": 0.003217, ""exploit_software_vulnerability"": 0.296003, ""run_malicous_script"": 0.355335}","{""get_credentials"": [0.005087, 0.004343, 0.00339, 0.002306, 0.001452], ""find_LAN_access_port"": [0.030909, 0.030724, 0.030244], ""spoof_MAC_address"": [0.031555, 0.031522, 0.031464, 0.031351], ""find_WLAN"": [0.030281, 0.030067, 0.02956], ""break_WPA_keys"": [0.031035, 0.030776, 0.030208, 0.02915], ""exploit_software_vulnerability"": [0.031806, 0.028022, 0.02277, 0.015676], ""run_malicous_script"": [0.146083, 0.123211, 0.087358]}"
1,8,29,1,True,regret,1636,1.632457,0.00099974,1636,1.632457,0.00645532,0.00000000,0.00645532,0.001,,"{""BribeProgrammer"": 0.000539, ""ProgrammerObtainsTheCode"": 0.000306, ""HireRobberA"": 0.000407, ""BugInComputerSystem"": 0.000239, ""ExploitBug"": 0.000277, ""HireRobberB"": 0.000101, ""RobberBreaksIntoSystem"": 0.000115, ""UseCodeInProduct"": 0.998015}","{""BribeProgrammer"": [0.006436, 0.006433, 0.006426, 0.006412], ""ProgrammerObtainsTheCode"": [0.006456, 0.006455, 0.006452, 0.006447], ""HireRobberA"": [0.006431, 0.006428, 0.006421], ""BugInComputerSystem"": [0.006448, 0.006446, 0.006443, 0.006438], ""ExploitBug"": [0.006457, 0.006455, 0.006451], ""HireRobberB"": [0.006458, 0.006457, 0.006455], ""RobberBreaksIntoSystem"": [0.006462, 0.006461, 0.006457], ""UseCodeInProduct"": [0.006467, 0.006061, 0.005384, 0.004366, 0.002869]}"
1,8,29,2,True,regret,1617,1.724182,0.00099969,1617,1.724182,0.00648058,0.00002526,0.00645532,0.001,10,"{""BribeProgrammer"": 0.000423, ""ProgrammerObtainsTheCode"": 0.000334, ""HireRobberA"": 0.000117, ""BugInComputerSystem"": 0.000142, ""ExploitBug"": 0.000103, ""HireRobberB"": 0.000966, ""RobberBreaksIntoSystem"": 0.000792, ""UseCodeInProduct"": 0.997124}","{""BribeProgrammer"": [0.006468, 0.006466, 0.00646, 0.006449], ""ProgrammerObtainsTheCode"": [0.006484, 0.006482, 0.00648, 0.006474], ""HireRobberA"": [0.006482, 0.006481, 0.006479], ""BugInComputerSystem"": [0.006487, 0.006486, 0.006484, 0.006481], ""ExploitBug"": [0.006492, 0.006491, 0.00649], ""HireRobberB"": [0.00642, 0.006413, 0.006396], ""RobberBreaksIntoSystem"": [0.006463, 0.006453, 0.006427], ""UseCodeInProduct"": [0.006496, 0.006088, 0.005408, 0.004386, 0.002882]}"
2,11,43,1,True,plateau,121500,319.520864,0.00263219,121500,319.520864,0.52004362,0.00000000,0.52004362,0.001,,"{""BreakIntoComputerCentre"": 0.09873, ""Unattended Guest"": 0.118972, ""CorruptSysAdmin"": 0.124922, ""ObtainPasswordFileA"": 0.105097, ""EncounterGuessablePasswordA"": 0.000165, ""LookOverSysAdminShoulderA"": 0.114866, ""TrojanHorseSAAccountA"": 0.108557, ""ObtainPasswordFileB"": 0.105101, ""EncounterGuessablePasswordB"": 0.000158, ""LookOverSysAdminShoulderB"": 0.114876, ""TrojanHorseSAAccountB"": 0.108555}","{""BreakIntoComputerCentre"": [0.519466, 0.453655, 0.360617], ""Unattended Guest"": [0.519855, 0.486486, 0.428738], ""CorruptSysAdmin"": [0.52005, 0.4949, 0.456959], ""ObtainPasswordFileA"": [0.51948, 0.463817, 0.393537, 0.302013], ""EncounterGuessablePasswordA"": [0.999095, 0.998984, 0.99879, 0.998418, 0.997778], ""LookOverSysAdminShoulderA"": [0.519821, 0.477811, 0.414799, 0.328736], ""TrojanHorseSAAccountA"": [0.519726, 0.470315, 0.399737, 0.30074], ""ObtainPasswordFileB"": [0.519489, 0.463824, 0.393542, 0.302015], ""EncounterGuessablePasswordB"": [0.999133, 0.999026, 0.99884, 0.998484, 0.99787], ""LookOverSysAdminShoulderB"": [0.519792, 0.477783, 0.414771, 0.328711], ""TrojanHorseSAAccountB"": [0.519731, 0.47032, 0.399742, 0.300744]}"
2,11,43,2,True,plateau,69000,51.593572,0.00349445,69000,51.593572,0.51995948,-0.00008414,0.52004362,0.001,10,"{""BreakIntoComputerCentre"": 0.098732, ""Unattended Guest"": 0.118975, ""CorruptSysAdmin"": 0.124954, ""ObtainPasswordFileA"": 0.105196, ""EncounterGuessablePasswordA"": 4.7e-05, ""LookOverSysAdminShoulderA"": 0.114868, ""TrojanHorseSAAccountA"": 0.10857, ""ObtainPasswordFileB"": 0.105207, ""EncounterGuessablePasswordB"": 1e-06, ""LookOverSysAdminShoulderB"": 0.114871, ""TrojanHorseSAAccountB"": 0.10858}","{""BreakIntoComputerCentre"": [0.519461, 0.453651, 0.360614], ""Unattended Guest"": [0.519846, 0.486477, 0.42873], ""CorruptSysAdmin"": [0.519963, 0.494813, 0.456873], ""ObtainPasswordFileA"": [0.519522, 0.463823, 0.393509, 0.301957], ""EncounterGuessablePasswordA"": [0.999744, 0.999712, 0.999657, 0.999552, 0.99937], ""LookOverSysAdminShoulderA"": [0.519816, 0.477807, 0.414795, 0.328732], ""TrojanHorseSAAccountA"": [0.519687, 0.470276, 0.399699, 0.300707], ""ObtainPasswordFileB"": [0.51962, 0.463907, 0.393576, 0.302005], ""EncounterGuessablePasswordB"": [0.999993, 0.999992, 0.99999, 0.999987, 0.999982], ""LookOverSysAdminShoulderB"": [0.519806, 0.477797, 0.414786, 0.328724], ""TrojanHorseSAAccountB"": [0.519658, 0.470247, 0.399671, 0.300682]}"
3,11,11,1,True,regret,1,0.000639,0.00024598,1,0.000639,0.00006625,0.00000000,0.00006625,0.001,,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [0.000108], ""Password_attack"": [0.000105], ""Unauthorized_login"": [0.000105], ""Packet_spoofing"": [0.011679], ""Sync_flood"": [0.011679], ""SQL_injection"": [2e-05], ""Insert_malicious_scripts"": [0.013711], ""Capture_packets"": [0.0], ""Analyze_packets"": [1.4e-05], ""Modify_sensitive_data"": [0.00457]}"
3,11,11,2,True,regret,1,0.000883,0.00000000,1,0.000883,0.00006625,0.00000000,0.00006625,0.001,10,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [0.000108], ""Password_attack"": [0.000105], ""Unauthorized_login"": [0.000105], ""Packet_spoofing"": [0.011679], ""Sync_flood"": [0.011679], ""SQL_injection"": [2e-05], ""Insert_malicious_scripts"": [0.013711], ""Capture_packets"": [0.0], ""Analyze_packets"": [1.4e-05], ""Modify_sensitive_data"": [0.00457]}"
4,12,37,1,True,plateau,330000,957.635348,0.00156720,330000,957.635348,0.20244688,0.00000000,0.20244688,0.001,,"{""Guessing"": 0.16311, ""Dictionary"": 0.280899, ""Bruteforce"": 0.087934, ""GenericReconnaissanceA"": 0.173838, ""EmailTrapExecution"": 0.034018, ""PhoneTrapExecution"": 0.029509, ""GenericReconnaissanceB"": 0.00211, ""PayloadCrafting"": 0.007118, ""EmailFileExecution"": 0.008674, ""PhysicalReconnaissance"": 0.00407, ""KeyloggerLocalInstallation"": 0.010539, ""PasswordIntercept"": 0.19818}","{""Guessing"": [0.202477, 0.124963, 0.066646, 0.030759], ""Dictionary"": [0.202415, 0.167864, 0.135079], ""Bruteforce"": [0.202255, 0.126543, 0.067545, 0.034953, 0.017787], ""GenericReconnaissanceA"": [0.201844, 0.185673, 0.161134], ""EmailTrapExecution"": [0.609994, 0.478315, 0.301416], ""PhoneTrapExecution"": [0.61127, 0.449851], ""GenericReconnaissanceB"": [0.200733, 0.200123, 0.199171], ""PayloadCrafting"": [0.205789, 0.200203, 0.189767], ""EmailFileExecution"": [0.224534, 0.216973, 0.200646], ""PhysicalReconnaissance"": [0.201366, 0.198579, 0.193206], ""KeyloggerLocalInstallation"": [0.214802, 0.201503, 0.180447], ""PasswordIntercept"": [0.245135, 0.183251]}"
4,12,37,2,True,plateau,319500,501.979351,0.00165761,319500,501.979351,0.20243150,-0.00001537,0.20244688,0.001,10,"{""Guessing"": 0.16313, ""Dictionary"": 0.280888, ""Bruteforce"": 0.087934, ""GenericReconnaissanceA"": 0.173814, ""EmailTrapExecution"": 0.034006, ""PhoneTrapExecution"": 0.029478, ""GenericReconnaissanceB"": 0.002143, ""PayloadCrafting"": 0.007366, ""EmailFileExecution"": 0.008784, ""PhysicalReconnaissance"": 0.004254, ""KeyloggerLocalInstallation"": 0.010726, ""PasswordIntercept"": 0.197478}","{""Guessing"": [0.202449, 0.124944, 0.066635, 0.030754], ""Dictionary"": [0.202427, 0.167874, 0.135088], ""Bruteforce"": [0.202256, 0.126544, 0.067546, 0.034953, 0.017787], ""GenericReconnaissanceA"": [0.201922, 0.185745, 0.161198], ""EmailTrapExecution"": [0.610092, 0.478417, 0.301502], ""PhoneTrapExecution"": [0.611539, 0.450131], ""GenericReconnaissanceB"": [0.200732, 0.200103, 0.199137], ""PayloadCrafting"": [0.205843, 0.200108, 0.18936], ""EmailFileExecution"": [0.225225, 0.21755, 0.200997], ""PhysicalReconnaissance"": [0.201265, 0.198362, 0.192775], ""KeyloggerLocalInstallation"": [0.215205, 0.201675, 0.180404], ""PasswordIntercept"": [0.246171, 0.184089]}"
5,18,18,1,True,regret,107,0.186373,0.00098517,107,0.186373,0.00191803,0.00000000,0.00191803,0.001,,"{""10"": 0.147613, ""11"": 0.002508, ""12"": 0.001207, ""13"": 0.034146, ""14"": 0.033289, ""15"": 0.033165, ""16"": 0.031618, ""17"": 0.032255, ""18"": 0.031847, ""19"": 0.031615, ""20"": 0.03144, ""3"": 0.234995, ""21"": 0.110314, ""22"": 0.000887, ""23"": 0.109551, ""24"": 0.00108, ""25"": 0.066865, ""26"": 0.065607}","{""10"": [0.001923], ""11"": [0.552572], ""12"": [0.955179], ""13"": [0.001448], ""14"": [0.001489], ""15"": [0.001495], ""16"": [0.001574], ""17"": [0.00154], ""18"": [0.001562], ""19"": [0.001574], ""20"": [0.001584], ""3"": [0.001922], ""21"": [0.001939], ""22"": [0.895073], ""23"": [0.001954], ""24"": [0.874966], ""25"": [0.00181], ""26"": [0.001851]}"
5,18,18,2,True,regret,2154,9.657875,0.00099977,2154,9.657875,0.00192554,0.00000751,0.00191803,0.001,10,"{""10"": 0.145808, ""11"": 0.007726, ""12"": 2.6e-05, ""13"": 0.030644, ""14"": 0.03095, ""15"": 0.031802, ""16"": 0.03291, ""17"": 0.031209, ""18"": 0.033032, ""19"": 0.032558, ""20"": 0.033105, ""3"": 0.232358, ""21"": 0.110843, ""22"": 2.6e-05, ""23"": 0.110784, ""24"": 0.003796, ""25"": 0.066361, ""26"": 0.066064}","{""10"": [0.001912], ""11"": [0.296909], ""12"": [0.999001], ""13"": [0.001628], ""14"": [0.001611], ""15"": [0.001564], ""16"": [0.001507], ""17"": [0.001596], ""18"": [0.001501], ""19"": [0.001525], ""20"": [0.001498], ""3"": [0.001959], ""21"": [0.001936], ""22"": [0.996609], ""23"": [0.001899], ""24"": [0.664218], ""25"": [0.001826], ""26"": [0.001836]}"
6,45,45,1,True,plateau,237000,3020.246584,0.00120711,237000,3020.246584,0.27815546,0.00000000,0.27815546,0.001,,"{""X1"": 0.012006, ""X2"": 0.019691, ""X3"": 0.036927, ""X4"": 0.017784, ""X5"": 0.011767, ""X6"": 0.036727, ""X7"": 0.034954, ""X8"": 0.037736, ""X9"": 0.017405, ""X10"": 0.014559, ""X11"": 0.01518, ""X12"": 0.015542, ""X13"": 0.02179, ""X14"": 0.020914, ""X15"": 0.022777, ""X16"": 0.017839, ""X17"": 0.019482, ""X18"": 0.021835, ""X19"": 0.020912, ""X20"": 0.014662, ""X21"": 0.020116, ""X22"": 0.022421, ""X23"": 0.019817, ""X24"": 0.012578, ""X25"": 0.030515, ""X26"": 0.032233, ""X27"": 0.014662, ""X28"": 0.028979, ""X29"": 0.03446, ""X30"": 0.011769, ""X31"": 0.034739, ""X32"": 0.036638, ""X33"": 0.032948, ""X34"": 0.017147, ""X35"": 0.033596, ""X36"": 0.018448, ""X37"": 0.01466, ""X38"": 0.029424, ""X44"": 0.015747, ""X45"": 0.016673, ""X39"": 0.017147, ""X40"": 0.015538, ""X41"": 0.021943, ""X42"": 0.017836, ""X43"": 0.019478}","{""X1"": [0.27655], ""X2"": [0.277752], ""X3"": [0.278416], ""X4"": [0.277577], ""X5"": [0.276593], ""X6"": [0.278425], ""X7"": [0.278404], ""X8"": [0.278435], ""X9"": [0.27754], ""X10"": [0.277008], ""X11"": [0.277128], ""X12"": [0.277194], ""X13"": [0.277909], ""X14"": [0.27784], ""X15"": [0.277975], ""X16"": [0.277547], ""X17"": [0.277727], ""X18"": [0.277923], ""X19"": [0.277855], ""X20"": [0.277057], ""X21"": [0.277792], ""X22"": [0.277963], ""X23"": [0.277765], ""X24"": [0.276686], ""X25"": [0.278295], ""X26"": [0.278338], ""X27"": [0.27706], ""X28"": [0.278254], ""X29"": [0.278384], ""X30"": [0.276562], ""X31"": [0.278389], ""X32"": [0.278415], ""X33"": [0.27836], ""X34"": [0.277482], ""X35"": [0.278373], ""X36"": [0.277645], ""X37"": [0.27708], ""X38"": [0.278274], ""X44"": [0.277282], ""X45"": [0.277433], ""X39"": [0.277493], ""X40"": [0.277244], ""X41"": [0.277958], ""X42"": [0.277583], ""X43"": [0.277761]}"
6,45,45,2,True,plateau,209500,7845.542747,0.00135217,209500,7845.542747,0.27809340,-0.00006205,0.27815546,0.001,10,"{""X1"": 0.012004, ""X2"": 0.019687, ""X3"": 0.036938, ""X4"": 0.01778, ""X5"": 0.011772, ""X6"": 0.036739, ""X7"": 0.034965, ""X8"": 0.03775, ""X9"": 0.017404, ""X10"": 0.01455, ""X11"": 0.015172, ""X12"": 0.015534, ""X13"": 0.021785, ""X14"": 0.020908, ""X15"": 0.022774, ""X16"": 0.017832, ""X17"": 0.019477, ""X18"": 0.021831, ""X19"": 0.020908, ""X20"": 0.014657, ""X21"": 0.020112, ""X22"": 0.022419, ""X23"": 0.019813, ""X24"": 0.012576, ""X25"": 0.03052, ""X26"": 0.03224, ""X27"": 0.014656, ""X28"": 0.028983, ""X29"": 0.034468, ""X30"": 0.011771, ""X31"": 0.034748, ""X32"": 0.036648, ""X33"": 0.032957, ""X34"": 0.017143, ""X35"": 0.033605, ""X36"": 0.018445, ""X37"": 0.014656, ""X38"": 0.029429, ""X44"": 0.015744, ""X45"": 0.016672, ""X39"": 0.017144, ""X40"": 0.015534, ""X41"": 0.021942, ""X42"": 0.017833, ""X43"": 0.019476}","{""X1"": [0.276585], ""X2"": [0.277804], ""X3"": [0.278349], ""X4"": [0.277614], ""X5"": [0.276502], ""X6"": [0.278354], ""X7"": [0.278334], ""X8"": [0.278358], ""X9"": [0.277554], ""X10"": [0.277131], ""X11"": [0.277238], ""X12"": [0.277306], ""X13"": [0.277956], ""X14"": [0.277894], ""X15"": [0.27801], ""X16"": [0.277619], ""X17"": [0.27778], ""X18"": [0.27796], ""X19"": [0.277895], ""X20"": [0.277127], ""X21"": [0.277839], ""X22"": [0.277989], ""X23"": [0.277809], ""X24"": [0.276716], ""X25"": [0.278261], ""X26"": [0.278292], ""X27"": [0.277137], ""X28"": [0.278222], ""X29"": [0.278332], ""X30"": [0.276524], ""X31"": [0.278329], ""X32"": [0.278354], ""X33"": [0.278299], ""X34"": [0.277537], ""X35"": [0.278314], ""X36"": [0.277683], ""X37"": [0.277141], ""X38"": [0.278237], ""X44"": [0.277332], ""X45"": [0.277448], ""X39"": [0.277526], ""X40"": [0.277306], ""X41"": [0.277965], ""X42"": [0.277612], ""X43"": [0.277784]}"
