source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b100r1,32,43,102,577.640750,1307.434809,104500,93000,772,432,1.7870,323.2394
b100r1,33,37,122,904.529371,2111.657532,138500,150500,861,500,1.7220,525.2784
b100r1,34,32,117,654.134980,1518.626118,110000,109500,753,539,1.3970,468.2321
b100r1,35,42,133,3.418025,16.669974,551,1179,1059,460,2.3022,1.4847
b100r1,36,31,113,529.313155,4357.512986,129000,145000,640,506,1.2648,418.4882
b100r1,37,41,116,542.328519,3689.007425,107442,112564,939,695,1.3511,401.4040
b100r1,38,42,126,12.337159,531.311679,2960,14088,928,518,1.7915,6.8865
b100r1,39,13,42,2.623120,63.895626,2313,8805,196,145,1.3517,1.9406
b100r1,40,14,45,175.118792,830.509802,88000,104000,227,97,2.3402,74.8305
b100r1,41,12,30,35.263372,318.623130,39250,53744,133,106,1.2547,28.1046
b100r1,42,14,36,49.672025,316.859861,39306,32484,162,141,1.1489,43.2331
b100r1,43,15,45,161.581967,828.122500,94000,111500,227,174,1.3046,123.8558
b100r5,0,13,46,0.099501,0.839158,85,93,182,75,2.4267,0.0410
b100r5,1,14,45,353.412379,1641.122055,225338,233882,193,115,1.6783,210.5825
b100r5,2,13,31,193.864401,900.161642,154500,152000,116,96,1.2083,160.4395
b100r5,3,12,43,706.920037,884.739198,264000,266500,162,100,1.6200,436.3704
b100r5,4,14,47,713.039455,1194.445294,288000,237500,195,118,1.6525,431.4803
b100r5,5,15,39,0.409258,3.562567,323,321,171,86,1.9884,0.2058
b100r5,6,14,46,72.896922,401.664637,47455,52941,202,134,1.5075,48.3574
b100r5,7,12,31,1.299997,11.605926,1484,1546,130,94,1.3830,0.9400
b100r5,8,14,49,69.333445,471.633838,38113,61045,218,159,1.3711,50.5689
b100r5,9,10,23,0.654272,3.281862,1056,973,87,59,1.4746,0.4437
b100r5,10,12,38,303.000445,363.550098,145500,106000,204,80,2.5500,118.8237
b100r5,11,11,36,105.541520,271.726658,72477,69968,129,93,1.3871,76.0881
b100r5,12,14,45,0.639938,4.844813,464,448,199,100,1.9900,0.3216
b100r5,13,12,35,276.539712,252.627955,159500,68500,160,96,1.6667,165.9238
b100r5,14,14,34,0.401345,3.012319,377,336,150,76,1.9737,0.2033
b100r5,15,14,45,0.967870,6.366948,731,884,238,97,2.4536,0.3945
b100r5,16,10,27,53.393885,236.215229,50305,51091,96,71,1.3521,39.4892
