source,network_id,n_controls,total_Q,binary_work,nary_work,work_speedup,runtime_exact_s,iters_exact,est_nary_runtime_s
rw_b1r10,16,23,23,275,23,11.9565,0.032517,12,0.0027
rw_b1r10,17,34,34,594,34,17.4706,0.064064,11,0.0037
rw_b1r10,18,22,22,249,24,10.3750,11.484414,4249,1.1069
rw_b1r10,19,23,23,241,33,7.3030,0.059434,21,0.0081
rw_b1r10,20,30,30,464,30,15.4667,458.497247,91500,29.6442
rw_b1r10,21,16,16,135,16,8.4375,0.119202,78,0.0141
rw_b1r10,22,27,27,187,59,3.1695,2.067236,828,0.6522
rw_b1r1,0,7,26,96,54,1.7778,5.840268,7178,3.2852
rw_b1r1,1,8,29,100,77,1.2987,2.745479,2865,2.1140
rw_b1r1,2,11,43,163,61,2.6721,124.480441,40500,46.5847
rw_b1r1,3,11,11,39,30,1.3000,0.000629,1,0.0005
rw_b1r1,4,12,37,147,97,1.5155,329.513633,110000,217.4342
rw_b1r1,5,18,18,138,25,5.5200,0.128720,74,0.0233
rw_b1r1,6,45,45,1034,45,22.9778,1061.981193,82500,46.2178
rw_b1r1,7,25,25,324,25,12.9600,0.002790,1,0.0002
rw_b1r1,8,9,9,44,9,4.8889,0.011693,20,0.0024
rw_b1r1,9,27,27,271,57,4.7544,0.129990,55,0.0273
rw_b1r1,10,6,6,17,12,1.4167,0.000313,1,0.0002
rw_b1r1,11,21,21,138,48,2.8750,0.021612,14,0.0075
rw_b1r1,12,22,22,249,24,10.3750,43.054855,16172,4.1499
rw_b1r1,13,53,53,795,84,9.4643,0.002074,1,0.0002
rw_b1r1,14,25,25,246,35,7.0286,316.327185,99411,45.0059
rw_b1r1,15,10,10,54,10,5.4000,0.079418,127,0.0147
rw_b1r1,16,23,23,275,23,11.9565,0.009446,4,0.0008
rw_b1r1,17,34,34,594,34,17.4706,0.008181,2,0.0005
rw_b1r1,18,22,22,249,24,10.3750,43.187268,16172,4.1626
rw_b1r1,19,23,23,241,33,7.3030,0.004758,2,0.0007
rw_b1r1,20,30,30,464,30,15.4667,194.772551,38500,12.5931
rw_b1r1,21,16,16,135,16,8.4375,0.036072,24,0.0043
rw_b1r1,22,27,27,187,59,3.1695,18.991055,7986,5.9918
rw_b1r5,0,7,26,96,54,1.7778,0.135645,153,0.0763
rw_b1r5,1,8,29,100,77,1.2987,1.625292,1636,1.2515
rw_b1r5,2,11,43,163,61,2.6721,318.910996,121500,119.3471
rw_b1r5,3,11,11,39,30,1.3000,0.000627,1,0.0005
rw_b1r5,4,12,37,147,97,1.5155,977.076397,330000,644.7375
rw_b1r5,5,18,18,138,25,5.5200,0.191726,107,0.0347
rw_b1r5,6,45,45,1034,45,22.9778,3074.008051,237000,133.7818
rw_b1r5,7,25,25,324,25,12.9600,0.016033,5,0.0012
rw_b1r5,8,9,9,44,9,4.8889,0.022141,38,0.0045
rw_b1r5,9,27,27,271,57,4.7544,0.218277,91,0.0459
rw_b1r5,10,6,6,17,12,1.4167,0.000303,1,0.0002
rw_b1r5,11,21,21,138,48,2.8750,0.047213,30,0.0164
rw_b1r5,12,22,22,249,24,10.3750,36.519847,13255,3.5200
rw_b1r5,13,53,53,795,84,9.4643,0.002306,1,0.0002
rw_b1r5,14,25,25,246,35,7.0286,469.276512,143675,66.7670
rw_b1r5,15,10,10,54,10,5.4000,0.099160,150,0.0184
rw_b1r5,16,23,23,275,23,11.9565,0.032052,12,0.0027
rw_b1r5,17,34,34,594,34,17.4706,0.069135,12,0.0040
rw_b1r5,18,22,22,249,24,10.3750,36.264436,13255,3.4954
rw_b1r5,19,23,23,241,33,7.3030,0.035981,13,0.0049
rw_b1r5,20,30,30,464,30,15.4667,324.118183,64000,20.9559
rw_b1r5,21,16,16,135,16,8.4375,0.089827,58,0.0106
rw_b1r5,22,27,27,187,59,3.1695,10.938444,4425,3.4512
