source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
b100r5,29,38,148,2.647449,17.722955,522,351
b100r5,30,44,100,188.544083,1176.546758,46196,61985
b100r5,31,35,150,3080.024775,11702.490343,378500,323000
b100r5,32,43,102,1183.606448,3019.441532,230000,220000
b100r5,33,37,122,2258.169291,5202.742026,349500,382000
b100r5,34,32,117,1708.345334,3827.832398,293000,285500
b100r5,35,42,133,6.072423,10.957763,1041,795
b100r5,36,31,113,246.329832,2120.282883,59996,74002
b100r5,37,41,116,420.418558,2809.037094,85904,94872
b100r5,38,42,126,6.960576,70.922155,1701,1871
b100r5,39,13,42,0.516368,2.874194,406,401
b100r5,40,14,45,456.343038,1986.870953,234500,254500
b100r5,41,12,30,14.186042,79.339974,13819,14058
b100r5,42,14,36,15.066437,106.243576,11780,11715
b100r5,43,15,45,421.378959,2034.155311,244768,277500
b10r10,0,13,46,0.008808,0.022758,5,7
b10r10,1,14,45,41.220107,52.520587,24980,25592
b10r10,2,13,31,38.845880,52.500165,34093,37323
b10r10,3,12,43,523.144061,227.777991,247561,254453
b10r10,4,14,47,443.652627,254.212589,198771,191748
b10r10,5,15,39,0.112361,0.212654,83,95
b10r10,6,14,46,21.420030,19.783707,13831,11878
b10r10,7,12,31,0.553559,1.036757,601,755
b10r10,8,14,49,37.913393,46.225213,20575,25551
b10r10,9,10,23,0.271763,0.394703,378,502
b10r10,10,12,38,455.142458,260.237715,242500,272000
b10r10,11,11,36,27.357458,18.549807,20591,21091
b10r10,12,14,45,0.144410,0.325973,100,127
b10r10,13,12,35,126.319117,59.395783,77482,79538
b10r10,14,14,34,0.086417,0.215539,83,113
b10r10,15,14,45,0.242949,0.387927,169,203
b10r10,16,10,27,14.973117,19.565200,13935,16074
b10r10,17,12,37,21.686205,13.792363,14221,13978
b10r10,18,10,20,252.767026,30.763026,240500,76500
b10r10,19,10,32,0.770006,2.655197,701,1886
b10r10,20,10,24,196.983532,136.459166,171474,181270
b10r10,21,11,25,63.876979,45.935475,58534,77770
b10r10,22,13,42,1.496238,2.628228,1128,1288
b10r10,23,14,37,0.019689,0.030751,16,14
b10r10,24,11,36,0.063041,0.185934,52,138
b10r10,25,31,129,218.253964,386.765369,37987,49146
b10r10,26,41,111,2285.299712,1324.937448,327500,292500
b10r10,27,43,150,4.181310,8.607799,650,755
b10r10,28,44,144,2432.899680,906.766579,214000,237500
b10r10,29,38,148,0.857056,2.097054,155,173
b10r10,30,44,100,45.311399,54.420544,10777,15752
b10r10,31,35,150,728.903511,941.446186,94833,99336
b10r10,32,43,102,1688.001993,1031.348257,346000,353500
b10r10,33,37,122,1686.586969,941.884190,254040,283409
b10r10,34,32,117,1702.304937,993.727319,287120,293680
b10r10,35,42,133,6.643057,3.042417,1160,990
b10r10,36,31,113,89.141731,173.726604,21372,22810
b10r10,37,41,116,101.466440,131.701380,21260,29022
b10r10,38,42,126,5.730455,15.184818,1220,1965
b10r10,39,13,42,0.089639,0.153591,62,94
b10r10,40,14,45,113.684053,124.479773,56562,59179
b10r10,41,12,30,5.870969,5.568667,5530,4053
b10r10,42,14,36,10.003832,13.721079,7695,8591
b10r10,43,15,45,68.053894,91.812185,39171,47067
b10r1,0,13,46,0.961069,2.229622,873,1149
b10r1,1,14,45,178.897371,183.624465,132500,130000
b10r1,2,13,31,126.242869,163.855492,120000,131500
b10r1,3,12,43,201.511665,86.093572,82500,98000
b10r1,4,14,47,252.445614,107.146988,100500,87000
b10r1,5,15,39,0.732460,10.034709,631,4979
b10r1,6,14,46,84.334629,215.471849,64410,158568
b10r1,7,12,31,1.560868,29.868109,1892,24660
b10r1,8,14,49,102.013549,222.680238,59925,136496
b10r1,9,10,23,1.338454,2.904781,2230,4284
b10r1,10,12,38,125.968889,40.542182,60000,48500
b10r1,11,11,36,157.183100,91.252271,111000,108500
b10r1,12,14,45,1.508465,3.000856,1105,1384
b10r1,13,12,35,85.696007,31.630565,49500,43000
b10r1,14,14,34,0.780449,3.132816,797,1855
b10r1,15,14,45,5.069506,40.885412,3825,29370
b10r1,16,10,27,93.457752,37.021303,102371,41223
b10r1,17,12,37,110.552350,101.354769,74213,110154
b10r1,18,10,20,60.046058,18.503882,56500,45500
b10r1,19,10,32,0.573852,5.610694,715,6054
b10r1,20,10,24,95.284882,60.989461,84500,84000
b10r1,21,11,25,86.966690,36.090406,79000,64000
b10r1,22,13,42,6.210952,79.408399,5334,49697
b10r1,23,14,37,0.664370,2.863030,666,2022
b10r1,24,11,36,1.642206,1.123675,1636,1244
b10r1,25,31,129,347.947889,373.998556,60500,82000
b10r1,26,41,111,667.746552,422.784974,99000,95000
b10r1,27,43,150,52.893154,342.973743,9155,45626
b10r1,28,44,144,897.927149,205.666521,63500,56500
b10r1,29,38,148,4.867783,23.179224,892,2387
b10r1,30,44,100,247.755722,193.113347,56717,59060
b10r1,31,35,150,1162.589783,1040.885478,128500,118000
b10r1,32,43,102,610.768930,253.064838,104500,88000
b10r1,33,37,122,951.944056,465.331134,138500,144000
b10r1,34,32,117,677.948121,380.919971,110000,110500
b10r1,35,42,133,3.555237,7.868041,551,2680
b10r1,36,31,113,549.768829,1075.159086,129000,141500
b10r1,37,41,116,562.441696,505.937197,107442,107800
b10r1,38,42,126,12.729556,110.754595,2960,20837
b10r1,39,13,42,2.703705,24.979502,2313,18959
b10r1,40,14,45,179.867815,201.982042,88000,118000
b10r1,41,12,30,36.475345,76.792857,39250,71920
b10r1,42,14,36,51.009950,62.232913,39306,41507
b10r1,43,15,45,164.824856,195.076262,94000,116500
b10r5,0,13,46,0.105065,0.236804,85,99
b10r5,1,14,45,353.413986,525.208147,225338,259141
b10r5,2,13,31,180.202532,182.434225,154500,128000
b10r5,3,12,43,683.393488,247.893637,264000,264000
b10r5,4,14,47,704.350482,298.300413,288000,227000
b10r5,5,15,39,0.409917,0.782715,323,357
b10r5,6,14,46,72.115410,94.345973,47455,59783
b10r5,7,12,31,1.287603,2.339722,1484,1852
b10r5,8,14,49,68.379164,124.992622,38113,70943
b10r5,9,10,23,0.641336,0.833472,1056,1314
b10r5,10,12,38,300.273792,90.189130,145500,106500
b10r5,11,11,36,103.737618,63.029261,72477,72142
b10r5,12,14,45,0.639352,1.176476,464,486
b10r5,13,12,35,276.245176,64.307572,159500,88500
b10r5,14,14,34,0.396952,0.784992,377,425
b10r5,15,14,45,0.972262,1.226531,731,855
