source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
rw_b10r1,16,23,23,0.009536,0.011661,4,1
rw_b10r1,17,34,34,0.008478,3.854352,2,98
rw_b10r1,18,22,22,43.313503,395.644833,16172,37648
rw_b10r1,19,23,23,0.004975,0.011387,2,1
rw_b10r1,20,30,30,195.261684,114.804594,38500,38000
rw_b10r1,21,16,16,0.036151,2.174972,24,435
rw_b10r1,22,27,27,19.139567,90.608650,7986,16541
rw_b10r5,0,7,26,0.134101,0.290382,153,219
rw_b10r5,1,8,29,1.632457,1.724182,1636,1617
rw_b10r5,2,11,43,319.520864,51.593572,121500,69000
rw_b10r5,3,11,11,0.000639,0.000883,1,1
rw_b10r5,4,12,37,957.635348,501.979351,330000,319500
rw_b10r5,5,18,18,0.186373,9.657875,107,2154
rw_b10r5,6,45,45,3020.246584,7845.542747,237000,209500
rw_b10r5,7,25,25,0.015313,0.015913,5,1
rw_b10r5,8,9,9,0.021278,1.405598,38,1258
rw_b10r5,9,27,27,0.209684,0.006911,91,1
rw_b10r5,10,6,6,0.000295,0.000295,1,1
rw_b10r5,11,21,21,0.045847,0.002151,30,1
rw_b10r5,12,22,22,35.113229,548.425191,13255,53687
rw_b10r5,13,53,53,0.002158,0.002030,1,1
rw_b10r5,14,25,25,449.493539,1642.247260,143675,217239
rw_b10r5,15,10,10,0.094557,2.970749,150,2081
rw_b10r5,16,23,23,0.031033,0.011550,12,1
rw_b10r5,17,34,34,0.066748,86.522173,12,2376
rw_b10r5,18,22,22,34.639707,544.103903,13255,53687
rw_b10r5,19,23,23,0.034858,0.011089,13,1
rw_b10r5,20,30,30,312.024803,198.226578,64000,69000
rw_b10r5,21,16,16,0.085411,5.890667,58,1244
rw_b10r5,22,27,27,10.665300,71.564317,4425,13370
rw_b1r10,0,7,26,0.014756,0.048470,15,40
rw_b1r10,1,8,29,0.637173,0.345014,605,447
rw_b1r10,2,11,43,622.396030,188.716970,241000,250000
rw_b1r10,3,11,11,0.000717,0.000294,1,1
rw_b1r10,4,12,37,682.815690,447.634934,231899,500000
rw_b1r10,5,18,18,0.191502,0.000751,106,1
rw_b1r10,6,45,45,3745.756818,1637.736237,287737,387500
rw_b1r10,7,25,25,0.029602,0.001919,9,1
rw_b1r10,8,9,9,0.030256,0.000237,52,1
rw_b1r10,9,27,27,0.150283,0.001271,62,1
rw_b1r10,10,6,6,0.000306,0.000193,1,1
rw_b1r10,11,21,21,0.068485,0.000954,44,1
rw_b1r10,12,22,22,11.650151,332.307449,4249,269887
rw_b1r10,13,53,53,0.002055,0.001726,1,1
rw_b1r10,14,25,25,187.392186,482.264751,57657,500000
rw_b1r10,15,10,10,0.061687,3.916965,92,16794
rw_b1r10,16,23,23,0.032517,0.001387,12,1
rw_b1r10,17,34,34,0.064064,0.003827,11,1
rw_b1r10,18,22,22,11.484414,330.091613,4249,269887
rw_b1r10,19,23,23,0.059434,0.001469,21,1
rw_b1r10,20,30,30,458.497247,55.191505,91500,102500
rw_b1r10,21,16,16,0.119202,0.000631,78,1
rw_b1r10,22,27,27,2.067236,38.597116,828,41363
rw_b1r1,0,7,26,5.840268,17.246258,7178,28097
rw_b1r1,1,8,29,2.745479,28.950902,2865,40190
rw_b1r1,2,11,43,124.480441,14.717556,40500,29000
rw_b1r1,3,11,11,0.000629,0.000318,1,1
rw_b1r1,4,12,37,329.513633,97.530034,110000,111500
rw_b1r1,5,18,18,0.128720,0.000676,74,1
rw_b1r1,6,45,45,1061.981193,278.602492,82500,64500
rw_b1r1,7,25,25,0.002790,0.001892,1,1
rw_b1r1,8,9,9,0.011693,0.000214,20,1
rw_b1r1,9,27,27,0.129990,0.001157,55,1
rw_b1r1,10,6,6,0.000313,0.000195,1,1
rw_b1r1,11,21,21,0.021612,0.000918,14,1
rw_b1r1,12,22,22,43.054855,274.345970,16172,222500
rw_b1r1,13,53,53,0.002074,0.001701,1,1
rw_b1r1,14,25,25,316.327185,194.436265,99411,178500
rw_b1r1,15,10,10,0.079418,1.840721,127,7993
rw_b1r1,16,23,23,0.009446,0.001414,4,1
rw_b1r1,17,34,34,0.008181,0.003848,2,1
rw_b1r1,18,22,22,43.187268,274.480164,16172,222500
rw_b1r1,19,23,23,0.004758,0.001447,2,1
rw_b1r1,20,30,30,194.772551,20.579005,38500,38000
rw_b1r1,21,16,16,0.036072,0.000661,24,1
rw_b1r1,22,27,27,18.991055,86.495733,7986,93474
rw_b1r5,0,7,26,0.135645,0.323235,153,371
rw_b1r5,1,8,29,1.625292,1.107107,1636,1499
rw_b1r5,2,11,43,318.910996,40.463233,121500,77000
rw_b1r5,3,11,11,0.000627,0.000311,1,1
rw_b1r5,4,12,37,977.076397,378.883168,330000,421500
rw_b1r5,5,18,18,0.191726,0.000746,107,1
rw_b1r5,6,45,45,3074.008051,1005.434758,237000,235500
rw_b1r5,7,25,25,0.016033,0.001981,5,1
rw_b1r5,8,9,9,0.022141,0.000240,38,1
rw_b1r5,9,27,27,0.218277,0.001280,91,1
rw_b1r5,10,6,6,0.000303,0.000199,1,1
rw_b1r5,11,21,21,0.047213,0.000962,30,1
rw_b1r5,12,22,22,36.519847,524.255835,13255,419084
rw_b1r5,13,53,53,0.002306,0.001606,1,1
rw_b1r5,14,25,25,469.276512,509.127719,143675,500000
rw_b1r5,15,10,10,0.099160,5.265543,150,22284
rw_b1r5,16,23,23,0.032052,0.001379,12,1
rw_b1r5,17,34,34,0.069135,0.003937,12,1
rw_b1r5,18,22,22,36.264436,520.562505,13255,419084
rw_b1r5,19,23,23,0.035981,0.001348,13,1
rw_b1r5,20,30,30,324.118183,37.094572,64000,68500
rw_b1r5,21,16,16,0.089827,0.000650,58,1
rw_b1r5,22,27,27,10.938444,93.731527,4425,100395
