network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,1,0.34728957,0.34728957,0.00000000,0.00000000,10
0,50,0.21687846,0.22555604,0.00407812,0.00128961,10
0,100,0.21493457,0.22098349,0.00252410,0.00079819,10
0,150,0.21440488,0.21913543,0.00171124,0.00054114,10
0,200,0.21411726,0.21811918,0.00109548,0.00034642,10
0,250,0.21397427,0.21741500,0.00075526,0.00023883,10
0,300,0.21385000,0.21693356,0.00064910,0.00020526,10
0,350,0.21379930,0.21652600,0.00060936,0.00019270,10
0,400,0.21373925,0.21622492,0.00055629,0.00017592,10
0,450,0.21368250,0.21595994,0.00051972,0.00016435,10
0,500,0.21364369,0.21576355,0.00048283,0.00015268,10
0,550,0.21361084,0.21559215,0.00045038,0.00014242,10
0,600,0.21357867,0.21543571,0.00041869,0.00013240,10
0,650,0.21355987,0.21529521,0.00041378,0.00013085,10
0,700,0.21353792,0.21517584,0.00037188,0.00011760,10
0,750,0.21351764,0.21505812,0.00034224,0.00010823,10
0,800,0.21350293,0.21497382,0.00032335,0.00010225,10
0,850,0.21348857,0.21488890,0.00030604,0.00009678,10
0,900,0.21347247,0.21483249,0.00029920,0.00009462,10
0,950,0.21345862,0.21477228,0.00029366,0.00009286,10
0,1000,0.21344753,0.21473747,0.00027932,0.00008833,10
0,1050,0.21343582,0.21471990,0.00027064,0.00008558,10
0,1100,0.21342704,0.21468746,0.00026531,0.00008390,10
0,1150,0.21341782,0.21465152,0.00025523,0.00008071,10
0,1200,0.21340698,0.21461252,0.00026135,0.00008265,10
0,1250,0.21339794,0.21457315,0.00026163,0.00008274,10
0,1300,0.21338931,0.21454208,0.00025879,0.00008184,10
0,1350,0.21338267,0.21450563,0.00025865,0.00008179,10
0,1400,0.21337467,0.21447467,0.00025464,0.00008052,10
0,1450,0.21336688,0.21443447,0.00025467,0.00008053,10
0,1500,0.21336224,0.21439011,0.00024963,0.00007894,10
0,1550,0.21335538,0.21435619,0.00023964,0.00007578,10
0,1600,0.21335007,0.21432677,0.00023269,0.00007358,10
0,1650,0.21334494,0.21429462,0.00022645,0.00007161,10
0,1700,0.21333896,0.21426491,0.00022110,0.00006992,10
0,1750,0.21333344,0.21424307,0.00021831,0.00006904,10
0,1800,0.21332945,0.21421483,0.00021284,0.00006731,10
0,1850,0.21332498,0.21419261,0.00020726,0.00006554,10
0,1900,0.21331985,0.21416924,0.00020125,0.00006364,10
0,1950,0.21331523,0.21414810,0.00019445,0.00006149,10
0,2000,0.21331211,0.21413134,0.00019507,0.00006169,10
0,2050,,0.21411581,0.00019092,0.00006038,10
0,2100,,0.21409697,0.00018645,0.00005896,10
0,2150,,0.21408289,0.00018003,0.00005693,10
0,2200,,0.21406542,0.00017359,0.00005489,10
0,2250,,0.21404679,0.00016994,0.00005374,10
0,2300,,0.21402901,0.00016592,0.00005247,10
0,2350,,0.21401196,0.00016645,0.00005264,10
0,2400,,0.21399604,0.00016560,0.00005237,10
0,2450,,0.21398255,0.00016458,0.00005204,10
0,2500,,0.21396757,0.00016142,0.00005104,10
0,2550,,0.21395360,0.00015993,0.00005057,10
0,2600,,0.21393877,0.00015710,0.00004968,10
0,2650,,0.21392496,0.00015543,0.00004915,10
0,2700,,0.21391345,0.00015362,0.00004858,10
0,2750,,0.21390789,0.00015047,0.00004758,10
0,2800,,0.21389708,0.00014750,0.00004664,10
0,2850,,0.21388778,0.00014478,0.00004578,10
0,2900,,0.21387828,0.00014057,0.00004445,10
0,2950,,0.21386681,0.00013659,0.00004319,10
0,3000,,0.21385811,0.00013574,0.00004292,10
0,3050,,0.21384764,0.00013187,0.00004170,10
0,3100,,0.21383677,0.00012958,0.00004098,10
0,3150,,0.21382652,0.00012827,0.00004056,10
0,3200,,0.21381814,0.00012523,0.00003960,10
0,3250,,0.21380605,0.00012177,0.00003851,10
0,3300,,0.21379803,0.00012007,0.00003797,10
0,3350,,0.21378997,0.00011993,0.00003792,10
0,3400,,0.21378203,0.00012117,0.00003832,10
0,3450,,0.21377653,0.00012214,0.00003863,10
0,3500,,0.21376999,0.00012297,0.00003889,10
0,3550,,0.21376361,0.00012318,0.00003895,10
0,3600,,0.21375571,0.00012451,0.00003937,10
0,3650,,0.21375012,0.00012494,0.00003951,10
0,3700,,0.21374371,0.00012335,0.00003901,10
0,3750,,0.21373810,0.00012349,0.00003905,10
0,3800,,0.21373257,0.00012266,0.00003879,10
0,3850,,0.21372749,0.00012206,0.00003860,10
0,3900,,0.21372211,0.00012102,0.00003827,10
0,3950,,0.21371512,0.00011951,0.00003779,10
0,4000,,0.21371042,0.00011822,0.00003738,10
0,4050,,0.21370556,0.00011823,0.00003739,10
0,4100,,0.21370139,0.00011686,0.00003696,10
0,4150,,0.21369691,0.00011609,0.00003671,10
0,4200,,0.21369372,0.00011500,0.00003637,10
0,4250,,0.21368920,0.00011452,0.00003621,10
0,4300,,0.21368422,0.00011436,0.00003616,10
0,4350,,0.21368017,0.00011515,0.00003641,10
0,4400,,0.21367650,0.00011472,0.00003628,10
0,4450,,0.21367387,0.00011260,0.00003561,10
0,4500,,0.21367053,0.00011182,0.00003536,10
0,4550,,0.21366726,0.00011204,0.00003543,10
0,4600,,0.21366461,0.00011158,0.00003528,10
0,4650,,0.21366131,0.00011136,0.00003522,10
0,4700,,0.21365747,0.00011120,0.00003516,10
