network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,1,0.34728957,0.34728957,0.00000000,0.00000000,10
0,50,0.21687846,0.21773113,0.00039249,0.00012412,10
0,100,0.21493457,0.21579185,0.00021526,0.00006807,10
0,150,0.21440488,0.21515761,0.00018790,0.00005942,10
0,200,0.21411726,0.21481957,0.00012303,0.00003891,10
0,250,0.21397427,0.21458874,0.00009933,0.00003141,10
0,300,0.21385000,0.21442611,0.00009726,0.00003076,10
0,350,0.21379930,0.21430328,0.00008291,0.00002622,10
0,400,0.21373925,0.21421142,0.00006201,0.00001961,10
0,450,0.21368250,0.21413512,0.00006087,0.00001925,10
0,500,0.21364369,0.21406943,0.00005546,0.00001754,10
0,550,0.21361084,0.21401637,0.00005266,0.00001665,10
0,600,0.21357867,0.21396988,0.00004571,0.00001446,10
0,650,0.21355987,0.21393060,0.00004041,0.00001278,10
0,700,0.21353792,0.21389899,0.00004033,0.00001275,10
0,750,0.21351764,0.21386757,0.00003523,0.00001114,10
0,800,0.21350293,0.21383604,0.00003807,0.00001204,10
0,850,0.21348857,0.21381363,0.00003436,0.00001087,10
0,900,0.21347247,0.21379254,0.00002918,0.00000923,10
0,950,0.21345862,0.21376855,0.00003004,0.00000950,10
0,1000,0.21344753,0.21374893,0.00002826,0.00000894,10
0,1050,0.21343582,0.21372965,0.00002630,0.00000832,10
0,1100,0.21342704,0.21371328,0.00002455,0.00000776,10
0,1150,0.21341782,0.21369636,0.00002253,0.00000713,10
0,1200,0.21340698,0.21368289,0.00002145,0.00000678,10
0,1250,0.21339794,0.21366931,0.00001828,0.00000578,10
0,1300,0.21338931,0.21365587,0.00001670,0.00000528,10
0,1350,0.21338267,0.21364464,0.00001729,0.00000547,10
0,1400,0.21337467,0.21363183,0.00001723,0.00000545,10
0,1450,0.21336688,0.21361983,0.00001717,0.00000543,10
0,1500,0.21336224,0.21360797,0.00001725,0.00000545,10
0,1550,0.21335538,0.21359835,0.00001720,0.00000544,10
0,1600,0.21335007,0.21358882,0.00001592,0.00000503,10
0,1650,0.21334494,0.21357888,0.00001494,0.00000472,10
0,1700,0.21333896,0.21356961,0.00001487,0.00000470,10
0,1750,0.21333344,0.21356171,0.00001532,0.00000485,10
0,1800,0.21332945,0.21355327,0.00001477,0.00000467,10
0,1850,0.21332498,0.21354637,0.00001490,0.00000471,10
0,1900,0.21331985,0.21353942,0.00001425,0.00000451,10
0,1950,0.21331523,0.21353234,0.00001390,0.00000440,10
0,2000,0.21331211,0.21352479,0.00001330,0.00000421,10
0,2050,,0.21351786,0.00001291,0.00000408,10
0,2100,,0.21351084,0.00001362,0.00000431,10
0,2150,,0.21350420,0.00001304,0.00000412,10
0,2200,,0.21349837,0.00001234,0.00000390,10
0,2250,,0.21349195,0.00001162,0.00000367,10
0,2300,,0.21348550,0.00001124,0.00000355,10
0,2350,,0.21347958,0.00001086,0.00000343,10
0,2400,,0.21347432,0.00001146,0.00000362,10
0,2450,,0.21346911,0.00001159,0.00000367,10
0,2500,,0.21346407,0.00001039,0.00000328,10
0,2550,,0.21345903,0.00001080,0.00000341,10
0,2600,,0.21345423,0.00001087,0.00000344,10
0,2650,,0.21344938,0.00001047,0.00000331,10
0,2700,,0.21344471,0.00000994,0.00000314,10
0,2750,,0.21344056,0.00000975,0.00000308,10
0,2800,,0.21343543,0.00000963,0.00000304,10
0,2850,,0.21343124,0.00000982,0.00000311,10
0,2900,,0.21342700,0.00000932,0.00000295,10
0,2950,,0.21342382,0.00000975,0.00000308,10
0,3000,,0.21341974,0.00000999,0.00000316,10
0,3050,,0.21341600,0.00000962,0.00000304,10
0,3100,,0.21341235,0.00000898,0.00000284,10
0,3150,,0.21340878,0.00000913,0.00000289,10
0,3200,,0.21340535,0.00000894,0.00000283,10
0,3250,,0.21340188,0.00000935,0.00000296,10
0,3300,,0.21339871,0.00000928,0.00000293,10
0,3350,,0.21339550,0.00000947,0.00000300,10
0,3400,,0.21339249,0.00000907,0.00000287,10
0,3450,,0.21338937,0.00000882,0.00000279,10
0,3500,,0.21338605,0.00000876,0.00000277,10
0,3550,,0.21338323,0.00000856,0.00000271,10
0,3600,,0.21338069,0.00000876,0.00000277,10
0,3650,,0.21337734,0.00000858,0.00000271,10
0,3700,,0.21337453,0.00000808,0.00000256,10
0,3750,,0.21337159,0.00000840,0.00000266,10
0,3800,,0.21336895,0.00000858,0.00000271,10
0,3850,,0.21336630,0.00000830,0.00000262,10
0,3900,,0.21336344,0.00000848,0.00000268,10
0,3950,,0.21336098,0.00000887,0.00000281,10
