network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
30,44,100,5.0,100,10,10,2000,100000,8.452024,0.071698,0.04239902,10/10,2143.5,41.820031,143.5,33.368007,1.072,4.948,"{""v0"": 0.269005, ""v1"": 0.099061, ""v2"": 0.019809, ""v3"": 0.000143, ""v4"": 1.1e-05, ""v5"": 1.1e-05, ""v6"": 1.4e-05, ""v7"": 1.1e-05, ""v8"": 1.1e-05, ""v9"": 1.1e-05, ""v10"": 1.1e-05, ""v11"": 1.1e-05, ""v12"": 1.1e-05, ""v13"": 1.1e-05, ""v14"": 1.1e-05, ""v15"": 1.4e-05, ""v16"": 1.1e-05, ""v17"": 1.1e-05, ""v18"": 1.1e-05, ""v19"": 1.1e-05, ""v20"": 1.1e-05, ""v21"": 0.000131, ""v22"": 1.1e-05, ""v23"": 1.1e-05, ""v24"": 0.001353, ""v25"": 0.000685, ""v26"": 1.1e-05, ""v27"": 5e-05, ""v28"": 1.1e-05, ""v29"": 9.4e-05, ""v30"": 6e-05, ""v31"": 1.1e-05, ""v32"": 1.1e-05, ""v33"": 1.1e-05, ""v34"": 1.1e-05, ""v35"": 1.1e-05, ""v36"": 1.1e-05, ""v37"": 1.1e-05, ""v38"": 1.1e-05, ""v39"": 1.1e-05, ""v40"": 1.1e-05, ""v41"": 0.006212, ""v42"": 0.003399, ""v43"": 0.599641}"
31,35,150,5.0,100,10,10,2000,100000,16.104549,0.030693,0.14671909,10/10,1741.9,46.702183,-258.1,30.597634,0.871,2.900,"{""v0"": 0.330758, ""v1"": 0.174866, ""v2"": 0.172348, ""v3"": 0.002431, ""v4"": 0.000272, ""v5"": 4.9e-05, ""v6"": 1.4e-05, ""v7"": 0.000224, ""v8"": 0.004816, ""v9"": 0.093816, ""v10"": 0.085096, ""v11"": 3.7e-05, ""v12"": 1.4e-05, ""v13"": 2.5e-05, ""v14"": 0.001872, ""v15"": 0.001857, ""v16"": 1.5e-05, ""v17"": 1.4e-05, ""v18"": 1.4e-05, ""v19"": 1.5e-05, ""v20"": 1.4e-05, ""v21"": 1.4e-05, ""v22"": 1.4e-05, ""v23"": 1.4e-05, ""v24"": 1.4e-05, ""v25"": 1.4e-05, ""v26"": 1.4e-05, ""v27"": 1.4e-05, ""v28"": 1.4e-05, ""v29"": 0.016447, ""v30"": 1.9e-05, ""v31"": 1.9e-05, ""v32"": 0.007001, ""v33"": 2e-05, ""v34"": 0.107815}"
32,43,102,5.0,100,10,10,2000,100000,9.986604,0.027683,0.29727579,10/10,1835.1,24.298213,-164.9,14.311609,0.918,2.433,"{""v0"": 0.108812, ""v1"": 0.22089, ""v2"": 0.205151, ""v3"": 0.151506, ""v4"": 0.12038, ""v5"": 0.174826, ""v6"": 0.000323, ""v7"": 0.000771, ""v8"": 0.00018, ""v9"": 1.2e-05, ""v10"": 0.003927, ""v11"": 1.6e-05, ""v12"": 2e-05, ""v13"": 1.2e-05, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 0.000482, ""v19"": 3.9e-05, ""v20"": 1.2e-05, ""v21"": 1.2e-05, ""v22"": 1.2e-05, ""v23"": 1.2e-05, ""v24"": 1.2e-05, ""v25"": 1.2e-05, ""v26"": 1.2e-05, ""v27"": 1.2e-05, ""v28"": 1.2e-05, ""v29"": 1.2e-05, ""v30"": 1.2e-05, ""v31"": 1.2e-05, ""v32"": 0.000146, ""v33"": 1.2e-05, ""v34"": 1.2e-05, ""v35"": 1.2e-05, ""v36"": 1.2e-05, ""v37"": 0.006413, ""v38"": 0.000902, ""v39"": 0.00405, ""v40"": 0.000801, ""v41"": 5.2e-05, ""v42"": 5.7e-05}"
33,37,122,5.0,100,10,10,2000,100000,10.648278,0.123181,0.23252995,10/10,2688.1,34.229830,688.1,23.581552,1.344,3.215,"{""v0"": 0.134894, ""v1"": 0.074561, ""v2"": 0.268077, ""v3"": 0.246754, ""v4"": 0.151337, ""v5"": 0.104413, ""v6"": 0.000656, ""v7"": 0.002947, ""v8"": 0.000204, ""v9"": 0.000266, ""v10"": 0.003952, ""v11"": 0.000542, ""v12"": 0.005099, ""v13"": 0.000274, ""v14"": 0.000123, ""v15"": 1.4e-05, ""v16"": 1.4e-05, ""v17"": 1.4e-05, ""v18"": 1.4e-05, ""v19"": 1.4e-05, ""v20"": 1.4e-05, ""v21"": 1.4e-05, ""v22"": 1.4e-05, ""v23"": 1.4e-05, ""v24"": 0.000172, ""v25"": 1.6e-05, ""v26"": 1.4e-05, ""v27"": 1.4e-05, ""v28"": 0.001999, ""v29"": 0.000382, ""v30"": 0.002182, ""v31"": 0.000601, ""v32"": 9e-05, ""v33"": 1.4e-05, ""v34"": 1.4e-05, ""v35"": 8.7e-05, ""v36"": 0.000196}"
34,32,117,5.0,100,10,10,2000,100000,11.509918,0.059501,0.25636228,10/10,1861.8,25.898249,-138.2,14.388331,0.931,2.250,"{""v0"": 0.251572, ""v1"": 0.254882, ""v2"": 0.004078, ""v3"": 0.002253, ""v4"": 0.000598, ""v5"": 0.001047, ""v6"": 0.000594, ""v7"": 0.073836, ""v8"": 0.092683, ""v9"": 0.168087, ""v10"": 0.053218, ""v11"": 0.072999, ""v12"": 1.6e-05, ""v13"": 1.6e-05, ""v14"": 1.6e-05, ""v15"": 1.6e-05, ""v16"": 1.6e-05, ""v17"": 1.6e-05, ""v18"": 1.6e-05, ""v19"": 1.6e-05, ""v20"": 1.6e-05, ""v21"": 1.6e-05, ""v22"": 1.6e-05, ""v23"": 1.6e-05, ""v24"": 0.001984, ""v25"": 1.6e-05, ""v26"": 0.000232, ""v27"": 0.020704, ""v28"": 0.000185, ""v29"": 0.00073, ""v30"": 7.4e-05, ""v31"": 4.1e-05}"
35,42,133,5.0,100,10,10,2000,100000,10.249831,0.017524,0.00139605,10/10,1979.5,21.676852,-20.5,11.427021,0.990,2.115,"{""v0"": 0.002305, ""v1"": 9.7e-05, ""v2"": 1.2e-05, ""v3"": 3.5e-05, ""v4"": 0.451595, ""v5"": 0.543939, ""v6"": 1.2e-05, ""v7"": 1.2e-05, ""v8"": 1.2e-05, ""v9"": 1.2e-05, ""v10"": 1.2e-05, ""v11"": 1.2e-05, ""v12"": 1.2e-05, ""v13"": 1.2e-05, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 1.2e-05, ""v19"": 1.2e-05, ""v20"": 1.2e-05, ""v21"": 1.2e-05, ""v22"": 1.2e-05, ""v23"": 1.2e-05, ""v24"": 1.2e-05, ""v25"": 1.2e-05, ""v26"": 1.2e-05, ""v27"": 1.2e-05, ""v28"": 1.2e-05, ""v29"": 1.2e-05, ""v30"": 0.001584, ""v31"": 2.8e-05, ""v32"": 1.2e-05, ""v33"": 1.2e-05, ""v34"": 1.2e-05, ""v35"": 1.2e-05, ""v36"": 1.2e-05, ""v37"": 1.2e-05, ""v38"": 1.2e-05, ""v39"": 1.2e-05, ""v40"": 1.2e-05, ""v41"": 1.2e-05}"
36,31,113,5.0,100,10,10,2000,100000,8.603079,0.016250,0.06513355,10/10,3897.3,145.738577,1897.3,137.135498,1.949,16.940,"{""v0"": 0.002103, ""v1"": 0.000497, ""v2"": 0.000652, ""v3"": 0.231236, ""v4"": 0.001728, ""v5"": 0.000479, ""v6"": 1.8e-05, ""v7"": 1.6e-05, ""v8"": 1.6e-05, ""v9"": 1.6e-05, ""v10"": 1.6e-05, ""v11"": 1.6e-05, ""v12"": 1.6e-05, ""v13"": 0.00126, ""v14"": 1.6e-05, ""v15"": 0.000353, ""v16"": 1.6e-05, ""v17"": 1.6e-05, ""v18"": 4.9e-05, ""v19"": 0.232091, ""v20"": 0.001748, ""v21"": 0.000816, ""v22"": 0.262323, ""v23"": 0.134478, ""v24"": 0.122031, ""v25"": 0.003227, ""v26"": 0.00228, ""v27"": 0.00153, ""v28"": 0.000868, ""v29"": 6.2e-05, ""v30"": 2.5e-05}"
37,41,116,5.0,100,10,10,2000,100000,9.977835,0.017291,0.06461247,10/10,1595.1,51.108806,-404.9,41.130971,0.798,5.122,"{""v0"": 0.312011, ""v1"": 0.156887, ""v2"": 0.002109, ""v3"": 2.5e-05, ""v4"": 1.2e-05, ""v5"": 1.2e-05, ""v6"": 0.00013, ""v7"": 1.2e-05, ""v8"": 0.000425, ""v9"": 0.003539, ""v10"": 0.001628, ""v11"": 1.2e-05, ""v12"": 1.2e-05, ""v13"": 1.2e-05, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 1.2e-05, ""v19"": 1.2e-05, ""v20"": 1.2e-05, ""v21"": 1.2e-05, ""v22"": 1.2e-05, ""v23"": 1.2e-05, ""v24"": 1.2e-05, ""v25"": 0.512632, ""v26"": 0.006187, ""v27"": 0.000448, ""v28"": 0.000253, ""v29"": 0.000123, ""v30"": 1.2e-05, ""v31"": 1.2e-05, ""v32"": 1.2e-05, ""v33"": 1.2e-05, ""v34"": 0.000142, ""v35"": 9.9e-05, ""v36"": 1.2e-05, ""v37"": 1.2e-05, ""v38"": 1.2e-05, ""v39"": 9.8e-05, ""v40"": 0.002971}"
38,42,126,5.0,100,10,10,2000,100000,8.709498,0.004679,0.00300475,10/10,2502.2,97.275192,502.2,88.565694,1.251,11.169,"{""v0"": 0.541392, ""v1"": 0.440533, ""v2"": 0.004624, ""v3"": 0.00491, ""v4"": 1.2e-05, ""v5"": 3.6e-05, ""v6"": 1.2e-05, ""v7"": 0.000175, ""v8"": 0.000176, ""v9"": 0.001866, ""v10"": 0.000982, ""v11"": 0.000321, ""v12"": 0.00058, ""v13"": 0.000207, ""v14"": 1.2e-05, ""v15"": 1.2e-05, ""v16"": 1.2e-05, ""v17"": 1.2e-05, ""v18"": 1.2e-05, ""v19"": 1.7e-05, ""v20"": 1.2e-05, ""v21"": 1.2e-05, ""v22"": 2.8e-05, ""v23"": 1.2e-05, ""v24"": 1.2e-05, ""v25"": 1.2e-05, ""v26"": 1.2e-05, ""v27"": 1.2e-05, ""v28"": 1.2e-05, ""v29"": 1.2e-05, ""v30"": 1.2e-05, ""v31"": 1.3e-05, ""v32"": 1.2e-05, ""v33"": 1.2e-05, ""v34"": 1.2e-05, ""v35"": 0.001232, ""v36"": 2.3e-05, ""v37"": 1.2e-05, ""v38"": 1.2e-05, ""v39"": 1.2e-05, ""v40"": 1.2e-05, ""v41"": 0.0026}"
39,13,42,5.0,100,10,10,2000,100000,2.729031,0.002325,0.00345430,10/10,763.3,6.735009,-1236.7,4.005978,0.382,2.468,"{""v0"": 0.399899, ""v1"": 0.561038, ""v2"": 0.004511, ""v3"": 0.000153, ""v4"": 0.000441, ""v5"": 0.025264, ""v6"": 0.007726, ""v7"": 8.8e-05, ""v8"": 3.8e-05, ""v9"": 3.8e-05, ""v10"": 0.000726, ""v11"": 3.8e-05, ""v12"": 3.8e-05}"
40,14,45,5.0,100,10,10,2000,100000,3.905737,0.002714,0.13201350,10/10,2108.2,11.654256,108.2,7.748519,1.054,2.984,"{""v0"": 0.002149, ""v1"": 3.6e-05, ""v2"": 0.030298, ""v3"": 0.09412, ""v4"": 0.000927, ""v5"": 0.001252, ""v6"": 0.000558, ""v7"": 0.133764, ""v8"": 0.000371, ""v9"": 0.000735, ""v10"": 0.005631, ""v11"": 0.002604, ""v12"": 0.376083, ""v13"": 0.351472}"
41,12,30,5.0,100,10,10,2000,100000,2.185607,0.005367,0.02735073,10/10,995.3,7.845706,-1004.7,5.660099,0.498,3.590,"{""v0"": 0.354087, ""v1"": 0.120062, ""v2"": 0.158371, ""v3"": 0.217057, ""v4"": 0.090592, ""v5"": 0.000219, ""v6"": 4.2e-05, ""v7"": 4.2e-05, ""v8"": 0.000278, ""v9"": 4.2e-05, ""v10"": 0.002862, ""v11"": 0.056347}"
42,14,36,5.0,100,10,10,2000,100000,2.738302,0.004020,0.02918994,10/10,1261.9,15.427673,-738.1,12.689371,0.631,5.634,"{""v0"": 0.25101, ""v1"": 0.235437, ""v2"": 0.001419, ""v3"": 7.4e-05, ""v4"": 3.6e-05, ""v5"": 4.7e-05, ""v6"": 3.6e-05, ""v7"": 3.6e-05, ""v8"": 3.6e-05, ""v9"": 3.6e-05, ""v10"": 0.004994, ""v11"": 0.000959, ""v12"": 0.335069, ""v13"": 0.170811}"
43,15,45,5.0,100,10,10,2000,100000,3.575189,0.004875,0.14544304,10/10,1926.6,16.159640,-73.4,12.584451,0.963,4.520,"{""v0"": 0.349469, ""v1"": 0.005183, ""v2"": 0.001009, ""v3"": 0.000623, ""v4"": 0.000699, ""v5"": 0.003259, ""v6"": 0.000914, ""v7"": 0.000805, ""v8"": 0.000479, ""v9"": 3.3e-05, ""v10"": 8e-05, ""v11"": 3.6e-05, ""v12"": 0.203879, ""v13"": 0.103667, ""v14"": 0.329864}"
